Lon,Lat,Clave,Edo,Est,Tmax
-102.37,21.78,NGRAG,AGS,El Niagara Ags.,26.3
-102.79,21.81,MNLAG,AGS,Media Luna Ags.,27.6
-102.71,21.85,CALVILLO,AGS,Calvillo Ags. SMN*,27.7
-102.31,21.9,AGSAG,AGS,Aguascalientes Ags.,26.5
-102,21.9,CNSAG,AGS,Los Conos Ags.,25.3
-102.68,22,CDRAG,AGS,La Codorniz Ags.,26.0
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,25.1
-102.42,22.14,PECAG,AGS,Plutarco ElÌas Calles Ags.,25.4
-102.14,22.2,PTOAG,AGS,Puerto de la ConcepciÛn Ags.,22.2
-102.3,22.36,CSOAG,AGS,CosÌo Ags.,19.3
-102.18,21.74,BRTAG,AGS,San Bartolo Ags.,24.3
-102.13,21.81,TNJAG,AGS,La Tinaja 2 Ags.,24.7
-102.19,21.83,CLVAG,AGS,Calvillo Ags.,24.1
-102.2,22.01,CHOAG,AGS,CaÒada Honda Ags.,27.2
-102.61,21.27,SIERRAFRIA,AGS,Sierra FrÌa Ags. SMN*,16.4
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,25.8
-102.11,21.88,SNVAG,AGS,Sandovales Ags.,21.9
-101.97,21.92,PALAG,AGS,Palo Alto Ags.,23.8
-102.36,21.97,UAALAPOSTA,AGS,Universidad AutÛnoma de Aguascalientes Ags. SGT*,23.6
-102,22.02,NVLAG,AGS,El Novillo Ags.,22.6
-102.07,22.1,VJZAG,AGS,Villa Ju·rez Ags.,24.6
-102.29,22.16,PBLAG,AGS,PabellÛn Ags.,25.0
-102.44,22.24,PTRAG,AGS,Derivadora PabellÛn Ags.,24.2
-114.72,29.73,CATAVINA,BC,CataviÒa B.C. SMN*,24.1
-116.6,31.89,ELZBN,BC,Emilio LÛpez Zamora B.C.,23.1
-116.2,32.27,AGHBN,BC,Agua Hechicera B.C.,20.6
-115.15,32.41,ENLBN,BC,Ejido Nuevo LeÛn B.C.,28.2
-116.91,32.44,ALRBN,BC,Abelardo L. RodrÌguez B.C.,24.4
-116.83,32.47,EFLBN,BC,El Florido B.C.,24.0
-116.7,32.48,CRRBN,BC,El Carrizo B.C.,25.2
-114.73,32.7,PDMBN,BC,Presa Derivadora Morelos B.C.,24.7
-114.73,32.7,ALGODONESob,BC,Observatorio de Algodones B.C. SMN*,27.1
-113.56,28.9,BAABN,BC,BahÌa de los ¡ngeles B.C. SMN*,24.9
-116.37,31.49,ENSBN,BC,Ensenada B.C.,23.9
-114.97,32.06,ENCINAS,BC,Encinas Johnson Son. REMAS*,27.6
-116.21,32.27,RUMOROSA,BC,La Rumorosa B.C. SMN*,19.9
-117.25,32.42,ISLACORONADOMAR,BC,Isla Coronado B.C. SEMAR*,20.5
-116.6,31.89,PLOPEZZAMORA,BC,Presa Emilio LÛpez Zamora B.C. SMN*,21.7
-115.29,32.67,MEXBN,BC,Mexicali B.C. SMN*,26.3
-115.93,30.52,ENBBN,BC,San QuintÌn B.C.,23.5
-115.94,30.53,SANQUINTIN,BC,San QuntÌn B.C.*,22.8
-114.83,30.99,SANFELIPEMAR,BC,San Felipe B.C. SEMAR*,23.9
-114.83,31.03,SFELIPEob,BC,Observatorio de San Felipe B.C. SMN*,26.6
-114.85,31.03,SFLBN,BC,San Felipe B.C.,26.6
-117.07,32.38,PLAYAROSARITO,BC,Playa Rosarito B.C. SMN*,20.6
-115.27,32.39,MXCBN,BC,Mexicali B.C.,27.2
-115.19,32.41,ENVOLEONob,BC,Observatorio de EnvoleÛn B.C. SMN*,28.5
-116.91,32.45,PABELARLRDGZ2,BC,Abelardo L. RodrÌguez. 2 B.C. SMN*,24.0
-116.3,32.52,HNGBN,BC,El Hongo B.C.,17.8
-116.63,32.57,TCTBN,BC,Tecate B.C.,24.2
-116.66,32.57,TECATE,BC,Tecate B.C. SMN*,24.2
-111.35,26.01,BLORETO,BCS,BahÌa de Loreto B.C.S. SMN*,28.3
-109.92,22.89,SANLUCAS,BCS,Cabo San Lucas B.C.S. SMN*,29.6
-109.93,22.9,CSLBS,BCS,Cabo San Lucas B.C.S.,30.8
-109.7,23.68,LBABS,BCS,Los Barriles B.C.S.,30.3
-109.98,24.07,PLNBS,BCS,Los Planes B.C.S.,30.2
-110.37,24.15,LPZBS,BCS,La Paz B.C.S.,29.2
-111.66,25,CCNBS,BCS,Ciudad ConstituciÛn B.C.S.,29.4
-113.42,27.78,DORBS,BCS,DÌaz Ordaz B.C.S.,25.6
-114.05,27.97,GNGBS,BCS,Guerrero Negro B.C.S.,23.6
-110,23.56,SLAGUNA,BCS,Sierra La Laguna B.C.S. SMN*,20.6
-111.83,24.48,PCORTESMAR,BCS,Puerto CortÈs B.C.S. SEMAR*,27.4
