Lon,Lat,Clave,Edo,Est,Tmin
-102.29,21.85,76571,AGS,AGUASCALIENTES,17.44166667
-102.37,21.78,NGRAG,AGS,El Niagara Ags.,15.51666667
-102.79,21.81,MNLAG,AGS,Media Luna Ags.,17.26666667
-102.71,21.85,CALVILLO,AGS,Calvillo Ags. SMN*,16.72
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,17.12
-102.31,21.9,AGSAG,AGS,Aguascalientes Ags.,17.68
-102,21.9,CNSAG,AGS,Los Conos Ags.,15.31666667
-102.68,22,CDRAG,AGS,La Codorniz Ags.,17.03333333
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,15.5
-102.42,22.14,PECAG,AGS,Plutarco Elías Calles Ags.,15.2
-102.29,22.16,PBLAG,AGS,Pabellón Ags.,15.45
-102.47,22.19,ANVAG,AGS,Cincuenta Aniversario Ags.,15.41666667
-102.14,22.2,PTOAG,AGS,Puerto de la Concepción Ags.,14.10714286
-102.44,22.24,PTRAG,AGS,Derivadora Pabellón Ags.,14.96666667
-102.3,22.36,CSOAG,AGS,Cosío Ags.,10.8
-115.19,32.41,76040,BC,EJIDO NVO. LEÓN,19.60333333
-114.72,29.73,CATAVINA,BC,Cataviña B.C. SMN*,14.28928571
-114.85,31.03,SFLBN,BC,San Felipe B.C.,25.82222222
-116.6,31.89,ELZBN,BC,Emilio López Zamora B.C.,15.32608696
-116.2,32.27,AGHBN,BC,Agua Hechicera B.C.,8.064
-116.91,32.44,ALRBN,BC,Abelardo L. Rodríguez B.C.,16.07142857
-116.83,32.47,EFLBN,BC,El Florido B.C.,15.16666667
-116.7,32.48,CRRBN,BC,El Carrizo B.C.,14.47058824
-116.3,32.52,HNGBN,BC,El Hongo B.C.,11.38888889
-114.73,32.7,PDMBN,BC,Presa Derivadora Morelos B.C.,19.975
-115.27,32.39,MXCBN,BC,Mexicali B.C.,22.83333333
-116.81,32.1,LAMBN,BC,La Misión B.C.,14.90909091
-115.93,30.52,ENBBN,BC,San Quintín B.C.,14.89565217
-114.73,32.7,ALGODONESob,BC,Observatorio de Algodones B.C. SMN*,33.17272727
-111.65,25.01,76402,BCS,CD. CONSTITUCIÓN,15.07333333
-110.32,24.12,76405,BCS,LA PAZ,19.94
-111.35,26.02,76305,BCS,LORETO,24.49333333
-112.25,27.28,76253,BCS,STA. ROSALIA,21.98
-111.35,26.01,76304,BCS,LORETO (AUTOMATICA),23.60333333
-111.35,26.01,BLORETO,BCS,Bahía de Loreto B.C.S. SMN*,23.80714286
-109.92,22.89,SLUBS,BCS,Cabo San Lucas B.C.S. SMN*,21.58571429
-110.22,23.45,TODOSLOSSANTOS,BCS,Todos los Santos B.C.S. SMN*,17.28148148
-109.93,22.9,CSLBS,BCS,Cabo San Lucas B.C.S.,19.45
-109.71,23.07,SJCBS,BCS,San José del Cabo B.C.S.,18.71666667
-110.22,23.43,TSNBS,BCS,Todos Santos B.C.S.,15.06666667
-109.72,23.45,SNTBS,BCS,Santiago B.C.S.,19.33333333
-109.55,23.58,RBRBS,BCS,La Ribera B.C.S.,21.01666667
-109.7,23.68,LBABS,BCS,Los Barriles B.C.S.,23.2
-109.84,23.74,SBABS,BCS,San Bartolo B.C.S.,18
-110.05,23.8,SANBS,BCS,San Antonio B.C.S.,21.9
-109.98,24.07,PLNBS,BCS,Los Planes B.C.S.,20.93333333
-109.98,24.07,SARBS,BCS,El Sargento B.C.S.,21.0862069
-110.37,24.15,LPZBS,BCS,La Paz B.C.S.,19.98333333
-111.66,25,CCNBS,BCS,Ciudad Constitución B.C.S.,15.07
-111.34,26.02,LRTBS,BCS,Loreto B.C.S.,24.44333333
-112.28,27.3,SRLBS,BCS,Santa Rosalía B.C.S.,21.85666667
-113.42,27.78,DORBS,BCS,Díaz Ordaz B.C.S.,11.81666667
-114.05,27.97,GNGBS,BCS,Guerrero Negro B.C.S.,16.03571429
-112,26.87,MLGBS,BCS,Mulegé B.C.S.,22.03333333
-90.5,19.83,76695,CAMP,CAMPECHE,24.62413793
-89.4,18.5,XPJCA,CAMP,Xpujil Camp.,24.43333333
-89.72,19.46,DZILBACHEN,CAMP,Dzilbachén Camp. SMN*,24.33571429
-89.89,18.09,CALAKMUL,CAMP,Calakmul Camp. SMN*,23.38214286
-89.89,18.36,CALCA,CAMP,Calakmul Camp. SMN*,23.82142857
-91.05,18.18,CNDCA,CAMP,Candelaria Camp.,23.03571429
-92.09,18.25,PLZCA,CAMP,Palizada Camp.,22.89285714
-90.74,18.6,ESCCA,CAMP,Escárcega Camp.,24.92857143
-91.76,18.65,CARCA,CAMP,El Carmen Camp.,25.86666667
-91.18,18.97,SBNCA,CAMP,Sabancuy Camp.,23.3
-90.58,19.3,CANCA,CAMP,Canasayab Camp.,23.8
-90.72,19.36,CHMCA,CAMP,Champotón Camp.,24.46666667
-90.22,19.61,NYXCA,CAMP,Noh-Yaxché Camp.,25.1
-89.86,19.66,XCPCA,CAMP,Xcupil Camp.,22.73333333
-89.85,19.75,HPOCA,CAMP,Hopelchen Camp.,23.88
-90.54,19.84,CMPCA,CAMP,Campeche Camp.,24.1
-90.51,19.84,COBCA,CAMP,Observatorio de Campeche Camp.,24.61
-89.74,20,BOLCA,CAMP,Bolonchen Camp.,24.77777778
-90.11,20.18,HECCA,CAMP,Hecelchakán Camp.,21.51724138
-106.13,28.67,76225,CHIH,CHIHUAHUA,19.89655172
-105.67,26.92,76323,CHIH,HGO. DEL PARRAL,18.11333333
-107.93,30.42,76122,CHIH,NUEVO CASAS GRANDES,14.28333333
-107.82,28.95,76220,CHIH,TEMOSACHIC,10.01333333
-106.38,26.47,RVGCH,CHIH,El Vergel Chih.,5.916666667
-105.16,26.74,VICCH,CHIH,Villa Coronado Chih.,16.4
-107.07,26.81,GRCCH,CHIH,Guerachi Chih.,23.57058824
-107.88,26.87,IGNCH,CHIH,San Ignacio Chih.,23.40740741
-105.68,26.92,PRRCH,CHIH,Parral Chih.,17.85333333
-107.97,26.94,TBRSI,CHIH,San Francisco Chih.,25.25217391
-107.72,27.03,BTPCH,CHIH,Batopilas Chih.,25.85416667
-104.91,27.13,JMNCH,CHIH,Jiménez Chih.,17.92
-107.92,27.22,URICH,CHIH,Urique Chih. SMN*,25.225
-107.91,27.22,URECH,CHIH,Urique Chih.,24.02142857
-108.54,27.42,CNDCH,CHIH,Chínipas Chih.,23.25666667
-105.81,27.45,VZRCH,CHIH,Valle de Zaragoza Chih.,18.39285714
-105.41,27.54,LBQCH,CHIH,La Boquilla Chih.,20.71428571
-105.63,28.17,FIMCH,CHIH,Francisco I. Madero Chih.,19.46428571
-108.21,28.21,BSSCH,CHIH,Basaseachi Chih.,6.906666667
-105.45,28.21,CDLCH,CHIH,Ciudad Delicias Chih.,20.17857143
-107.48,28.48,AGZCH,CHIH,Abraham González Chih.,10.2
-106.09,28.66,QIJCH,CHIH,Observatorio de Chihuahua Chih.,19.84482759
-107.85,28.95,TMCCH,CHIH,Temósachic Chih.,9.82
-105.28,28.98,LLNCH,CHIH,Ing. Luis L. León Chih.,24.29310345
-108.3,29.2,GPCCH,CHIH,Guapoca Chih.,11.30357143
-107.38,29.56,TNTCH,CHIH,El Tintero Chih.,15
-104.41,29.56,OJNCH,CHIH,Ojinaga Chih.,20.96666667
-107.03,29.88,LJSCH,CHIH,Las Lajas Chih.,13.83333333
-107.93,30.38,CAGCH,CHIH,Casas Grandes Chih.,14.27666667
-106.4,31.74,CJZCH,CHIH,Ciudad Juárez Chih.,23.66666667
-108.52,28.15,C08182,CHIH,Moris,17.5
-105.38,27.41,CL2CH,CHIH,Colina hidrométrica Chih.,16.78
-106.22,27.45,BOCADELRIO,CHIH,Boca del Río Chih. SGT*,18.19035714
-107.7,28.76,C08243,CHIH,Tejolocachi,7.166666667
-105.96,28.77,C08270,CHIH,La Mesa,17.65384615
-106.48,28.8,C08099,CHIH,Majalca,9.211538462
-108.09,29.25,C08219,CHIH,Peñitas,5.75
-108.17,29.67,YEPCH,CHIH,Yepachic Chih.,6.56
-107.26,28.77,BACCH,CHIH,Bachíniva Chih.,12.14814815
-93.9,16.24,76840,CHIS,ARRIAGA,21.61666667
