Lon,Lat,Clave,Edo,Est,Tmed
-99.75,16.76,76805,GRO,ACAPULCO,28.36451613
-102.29,21.85,76571,AGS,AGUASCALIENTES,23.24230769
-111.83,30.71,76113,SON,ALTAR,21.93387097
-93.9,16.24,76840,CHIS,ARRIAGA,30.07931034
-90.5,19.83,76695,CAMP,CAMPECHE,32.12580645
-111.65,25.01,76402,BCS,CD. CONSTITUCIÓN,20.35806452
-109.92,27.48,76258,SON,CD. OBREGON,22.57321429
-99.17,23.75,76491,TAMPS,CD. VICTORIA,29.1516129
-99.2,19.4,76680,DF,CENTRAL TACUBAYA,22.265
-88.3,18.48,76750,QROO,CHETUMAL,29.8983871
-106.13,28.67,76225,CHIH,CHIHUAHUA,24.99
-99.5,17.55,76762,GRO,CHILPANCINGO,26.05
-103.46,19.73,76656,JAL,CIUDAD GUZMÁN,22.54655172
-94.51,18.19,76741,VER,COATZACOALCOS,30.98064516
-103.72,19.24,76658,COL,COLIMA,26.93870968
-92.13,16.23,76848,CHIS,COMITAN,23.03709677
-99.23,18.89,76726,MOR,CUERNAVACA,21.05625
-107.44,24.63,76412,SIN,CULIACÁN,26.18387097
-104.6,24.09,76423,DGO,DURANGO,23.45806452
-115.19,32.41,76040,BC,EJIDO NVO. LEÓN,23.49107143
-110.8,27.95,76256,SON,EMPALME,24.37166667
-88.05,19.57,76698,QROO,FPE. CARRILLO PUERTO,29.52096774
-103.39,20.71,76612,JAL,GUADALAJARA,23.73387097
-101.29,21.01,76577,GTO,GUANAJUATO,23.69642857
-110.93,29.08,76160,SON,HERMOSILLO,24.936
-105.67,26.92,76323,CHIH,HGO. DEL PARRAL,23.91666667
-97.77,17.8,76773,OAX,HUAJUAPAN DE LEON,24.82833333
-96.9,19.51,76687,VER,JALAPA,23.34677419
-110.32,24.12,76405,BCS,LA PAZ,24.68387097
-111.35,26.02,76305,BCS,LORETO,25.01612903
-104.33,19.07,76654,COL,MANZANILLO,26.6016129
-98.81,21.28,76585,SLP,MATLAPA,30.56833333
-106.41,23.22,76458,SIN,MAZATLAN,24.945
-89.65,20.95,76644,YUC,MERIDA,31.51129032
-101.42,26.91,76342,COAH,MONCLOVA,29.20166667
-100.3,25.73,76393,NL,MONTERREY,27.71666667
-101.18,19.7,76665,MICH,MORELIA,23.95833333
-107.93,30.42,76122,CHIH,NUEVO CASAS GRANDES,19.90806452
-96.7,17.07,76775,OAX,OAXACA,24.45172414
-97.1,18.85,76737,VER,ORIZABA,24.23387097
-98.75,20.13,76632,HGO,PACHUCA,20.22666667
-100.52,28.7,76243,COAH,PIEDRAS NEGRAS,27.16
-89.65,21.28,76593,YUC,PROGRESO,30.3016129
-98.17,19.05,76685,PUE,PUEBLA,21.60322581
-96.48,15.65,76855,OAX,PUERTO ANGEL,29.03666667
-100.4,20.58,76625,QRO,QUERETARO,24.47580645
-100,21.92,76581,SLP,RIO VERDE,29.16774194
-95.18,16.17,76833,OAX,SALINA CRUZ,30.87
-92.63,16.73,76845,CHIS,SAN CBAL. DE LAS CASAS,19.30483871
-101.02,22.21,76539,SLP,SAN LUIS POTOSÍ,23.31774194
-103.65,23.47,76471,ZAC,SOMBRERETE,20.8516129
-98.2,23.77,76499,TAMPS,SOTO LA MARINA,31.06129032
-112.25,27.28,76253,BCS,STA. ROSALIA,21.09807692
-97.85,22.22,76548,TAMPS,TAMPICO,30.8016129
-92.25,14.92,76903,CHIS,TAPACHULA,30.28064516
-107.82,28.95,76220,CHIH,TEMOSACHIC,15.68333333
-104.89,21.49,76556,NAY,TEPIC,24.42
-98.24,19.31,76683,TLAX,TLAXCALA,19.95666667
-99.71,19.29,76675,MEX,TOLUCA,17.28548387
-103.45,25.53,76382,COAH,TORREON,29.89354839
-98.36,20.08,76634,HGO,TULANCINGO,21.92241379
-97.42,20.96,76640,VER,TUXPAN,30.10967742
-93.13,16.75,76843,CHIS,TUXTLA GUTIÉRREZ,29.84516129
-88.2,20.69,76647,YUC,VALLADOLID,30.61935484
-96.14,19.16,76692,VER,VERACRUZ,29.57741935
