Lon,Lat,Clave,Edo,Est,Tmed
-108.54,27.42,CNDCH,CHIH,Chínipas Chih.,34.00166667
-105.81,27.45,VZRCH,CHIH,Valle de Zaragoza Chih.,27.76785714
-105.41,27.54,LBQCH,CHIH,La Boquilla Chih.,28.33928571
-105.63,28.17,FIMCH,CHIH,Francisco I. Madero Chih.,27.58928571
-108.21,28.21,BSSCH,CHIH,Basaseachi Chih.,18.22
-105.45,28.21,CDLCH,CHIH,Ciudad Delicias Chih.,28.48214286
-107.48,28.48,AGZCH,CHIH,Abraham González Chih.,20.075
-106.09,28.66,QIJCH,CHIH,Observatorio de Chihuahua Chih.,28.05689655
-107.85,28.95,TMCCH,CHIH,Temósachic Chih.,21.28983333
-105.28,28.98,LLNCH,CHIH,Ing. Luis L. León Chih.,33.59482759
-108.3,29.2,GPCCH,CHIH,Guapoca Chih.,23.16607143
-107.38,29.56,TNTCH,CHIH,El Tintero Chih.,25.23333333
-104.41,29.56,OJNCH,CHIH,Ojinaga Chih.,30.65
-107.03,29.88,LJSCH,CHIH,Las Lajas Chih.,24.68333333
-107.93,30.38,CAGCH,CHIH,Casas Grandes Chih.,24.80833333
-106.4,31.74,CJZCH,CHIH,Ciudad Juárez Chih.,29.6
-108.52,28.15,C08182,CHIH,Moris,28.28125
-105.38,27.41,CL2CH,CHIH,Colina hidrométrica Chih.,25.89833333
-106.22,27.45,BOCADELRIO,CHIH,Boca del Río Chih. SGT*,26.95696429
-107.7,28.76,C08243,CHIH,Tejolocachi,20.69166667
-105.96,28.77,C08270,CHIH,La Mesa,27.51923077
-106.48,28.8,C08099,CHIH,Majalca,19.29807692
-108.09,29.25,C08219,CHIH,Peñitas,17.05357143
-108.17,29.67,YEPCH,CHIH,Yepachic Chih.,18.94
-107.26,28.77,BACCH,CHIH,Bachíniva Chih.,21.61111111
-93.9,16.24,76840,CHIS,ARRIAGA,28.55333333
-92.13,16.23,76848,CHIS,COMITAN,22.21
-92.63,16.73,76845,CHIS,SAN CBAL. DE LAS CASAS,19.30833333
-92.25,14.92,76903,CHIS,TAPACHULA,29.81333333
-93.13,16.75,76843,CHIS,TUXTLA GUTIÉRREZ,27.78666667
-92.4,15,HUECP,CHIS,Huehuetán Chis.,29.8
-92.48,15.97,CATARINITAS,CHIS,Catarinitas Chis. SGT*,28.88571429
-92.05,16.12,ZAPALUTA,CHIS,Zapaluta Chis. SGT*,21.34642857
-91.73,16.91,YAQUINTELA,CHIS,Yaquintela Chis. SGT*,27.16964286
-92.26,14.91,TAPCP,CHIS,Tapachula Chis.,29.81166667
-92.47,15.13,HUICP,CHIS,Huixtla Chis.,28.99166667
-92.58,15.2,DESCP,CHIS,Despoblado Chis.,28.65166667
-92.67,15.32,ESCCP,CHIS,Escuintla Chis.,29.16666667
-92.72,15.35,CACCP,CHIS,Cacaluta Chis.,28.99107143
-92.88,15.45,MAPCP,CHIS,Mapastepec Chis.,27.94827586
-92.95,15.5,ELNCP,CHIS,El Novillero Chis.,29.04464286
-93.22,15.69,PIJCP,CHIS,Pijijiapan Chis.,29.02777778
-92.28,15.75,CHMCP,CHIS,Chicomuselo Chis.,25.40833333
-92.24,15.78,SMICP,CHIS,San Miguel Chis.,27.79545455
-93.06,16.45,SDOCP,CHIS,Santo Domingo Chis.,27.49166667
-91.97,15.85,PCOCP,CHIS,Puente Concordia Chis.,26.25833333
-92.72,15.87,JAPCP,CHIS,Jaltenango Chis.,26.62
-93.53,15.88,TPICP,CHIS,Tres Picos Chis.,28.65
-92.67,15.92,REFCP,CHIS,Reforma Chis.,26.16666667
-93.08,16.16,REVCP,CHIS,Revolución Mexicana Chis.,25.75
-92.1,16.2,COOCP,CHIS,Observatorio de Comitán Chis.,22.13833333
-93.9,16.24,AROCP,CHIS,Arriaga Chis.,28.35
-92.48,16.31,CASCP,CHIS,Cascajal Chis.,27.30833333
-92.78,16.4,ANGCP,CHIS,Doctor Belisario Domínguez Chis.,27.86666667
-92.8,16.55,ACACP,CHIS,Acala Chis.,28.51666667
-93.15,16.64,BOQCP,CHIS,Boquerón Chis.,27.97413793
-92.63,16.73,SCOCP,CHIS,Observatorio de San Cristóbal Chis.,19.275
-93.13,16.75,TXOCP,CHIS,Observatorio de Tuxtla Gutiérrez Chis.,27.795
-93.1,16.76,TUXCP,CHIS,Tuxtla Oriente Chis.,28.17857143
-93.15,16.76,TUXTLAGTZob,CHIS,Observatorio de Tuxtla Gutiérrez Chis. SMN*,28.76428571
-92.82,16.94,SNACP,CHIS,Santa María Chis.,28.05
-93.1,16.94,CHICP,CHIS,Manuel Moreno Torres Chis.,28.30172414
-93.12,16.98,GRICP,CHIS,Grijalva Chis.,28.11666667
