Lon,Lat,Clave,Edo,Est,Tmin
-102.29,21.85,76571,AGS,Aguascalientes,15.4
-102.37,21.78,NGRAG,AGS,El Niagara Ags.,13.2
-102.79,21.81,MNLAG,AGS,Media Luna Ags.,14.2
-102.71,21.85,CALVILLO,AGS,Calvillo Ags. SMN*,14.7
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,15.1
-102.31,21.9,AGSAG,AGS,Aguascalientes Ags.,15.4
-102,21.9,CNSAG,AGS,Los Conos Ags.,12.1
-102.68,22,CDRAG,AGS,La Codorniz Ags.,14.3
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,13.3
-102.42,22.14,PECAG,AGS,Plutarco ElÌas Calles Ags.,13.4
-102.29,22.16,PBLAG,AGS,PabellÛn Ags.,13.5
-102.14,22.2,PTOAG,AGS,Puerto de la ConcepciÛn Ags.,12.7
-102.44,22.24,PTRAG,AGS,Derivadora PabellÛn Ags.,13.3
-102.3,22.36,CSOAG,AGS,CosÌo Ags.,8.8
-102.61,21.27,SIERRAFRIA,AGS,Sierra FrÌa Ags. SMN*,8.3
-102.18,21.74,BRTAG,AGS,San Bartolo Ags.,14.2
-102.13,21.81,TNJAG,AGS,La Tinaja 2 Ags.,11.7
-102.19,21.83,CLVAG,AGS,Calvillo Ags.,8.1
-102.11,21.88,SNVAG,AGS,Sandovales Ags.,5.6
-101.97,21.92,PALAG,AGS,Palo Alto Ags.,12.1
-102.2,22.01,CHOAG,AGS,CaÒada Honda Ags.,11.3
-102,22.02,NVLAG,AGS,El Novillo Ags.,9.3
-102.07,22.1,VJZAG,AGS,Villa Ju·rez Ags.,10.5
-114.72,29.73,CATAVINA,BC,CataviÒa B.C. SMN*,18.7
-114.85,31.03,SFLBN,BC,San Felipe B.C.,24.7
-116.6,31.89,ELZBN,BC,Emilio LÛpez Zamora B.C.,17.6
-116.2,32.27,AGHBN,BC,Agua Hechicera B.C.,10.5
-115.15,32.41,ENLBN,BC,Ejido Nuevo LeÛn B.C.,21.6
-116.91,32.44,ALRBN,BC,Abelardo L. RodrÌguez B.C.,18.0
-116.83,32.47,EFLBN,BC,El Florido B.C.,17.1
-116.7,32.48,CRRBN,BC,El Carrizo B.C.,17.7
-116.3,32.52,HNGBN,BC,El Hongo B.C.,10.8
-114.73,32.7,PDMBN,BC,Presa Derivadora Morelos B.C.,21.5
-115.27,32.39,MXCBN,BC,Mexicali B.C.,23.5
-115.93,30.52,ENBBN,BC,San QuintÌn B.C.,17.8
-114.83,30.99,SANFELIPEMAR,BC,San Felipe B.C. SEMAR*,24.2
-114.83,31.03,SFELIPEob,BC,Observatorio de San Felipe B.C. SMN*,24.6
-116.37,31.49,ENSBN,BC,Ensenada B.C.,17.5
-116.6,31.89,PLOPEZZAMORA,BC,Presa Emilio LÛpez Zamora B.C. SMN*,18.3
-115.92,32.04,CONST1857,BC,ConstituciÛn de 1857 B.C. SMN*,6.4
-116.21,32.27,RUMOROSA,BC,La Rumorosa B.C. SMN*,11.4
-115.19,32.41,76040,BC,Ejido Nuevo LeÛn,21.7
-115.19,32.41,ENVOLEONob,BC,Observatorio de EnvoleÛn B.C. SMN*,21.9
-116.91,32.45,PABELARLRDGZ2,BC,Abelardo L. RodrÌguez. 2 B.C. SMN*,18.1
-116.63,32.57,TCTBN,BC,Tecate B.C.,17.0
-116.66,32.57,TECATE,BC,Tecate B.C. SMN*,17.0
-115.29,32.67,MEXBN,BC,Mexicali B.C. SMN*,24.3
-113.56,28.9,BAABN,BC,BahÌa de los ¡ngeles B.C. SMN*,25.8
-117.07,32.38,PLAYAROSARITO,BC,Playa Rosarito B.C. SMN*,17.4
-111.65,25.01,76402,BCS,Cd. ConstituciÛn,21.6
-110.32,24.12,76405,BCS,La Paz,24.8
-111.35,26.02,76305,BCS,Loreto,26.3
-111.35,26.01,BLORETO,BCS,BahÌa de Loreto B.C.S. SMN*,26.0
-109.92,22.89,SANLUCAS,BCS,Cabo San Lucas B.C.S. SMN*,24.8
-110.22,23.45,TODOSLOSSANTOS,BCS,Todos los Santos B.C.S. SMN*,24.3
-109.93,22.9,CSLBS,BCS,Cabo San Lucas B.C.S.,24.8
-109.71,23.07,SJCBS,BCS,San JosÈ del Cabo B.C.S.,21.6
-110.22,23.43,TSNBS,BCS,Todos Santos B.C.S.,21.9
-109.72,23.45,SNTBS,BCS,Santiago B.C.S.,22.2
-109.55,23.58,RBRBS,BCS,La Ribera B.C.S.,24.2
-109.7,23.68,LBABS,BCS,Los Barriles B.C.S.,24.9
-109.84,23.74,SBABS,BCS,San Bartolo B.C.S.,18.4
-110.05,23.8,SANBS,BCS,San Antonio B.C.S.,22.7
-109.98,24.07,PLNBS,BCS,Los Planes B.C.S.,23.8
-109.98,24.07,SARBS,BCS,El Sargento B.C.S.,23.5
-110.37,24.15,LPZBS,BCS,La Paz B.C.S.,24.8
-111.66,25,CCNBS,BCS,Ciudad ConstituciÛn B.C.S.,21.5
-111.34,26.02,LRTBS,BCS,Loreto B.C.S.,26.4
-112.28,27.3,SRLBS,BCS,Santa RosalÌa B.C.S.,24.7
-113.42,27.78,DORBS,BCS,DÌaz Ordaz B.C.S.,14.5
-114.05,27.97,GNGBS,BCS,Guerrero Negro B.C.S.,19.2
-112,26.87,MLGBS,BCS,MulegÈ B.C.S.,23.8
-110,23.56,SLAGUNA,BCS,Sierra La Laguna B.C.S. SMN*,14.4
