Lon,Lat,Clave,Edo,Est,Tmed
-99.75,16.76,76805,GRO,ACAPULCO,27.44193548
-111.83,30.71,76113,SON,ALTAR,13.46206897
-93.9,16.24,76840,CHIS,ARRIAGA,28.08870968
-90.5,19.83,76695,CAMP,CAMPECHE,23.37407407
-111.65,25.01,76402,BCS,CD. CONSTITUCIÓN,17.98709677
-109.92,27.48,76258,SON,CD. OBREGON,14.73035714
-99.17,23.75,76491,TAMPS,CD. VICTORIA,16.614
-99.2,19.4,76680,DF,CENTRAL TACUBAYA,15.85
-88.3,18.48,76750,QROO,CHETUMAL,24.1516129
-106.13,28.67,76225,CHIH,CHIHUAHUA,11.68225806
-103.46,19.73,76656,JAL,CIUDAD GUZMÁN,16.25
-94.51,18.19,76741,VER,COATZACOALCOS,23.26
-92.13,16.23,76848,CHIS,COMITAN,17.74193548
-99.23,18.89,76726,MOR,CUERNAVACA,18.03888889
-104.6,24.09,76423,DGO,DURANGO,14.44032258
-110.8,27.95,76256,SON,EMPALME,17.67096774
-101.29,21.01,76577,GTO,GUANAJUATO,15.23888889
-105.67,26.92,76323,CHIH,HGO. DEL PARRAL,12.63064516
-96.9,19.51,76687,VER,JALAPA,15.4375
-110.32,24.12,76405,BCS,LA PAZ,20.09666667
-104.33,19.07,76654,COL,MANZANILLO,27.13709677
-98.81,21.28,76585,SLP,MATLAPA,18.3952381
-106.41,23.22,76458,SIN,MAZATLAN,22.08709677
-89.65,20.95,76644,YUC,MERIDA,23.88103448
-101.42,26.91,76342,COAH,MONCLOVA,14.69827586
-101.18,19.7,76665,MICH,MORELIA,16.02903226
-107.93,30.42,76122,CHIH,NUEVO CASAS GRANDES,8.10483871
-97.1,18.85,76737,VER,ORIZABA,16.5462963
-100.52,28.7,76243,COAH,PIEDRAS NEGRAS,12.815
-89.65,21.28,76593,YUC,PROGRESO,23.40384615
-98.17,19.05,76685,PUE,PUEBLA,14.71935484
-101.02,25.38,76390,COAH,SALTILLO,13.3983871
-92.63,16.73,76845,CHIS,SAN CBAL. DE LAS CASAS,14.63333333
-103.65,23.47,76471,ZAC,SOMBRERETE,13.22419355
-112.25,27.28,76253,BCS,STA. ROSALIA,16.69791667
-97.85,22.22,76548,TAMPS,TAMPICO,20.992
-104.89,21.49,76556,NAY,TEPIC,20.86935484
-98.24,19.31,76683,TLAX,TLAXCALA,13.61935484
-99.71,19.29,76675,MEX,TOLUCA,11.14193548
-98.36,20.08,76634,HGO,TULANCINGO,14.27741935
-93.13,16.75,76843,CHIS,TUXTLA GUTIÉRREZ,23.71612903
-88.2,20.69,76647,YUC,VALLADOLID,23.64464286
-96.14,19.16,76692,VER,VERACRUZ,22.9375
-102.57,22.78,76525,ZAC,ZACATECAS,11.68709677
-102.32,19.98,76662,MICH,ZAMORA,17.89354839
-101.47,21.07,COMGJ,GTO,Comanjilla Gto.,15.84677419
-101.22,21.48,SFEGJ,GTO,San Felipe Gto.,11.25
-98.76,18.88,OCTMR,MOR,Ocuituco Mor.,17.41612903
-107.76,25.12,RAVSI,SIN,Estación Rancho Viejo Sin.,20.29032258
-95.03,18.52,SONVC,VER,Sontecomapan Ver.,20.00925926
-100.36,20.2,CORGJ,GTO,Coroneo Gto.,13.08064516
-101.11,21.32,LQMGJ,GTO,La Quemada Gto.,11.5483871
-96.97,19.45,TAPVC,VER,Tapachapan Ver.,15.5
-98.5,16.66,QTZGR,GRO,Quetzala Gro.,25.27419355
-103.27,22.11,76519,JAL,COLOTLAN,14.04615385
-100.5,21.22,POZGJ,GTO,Pozos Gto.,12.83870968
-105.85,23.09,TORSI,SIN,Las Tortugas Sin.,22.58064516
-101.02,20.43,SMAGJ,GTO,San Miguel de Allende Gto.,13.98387097
-99.24,19.53,CLYMX,MEX,Calacoaya Méx.,13.38709677
-96.3,17.78,VANOX,OAX,Valle Nacional Oax.,22.25
-100.92,25.44,ESLCL,COAH,E. C. Saltillo Coah.,12.85344828
-96.53,17.43,ATEOX,OAX,Atepec Oax.,16.01612903
-110.29,30.98,CNNSO,SON,Cananea Son.,11.275
-99.2,19.31,CCH S,DF,CCH Sur,14.71290323
-99.13,19.42,ENP 7,DF,Ezequiel A. Chavez,16.38548387
-96.95,19.23,TOTVC,VER,Totutla Ver.,15.2962963
-97.01,18.33,ZOQPB,PUE,Zoquitlán Pue.,14.17741935
-101.66,19.93,AMEMC,MICH,Aristeo Mercado Mich.,15.47258065
-99.55,24.57,VSMTP,TAMPS,Victoria-San Marcos Tamps.,16.60555556
-99.93,17.6,YXTGR,GRO,Yextla Gro.,17.37096774
-96.97,19.55,OTIVC,VER,Otilpan Ver.,14
-100.75,20.58,SMOGJ,GTO,San Miguel Octopan Gto.,15.06451613
-96.45,17.12,SMAOX,OAX,San Antonio Cuajimoloyas Oax.,8.967741935
-111.35,26.01,BLORETO,BCS,Bahía de Loreto B.C.S. SMN*,18.9983871
-103.51,24.29,SGOZC,ZAC,Santiago Zac.,10.07258065
-109.92,22.89,SLUBS,BCS,Cabo San Lucas B.C.S. SMN*,22.69193548
-110.22,23.45,TODOSLOSSANTOS,BCS,Todos los Santos B.C.S. SMN*,20.44516129
-89.4,18.5,XPJCA,CAMP,Xpujil Camp.,23.56666667
-89.72,19.46,DZILBACHEN,QROO,Dzilbachén Camp. SMN*,22.625
-92.48,15.97,CATARINITAS,CHIS,Catarinitas Chis. SGT*,24.32258065
-92.05,16.12,ZAPALUTA,CHIS,Zapaluta Chis. SGT*,16.97580645
-91.73,16.91,YAQUINTELA,CHIS,Yaquintela Chis. SGT*,20.90344828
-103.35,24.47,SCLDR,DGO,Santa Clara Dgo.,11.83870968
-98.13,20.14,LAGUNASGT,HGO,La Laguna Hgo. SGT*,10.6418
-103.42,20.44,TLAJOMULCO,JAL,Tlajomulco Jal. SMN*,15.77741935
-100.01,25.27,AL2NL,NL,Allende Dos N. L.,13.31481481
-95.48,16.59,RHOOX,OAX,Río Hondo Oax.,26.03225806
-96.85,18.4,TLPPB,PUE,Tlacotepec de Díaz Pue.,20.39655172
-98,20.22,NECAXASGT,PUE,Necaxa Pue. SGT*,13.76354167
-87.49,21.1,KANTUNILKIN,QROO,Kantunilkín Q. Roo. SMN*,22.945
-99.15,21.82,TANCHACHIN,SLP,Tanchachín S.L.P. SGT*,20.10535714
-110.21,27.59,TORIM,SON,Tórim Son. SGT*,16.05645161
-109.97,27.61,TAJIMAROA,SON,Tajimaroa Son. SGT*,16.72741935
-99.15,22.99,AHUALULCOTP,TAMPS,Ahualulco Tamps. SGT*,19.70689655
-99.22,24.1,BARRETALI,TAMPS,Barretal Uno Tamps. SGT*,16.67142857
-99.43,24.25,TOMASENO,TAMPS,El Tomaseño Tamps. SGT*,15.38928571
-92.26,14.91,TAPCP,CHIS,Tapachula Chis.,28.39677419
-102.37,21.78,NGRAG,AGS,El Niagara Ags.,14.02419355
-102.79,21.81,MNLAG,AGS,Media Luna Ags.,14.5
-102.71,21.85,CALVILLO,AGS,Calvillo Ags. SMN*,15.1983871
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,14.89677419
-102.31,21.9,AGSAG,AGS,Aguascalientes Ags.,14.93548387
-102,21.9,CNSAG,AGS,Los Conos Ags.,13.60483871
-102.68,22,CDRAG,AGS,La Codorniz Ags.,15.81451613
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,13.77419355
-102.42,22.14,PECAG,AGS,Plutarco Elías Calles Ags.,14.29032258
-102.29,22.16,PBLAG,AGS,Pabellón Ags.,13.23387097
-102.47,22.19,ANVAG,AGS,Cincuenta Aniversario Ags.,14.07258065
-102.44,22.24,PTRAG,AGS,Derivadora Pabellón Ags.,13.57258065
-102.3,22.36,CSOAG,AGS,Cosío Ags.,9.435483871
-114.72,29.73,CATAVINA,BC,Cataviña B.C. SMN*,13.98666667
-89.89,18.09,CALAKMUL,CAMP,Calakmul Camp. SMN*,22.22903226
-89.89,18.36,CALCA,CAMP,Calakmul Camp. SMN*,23.09166667
-91.05,18.18,CNDCA,CAMP,Candelaria Camp.,23.37096774
-92.09,18.25,PLZCA,CAMP,Palizada Camp.,23.24193548
-90.74,18.6,ESCCA,CAMP,Escárcega Camp.,22.98148148
-91.76,18.65,CARCA,CAMP,El Carmen Camp.,25
-91.18,18.97,SBNCA,CAMP,Sabancuy Camp.,22.43103448
-90.58,19.3,CANCA,CAMP,Canasayab Camp.,23.08064516
-90.72,19.36,CHMCA,CAMP,Champotón Camp.,23.33333333
-90.22,19.61,NYXCA,CAMP,Noh-Yaxché Camp.,23.55
-89.86,19.66,XCPCA,CAMP,Xcupil Camp.,22.79032258
-89.85,19.75,HPOCA,CAMP,Hopelchen Camp.,22.46666667
-90.54,19.84,CMPCA,CAMP,Campeche Camp.,22.76785714
-90.51,19.84,COBCA,CAMP,Observatorio de Campeche Camp.,23.41666667
-89.74,20,BOLCA,CAMP,Bolonchen Camp.,23.43965517
-107.97,26.94,TBRSI,CHIH,San Francisco Chih.,18.85322581
-107.92,27.22,URICH,CHIH,Urique Chih. SMN*,18.91774194
-107.91,27.22,URECH,CHIH,Urique Chih.,18.43709677
-108.54,27.42,CNDCH,CHIH,Chínipas Chih.,15.76774194
-108.21,28.21,BSSCH,CHIH,Basaseachi Chih.,7.362903226
-107.48,28.48,AGZCH,CHIH,Abraham González Chih.,6.833333333
-106.09,28.66,QIJCH,CHIH,Observatorio de Chihuahua Chih.,11.93225806
-107.85,28.95,TMCCH,CHIH,Temósachic Chih.,7.009677419
-107.38,29.56,TNTCH,CHIH,El Tintero Chih.,8.709677419
-104.41,29.56,OJNCH,CHIH,Ojinaga Chih.,10.81451613
-107.03,29.88,LJSCH,CHIH,Las Lajas Chih.,6.774193548
-107.93,30.38,CAGCH,CHIH,Casas Grandes Chih.,8.079032258
-92.24,15.78,SMICP,CHIS,San Miguel Chis.,23.61290323
-93.06,16.45,SDOCP,CHIS,Santo Domingo Chis.,23.45
-91.97,15.85,PCOCP,CHIS,Puente Concordia Chis.,21.81451613
-92.67,15.92,REFCP,CHIS,Reforma Chis.,22.43548387
-93.08,16.16,REVCP,CHIS,Revolución Mexicana Chis.,21.97580645
-93.9,16.24,AROCP,CHIS,Arriaga Chis.,28.11612903
-92.78,16.4,ANGCP,CHIS,Doctor Belisario Domínguez Chis.,24.48387097
-92.8,16.55,ACACP,CHIS,Acala Chis.,23.02419355
-93.15,16.64,BOQCP,CHIS,Boquerón Chis.,24.03225806
-92.63,16.73,SCOCP,CHIS,Observatorio de San Cristóbal Chis.,14.58333333
-93.13,16.75,TXOCP,CHIS,Observatorio de Tuxtla Gutiérrez Chis.,23.71935484
-93.1,16.94,CHICP,CHIS,Manuel Moreno Torres Chis.,23.48333333
-93.12,16.98,GRICP,CHIS,Grijalva Chis.,23.19354839
-93.33,17.12,YAMCP,CHIS,Yamonhó Chis.,21.57142857
-93.01,17.25,TAPILULA,CHIS,Tapilula Chis. SGT*,19.75979167
-93.46,17.45,PENCP,CHIS,Ángel Albino Corzo Chis.,23.33695652
-92.35,17.57,SAACP,CHIS,Salto de Agua Chis.,22.88392857
-101.02,25.38,SALCL,COAH,Observatorio de Saltillo Coah.,13.45
-101.02,25.38,STOCL,COAH,Saltillo Coah.,13.44827586
-102.98,25.76,SPECL,COAH,San Pedro Coah.,14.52419355
-101.42,26.91,MCVCL,COAH,Monclova Coah.,14.75
-102.06,26.98,CCGCL,COAH,Cuatro Ciénegas Coah.,14.17241379
-101,27.42,PRSCL,COAH,Progreso Coah.,12.20689655
-100.62,27.52,VCRCL,COAH,Venustiano Carranza Coah.,12.80357143
-100.53,28.71,PNGCL,COAH,Piedras Negras Coah.,13.42222222
-100.9,29.03,ZPTCL,COAH,Zapata Coah.,11.01666667
-100.95,29.21,CNTCL,COAH,El Centenario Coah.,11.27777778
-100.95,29.33,CDACL,COAH,Ciudad Acuña Coah.,12.14814815
-101.06,29.45,AMSCL,COAH,Internacional La Amistad Coah.,11.89285714
-103.72,18.75,CDOCM,COL,Cerro de Ortega Col.,25.99193548
-103.77,18.81,LDACM,COL,Laguna de Amela Col.,25.35833333
-104.32,19.04,MNZCM,COL,Manzanillo Col.,27.11774194
-103.73,19.22,LPSCM,COL,La Posta Col.,25.29032258
-103.73,19.22,RDRCM,COL,Radar Col.,27.0483871
-103.61,19.25,BVSCM,COL,Buena Vista Col.,24.12096774
-99.2,19.3,DATDF,DF,Desviación Alta Cd. de Méx.,15.87096774
-99.17,19.45,CBIDF,DF,Escuela Nacional de Ciencias Biológicas IPN Cd. de Méx. SMN*,15.68709677
-99.07,19.47,SJADF,DF,San Juan de Aragón Cd. de Méx.,15.15322581
-99.14,19.52,CEADF,DF,Campamento Amealco Cd. de Méx.,15.16129032
-104.75,23.96,GVCDR,DGO,Presidente Guadalupe Victoria Dgo.,12.23387097
-103.96,24,FVLDR,DGO,Francisco Villa Dgo.,14.38709677
-104.67,24.03,DRGDR,DGO,Durango Dgo.,14.56774194
-104.75,24.5,CNTDR,DGO,Canatlán Dgo.,12.69354839
-104.81,24.54,CBRDR,DGO,Caboraca Dgo.,9.669354839
-105.44,25.22,SACDR,DGO,Salomé Acosta Dgo.,12.47580645
-104.07,25.26,AM2DR,DGO,Agustín Melgar Dgo. SMN*,13.35967742
-103.77,25.27,FZRDR,DGO,Francisco Zarco Dgo.,14.70967742
-103.52,25.53,CLRDR,DGO,Ciudad Lerdo Dgo.,14.12903226
-103.44,26.11,THODR,DGO,Tlahualilo Dgo.,13.33870968
-104.93,26.24,VHGDR,DGO,Villa Hidalgo Dgo.,11.34677419
-104.12,26.52,CEBDR,DGO,Ceballos Dgo.,12.43548387
