Lon,Lat,Clave,Edo,Est,Tmax
-102.29,21.85,76571,AGS,AGUASCALIENTES,30.6
-102.37,21.78,NGRAG,AGS,El Niagara Ags.,30.13333333
-102.79,21.81,MNLAG,AGS,Media Luna Ags.,31.26666667
-102.71,21.85,CALVILLO,AGS,Calvillo Ags. SMN*,32.44666667
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,31.65333333
-102.31,21.9,AGSAG,AGS,Aguascalientes Ags.,30.36666667
-102,21.9,CNSAG,AGS,Los Conos Ags.,30.73333333
-102.68,22,CDRAG,AGS,La Codorniz Ags.,30.43333333
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,30.68333333
-102.42,22.14,PECAG,AGS,Plutarco Elías Calles Ags.,28.93333333
-102.29,22.16,PBLAG,AGS,Pabellón Ags.,29.18333333
-102.47,22.19,ANVAG,AGS,Cincuenta Aniversario Ags.,28.46666667
-102.14,22.2,PTOAG,AGS,Puerto de la Concepción Ags.,29.03333333
-102.44,22.24,PTRAG,AGS,Derivadora Pabellón Ags.,28.43333333
-102.3,22.36,CSOAG,AGS,Cosío Ags.,24.58333333
-115.19,32.41,76040,BC,EJIDO NVO. LEÓN,33.08666667
-114.72,29.73,CATAVINA,BC,Cataviña B.C. SMN*,27.02
-114.85,31.03,SFLBN,BC,San Felipe B.C.,30.72941176
-116.6,31.89,ELZBN,BC,Emilio López Zamora B.C.,23.97916667
-115.15,32.41,ENLBN,BC,Ejido Nuevo León B.C.,32.78421053
-116.91,32.44,ALRBN,BC,Abelardo L. Rodríguez B.C.,25.79166667
-116.83,32.47,EFLBN,BC,El Florido B.C.,22.875
-116.7,32.48,CRRBN,BC,El Carrizo B.C.,24.9375
-116.3,32.52,HNGBN,BC,El Hongo B.C.,18.71428571
-114.73,32.7,PDMBN,BC,Presa Derivadora Morelos B.C.,31.61363636
-115.27,32.39,MXCBN,BC,Mexicali B.C.,32.38888889
-116.81,32.1,LAMBN,BC,La Misión B.C.,22.28571429
-115.93,30.52,ENBBN,BC,San Quintín B.C.,22.85454545
-114.73,32.7,ALGODONESob,BC,Observatorio de Algodones B.C. SMN*,33.42608696
-111.65,25.01,76402,BCS,CD. CONSTITUCIÓN,30.94666667
-110.32,24.12,76405,BCS,LA PAZ,32.55333333
-111.35,26.02,76305,BCS,LORETO,31.09
-112.25,27.28,76253,BCS,STA. ROSALIA,25.84615385
-111.35,26.01,76304,BCS,LORETO (AUTOMATICA),31.27777778
-111.35,26.01,BLORETO,BCS,Bahía de Loreto B.C.S. SMN*,30.7
-109.92,22.89,SLUBS,BCS,Cabo San Lucas B.C.S. SMN*,30.66
-110.22,23.45,TODOSLOSSANTOS,BCS,Todos los Santos B.C.S. SMN*,24.00666667
-109.93,22.9,CSLBS,BCS,Cabo San Lucas B.C.S.,31.12857143
-109.71,23.07,SJCBS,BCS,San José del Cabo B.C.S.,29.64285714
-110.22,23.43,TSNBS,BCS,Todos Santos B.C.S.,25.39642857
-109.72,23.45,SNTBS,BCS,Santiago B.C.S.,33.10714286
-109.55,23.58,RBRBS,BCS,La Ribera B.C.S.,29.21428571
-109.7,23.68,LBABS,BCS,Los Barriles B.C.S.,29.89285714
-109.84,23.74,SBABS,BCS,San Bartolo B.C.S.,30.10714286
-110.05,23.8,SANBS,BCS,San Antonio B.C.S.,35.57142857
-109.98,24.07,PLNBS,BCS,Los Planes B.C.S.,33.26923077
-109.98,24.07,SARBS,BCS,El Sargento B.C.S.,29.41071429
-110.37,24.15,LPZBS,BCS,La Paz B.C.S.,32.84642857
-111.66,25,CCNBS,BCS,Ciudad Constitución B.C.S.,31.32142857
-111.34,26.02,LRTBS,BCS,Loreto B.C.S.,31.10357143
-112.28,27.3,SRLBS,BCS,Santa Rosalía B.C.S.,26.11785714
-113.42,27.78,DORBS,BCS,Díaz Ordaz B.C.S.,27.22222222
-114.05,27.97,GNGBS,BCS,Guerrero Negro B.C.S.,21.57142857
-112,26.87,MLGBS,BCS,Mulegé B.C.S.,29.46428571
-90.5,19.83,76695,CAMP,CAMPECHE,36.11034483
-89.4,18.5,XPJCA,CAMP,Xpujil Camp.,34.7
-89.72,19.46,DZILBACHEN,CAMP,Dzilbachén Camp. SMN*,34.85
-89.89,18.09,CALAKMUL,CAMP,Calakmul Camp. SMN*,34.32333333
-89.89,18.36,CALCA,CAMP,Calakmul Camp. SMN*,35.67333333
-91.05,18.18,CNDCA,CAMP,Candelaria Camp.,36.5
-92.09,18.25,PLZCA,CAMP,Palizada Camp.,35.03333333
-90.74,18.6,ESCCA,CAMP,Escárcega Camp.,35.21428571
-91.76,18.65,CARCA,CAMP,El Carmen Camp.,34
-91.18,18.97,SBNCA,CAMP,Sabancuy Camp.,36.60714286
-90.58,19.3,CANCA,CAMP,Canasayab Camp.,36.43333333
-90.72,19.36,CHMCA,CAMP,Champotón Camp.,34.5
-90.22,19.61,NYXCA,CAMP,Noh-Yaxché Camp.,36.57142857
-89.86,19.66,XCPCA,CAMP,Xcupil Camp.,35.86666667
-89.85,19.75,HPOCA,CAMP,Hopelchen Camp.,35.5
-90.5,19.83,CAMPECHEob,CAMP,Observatorio de Campeche Camp. SMN*,36.27857143
-90.54,19.84,CMPCA,CAMP,Campeche Camp.,35.24137931
-90.51,19.84,COBCA,CAMP,Observatorio de Campeche Camp.,36.62413793
-89.74,20,BOLCA,CAMP,Bolonchen Camp.,35.32142857
-90.11,20.18,HECCA,CAMP,Hecelchakán Camp.,37.26666667
-106.13,28.67,76225,CHIH,CHIHUAHUA,29.24
-105.67,26.92,76323,CHIH,HGO. DEL PARRAL,29.79
-107.93,30.42,76122,CHIH,NUEVO CASAS GRANDES,27.39666667
-107.82,28.95,76220,CHIH,TEMOSACHIC,22.80689655
-106.87,28.42,CUACH,CHIH,Cuauhtémoc Chih.,23
-106.38,26.47,RVGCH,CHIH,El Vergel Chih.,19
-105.16,26.74,VICCH,CHIH,Villa Coronado Chih.,31.21428571
-107.07,26.81,GRCCH,CHIH,Guerachi Chih.,36.79090909
-107.88,26.87,IGNCH,CHIH,San Ignacio Chih.,38.3
-105.68,26.92,PRRCH,CHIH,Parral Chih.,29.77666667
-107.97,26.94,TBRSI,CHIH,San Francisco Chih.,37.89285714
-107.72,27.03,BTPCH,CHIH,Batopilas Chih.,35.5
-104.91,27.13,JMNCH,CHIH,Jiménez Chih.,30.48928571
-107.92,27.22,URICH,CHIH,Urique Chih. SMN*,33.53666667
-107.91,27.22,URECH,CHIH,Urique Chih.,35.53333333
-108.54,27.42,CNDCH,CHIH,Chínipas Chih.,36.88
-105.81,27.45,VZRCH,CHIH,Valle de Zaragoza Chih.,31.93333333
-105.41,27.54,LBQCH,CHIH,La Boquilla Chih.,27.9
-105.63,28.17,FIMCH,CHIH,Francisco I. Madero Chih.,29.7
-108.21,28.21,BSSCH,CHIH,Basaseachi Chih.,22.12413793
-105.45,28.21,CDLCH,CHIH,Ciudad Delicias Chih.,30.73333333
-107.48,28.48,AGZCH,CHIH,Abraham González Chih.,22.1
-106.09,28.66,QIJCH,CHIH,Observatorio de Chihuahua Chih.,29.23
-107.85,28.95,TMCCH,CHIH,Temósachic Chih.,24.68666667
-105.28,28.98,LLNCH,CHIH,Ing. Luis L. León Chih.,34.46551724
-108.3,29.2,GPCCH,CHIH,Guapoca Chih.,28.91
-107.38,29.56,TNTCH,CHIH,El Tintero Chih.,27.63333333
-104.41,29.56,OJNCH,CHIH,Ojinaga Chih.,33.53333333
-107.03,29.88,LJSCH,CHIH,Las Lajas Chih.,27.5
-107.93,30.38,CAGCH,CHIH,Casas Grandes Chih.,27.36333333
-106.4,31.74,CJZCH,CHIH,Ciudad Juárez Chih.,28.31034483
-108.52,28.15,C08182,CHIH,Moris,33.1875
-105.38,27.41,CL2CH,CHIH,Colina hidrométrica Chih.,29.8
-106.22,27.45,BOCADELRIO,CHIH,Boca del Río Chih. SGT*,29.86733333
-107.7,28.76,C08243,CHIH,Tejolocachi,24.25
-105.96,28.77,C08270,CHIH,La Mesa,30.85714286
-106.48,28.8,C08099,CHIH,Majalca,22.75
-108.09,29.25,C08219,CHIH,Peñitas,19.32142857
-108.17,29.67,YEPCH,CHIH,Yepachic Chih.,24.27272727
-107.26,28.77,BACCH,CHIH,Bachíniva Chih.,23.66666667
-93.9,16.24,76840,CHIS,ARRIAGA,37.80666667
-92.13,16.23,76848,CHIS,COMITAN,29.54
-92.63,16.73,76845,CHIS,SAN CBAL. DE LAS CASAS,25.98666667
-92.25,14.92,76903,CHIS,TAPACHULA,37.44666667
-93.13,16.75,76843,CHIS,TUXTLA GUTIÉRREZ,36.42666667
-92.4,15,HUECP,CHIS,Huehuetán Chis.,38.21
-92.48,15.97,CATARINITAS,CHIS,Catarinitas Chis. SGT*,37.28333333
-92.05,16.12,ZAPALUTA,CHIS,Zapaluta Chis. SGT*,27.63
-91.73,16.91,YAQUINTELA,CHIS,Yaquintela Chis. SGT*,33.68666667
-92.26,14.91,TAPCP,CHIS,Tapachula Chis.,37.39
-92.47,15.13,HUICP,CHIS,Huixtla Chis.,37.26666667
-92.58,15.2,DESCP,CHIS,Despoblado Chis.,37.75714286
-92.67,15.32,ESCCP,CHIS,Escuintla Chis.,37.3
-92.72,15.35,CACCP,CHIS,Cacaluta Chis.,35.66071429
-92.88,15.45,MAPCP,CHIS,Mapastepec Chis.,35.41666667
-92.95,15.5,ELNCP,CHIS,El Novillero Chis.,36.8
-93.22,15.69,PIJCP,CHIS,Pijijiapan Chis.,37.55
-92.28,15.75,CHMCP,CHIS,Chicomuselo Chis.,37.34666667
-92.24,15.78,SMICP,CHIS,San Miguel Chis.,38.75
-93.06,16.45,SDOCP,CHIS,Santo Domingo Chis.,37.15
-91.97,15.85,PCOCP,CHIS,Puente Concordia Chis.,34.71666667
-92.72,15.87,JAPCP,CHIS,Jaltenango Chis.,37.33333333
-93.53,15.88,TPICP,CHIS,Tres Picos Chis.,37.01666667
