LON,LAT,EDO,CLAVE,ESTACION,SEP
-115.931389,30.517222,BC,ENBBN,"San QuintÌn (Ejido Nuevo), B.C.",0
-115.15,32.411111,BC,ENLBN,"Ejido Nuevo LeÛn, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",33.11
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",0
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",10.8
-114.729444,32.703889,BC,PDMBN,"Presa Derivadora Morelos, B.C.",1
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0
-114.85,31.033333,BC,SFLBN,"San Felipe, B.C.",0
-116.661667,32.568611,BC,TECATE,"Tecate SMN, B.C.",22
-111.658333,25.001389,BCS,CCNBS,"Ciudad ConstituciÛn, B.C.S.",73.7
-113.420833,27.783333,BCS,DORBS,"DÌaz Ordaz, B.C.S.",3
-114.05,27.966667,BCS,GNGBS,"Guerrero Negro, B.C.S.",2.91
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",124.04
-110.366667,24.15,BCS,LPZBS,"La Paz, B.C.S.",49.22
-111.341667,26.016667,BCS,LRTBS,"Loreto, B.C.S.",31
-112,26.866667,BCS,MLGBS,"Mulege, B.C.S.",51
-109.983333,24.066667,BCS,PLNBS,"Los Planes, B.C.S.",135.51
-109.55,23.583333,BCS,RBRBS,"La Ribera, B.C.S.",144.23
-110.05,23.8,BCS,SANBS,"San Antonio, B.C.S.",130.51
-109.983333,24.066667,BCS,SARBS,"El Sargento, B.C.S.",181.01
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",332.01
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",46.01
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",174.8
-109.716667,23.45,BCS,SNTBS,"Santiago, B.C.S.",189.3
-112.283333,27.3,BCS,SRLBS,"Santa RosalÌa, B.C.S.",45.6
-110.216667,23.433333,BCS,TSNBS,"Todos Santos, B.C.S.",4.01
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",220.2
-89.8925,18.365,CAMP,CALCA,"Calakmul, Camp. SMN*",196.63
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",230.31
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",167.06
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",84.4
-90.72,19.361667,CAMP,CHMCA,"ChampotÛn, Camp.",138
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",202
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",173.73
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",199.9
-89.723889,19.4625,CAMP,DZILBACHEN,"DzilbachÈn, Camp. SMN*",185.6
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",136.52
-90.105556,20.184167,CAMP,HECCA,"Hecelchakan, Camp.",226
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",244.52
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",227.4
-90.221389,19.605833,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",194.8
-90.374167,19.943333,CAMP,PETENES,"Los Petenes, Camp. SMN*",197.4
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",45.01
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",441.7
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",169.72
-102.585833,22.177222,CAMP,XPJCA,"Xpujil, Camp.",108.8
-107.482778,28.481667,CHIH,AGZCH,"Abraham Gonz·lez, Chih.",112.02
-107.255556,28.771667,CHIH,BACCH,"BachÌniva, Chih.",147.5
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",197
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",150.52
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",74.02
-106.5,29.05,CHIH,C08099,"Majalca, Chih.",197.5
-108.533333,28.133333,CHIH,C08182,"Moris, Chih.",46
-108.083333,29.216667,CHIH,C08219,"PeÒitas, Chih.",41.5
-107.7,28.75,CHIH,C08243,"Tejolocachi, Chih.",106.11
-105.966667,28.7,CHIH,C08270,"La Mesa, Chih.",170.34
-107.930833,30.376667,CHIH,CAGCH,"Casas Grandes, Chih.",131.82
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad CuauhtÈmoc, Chih. SMN*",165.2
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",28.05
-108.535556,27.392222,CHIH,CHICH,"ChÌnipas, Chih. SMN*",62.48
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",72.6
-106.770556,26.229444,CHIH,CHNCH,"Chinat˙, Chih. SMN*",191.99
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",90.65
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Ju·rez, Chih.",32.3
-105.381667,27.410278,CHIH,CL2CH,"Colina (hidromÈtrica), Chih.",107.51
-105.3825,27.577222,CHIH,CLNCH,"Ing. Andrew Weiss, Chih.",106.01
-108.541667,27.416667,CHIH,CNDCH,"Chinipas, Chih.",114.53
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",100
-106.353889,26.949722,CHIH,CONCHOSob,"Observatorio de Conchos, Chih. SMN*",90.6
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",139
-105.5,28.17,CHIH,DELICIAS,"Ciudad Delicias, Chih. SMN*",32.5
-106.119444,28.614722,CHIH,ERECH,"El RejÛn, Chih.",90.65
-105.628889,28.166111,CHIH,FIMCH,"Francisco I. Madero, Chih.",56.02
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",100
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",41.42
-107.072778,26.813056,CHIH,GRCCH,"Guerachi, Chih.",107.32
-105.277778,28.994722,CHIH,HGRANERO,"El Granero hidromÈtrica, Chih. SGT*",1
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",178
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",19
-104.912778,27.126667,CHIH,JMNCH,"JimÈnez, Chih.",23.8
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",104.52
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",139.9
-105.28,28.984444,CHIH,LLNCH,"Ing. Luis L. LeÛn, Chih.",76.56
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",50.29
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",233.8
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",17.72
-105.254167,26.546389,CHIH,PAGCH,"Pico del ¡guila, Chih.",51.06
-105.620556,28.165278,CHIH,PFCOIMADERO,"Presa Francisco I. Madero, Chih. SGT*",29.5
-105.675556,26.917778,CHIH,PRRCH,"Parral, Chih.",144.63
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",90.65
-106.383333,26.466667,CHIH,RVGCH,"El Vergel, Chih.",190.7
-107.973333,26.9425,CHIH,TB2CH,"Tubares II, Chih.",159.01
-107.85,28.95,CHIH,TMCCH,"TemÛsachic, Chih.",71.64
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",107.34
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",145.61
-107.916944,27.215556,CHIH,URICH,"Urique, Chih. SMN*",10.93
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",55.18
-105.773333,27.99,CHIH,VILLALBA,"Villalba, Chih. SGT*",97.75
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",96.02
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",138
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",141.01
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario DomÌnguez, Chis.",230.01
-91.920278,15.793889,CHIS,AQUESPALA,"Aquespala, Chis. SMN*",203.1
-92.300278,15.124722,CHIS,ARGOVIA,"Finca Argovia, Chis. OCFS*",596.4
-93.8975,16.241111,CHIS,AROCP,"Arriaga, Chis.",179.21
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. OCFS*",50.5
-93.15,16.641944,CHIS,BOQCP,"BoquerÛn, Chis.",185.2
-92.716667,15.35,CHIS,CACCP,"Cacaluta, Chis.",755.44
-92.4875,16.308333,CHIS,CASCAJAL,"Cascajal, Chis. SGT*",150
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",170.02
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",132.6
-91.949722,17.85,CHIS,CATAZAJA,"Catazaj· SGT, Chis",218.7
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",326.2
-91.710278,16.383056,CHIS,CHAYABE,"Finca ChayabÈ OCFS, Chis.",385.5
-93.019167,16.706389,CHIS,CHIAPACORZO,"Chiapa de Corzo, Chis. SGT*",83
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",37.2
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",102.41
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",328.7
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comit·n, Chis. SMN*",175.8
-92.1,16.2,CHIS,COOCP,"Observatorio de Comit·n, Chis.",201.12
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",370.1
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",659.56
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",140.8
-92.584722,16.725833,CHIS,ELARCOTETE,"El Arcotete, Chis. SGT*",229.2
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",545
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",322.8
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",139.6
-92.829444,17.373056,CHIS,ESCALONCP,"El EscalÛn SGT, Chis.",545.6
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",990.3
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",661.9
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",166.91
-92.402778,14.997222,CHIS,HUECP,"Huehuet·n, Chis.",565.43
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",777.2
-92.454167,16.712778,CHIS,HUIXTAN,"Huixt·n, Chis. SGT*",148.2
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. OCFS*",587.2
-92.184722,14.626111,CHIS,ILRAYON,"Ignacio LÛpez RayÛn, Chis. OCFS*",224.1
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",520.2
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",575.4
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",215.41
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",362.51
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",146
-93.598889,17.178611,CHIS,MALCP,"NezahualcÛyotl, Chis.",288.92
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",643.51
-93.105833,16.741944,CHIS,MODULO5,"MÛdulo Cinco, Chis. SGT*",131.5
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",198.2
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",196
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",249.2
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",196.2
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",186.81
-93.458611,17.446111,CHIS,PENCP,"¡ngel Albino Corzo, Chis.",361.5
-93.474444,17.463611,CHIS,PENITAS,"PeÒitas, Chis. SGT*",360.1
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",535.9
-93.186667,16.753889,CHIS,PTECLUBCAMP,"Puente Club Campestre, Chis. SGT*",56
-92.649167,16.725278,CHIS,PTEMORELOS,"Puente Morelos, Chis. SGT*",159.4
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",220.4
-93.552778,17.348333,CHIS,RCACP,"RÛmulo Calzada, Chis.",188.2
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",421.1
-93.079167,16.158333,CHIS,REVCP,"RevoluciÛn Mexicana, Chis.",297.8
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",262.5
