Lon,Lat,Clave,Edo,Est,Tmed
-102.29,21.85,76571,AGS,AGUASCALIENTES,20.576
-102.37,21.78,NGRAG,AGS,El Niagara Ags.,18.50833333
-102.79,21.81,MNLAG,AGS,Media Luna Ags.,18.98333333
-102.71,21.85,CALVILLO,AGS,Calvillo Ags. SMN*,20.445
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,21.12
-102.31,21.9,AGSAG,AGS,Aguascalientes Ags.,21.20833333
-102,21.9,CNSAG,AGS,Los Conos Ags.,18.79166667
-102.68,22,CDRAG,AGS,La Codorniz Ags.,20.75
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,20.16666667
-102.42,22.14,PECAG,AGS,Plutarco Elías Calles Ags.,20.03333333
-102.29,22.16,PBLAG,AGS,Pabellón Ags.,19.21666667
-102.47,22.19,ANVAG,AGS,Cincuenta Aniversario Ags.,19.55333333
-102.14,22.2,PTOAG,AGS,Puerto de la Concepción Ags.,19.99166667
-102.44,22.24,PTRAG,AGS,Derivadora Pabellón Ags.,19.39166667
-102.3,22.36,CSOAG,AGS,Cosío Ags.,15.25
-115.19,32.41,76040,BC,EJIDO NVO. LEÓN,23.43
-114.72,29.73,CATAVINA,BC,Cataviña B.C. SMN*,19.04
-114.85,31.03,SFLBN,BC,San Felipe B.C.,24.41470588
-116.6,31.89,ELZBN,BC,Emilio López Zamora B.C.,17.83333333
-115.15,32.41,ENLBN,BC,Ejido Nuevo León B.C.,23.27631579
-116.91,32.44,ALRBN,BC,Abelardo L. Rodríguez B.C.,19.125
-116.83,32.47,EFLBN,BC,El Florido B.C.,17.125
-116.7,32.48,CRRBN,BC,El Carrizo B.C.,17.875
-116.3,32.52,HNGBN,BC,El Hongo B.C.,11.88095238
-114.73,32.7,PDMBN,BC,Presa Derivadora Morelos B.C.,22.94318182
-115.27,32.39,MXCBN,BC,Mexicali B.C.,24.45833333
-116.81,32.1,LAMBN,BC,La Misión B.C.,15.85714286
-115.93,30.52,ENBBN,BC,San Quintín B.C.,17.43636364
-114.73,32.7,ALGODONESob,BC,Observatorio de Algodones B.C. SMN*,28.68478261
-111.65,25.01,76402,BCS,CD. CONSTITUCIÓN,21.42333333
-110.32,24.12,76405,BCS,LA PAZ,24.62333333
-111.35,26.02,76305,BCS,LORETO,24.66333333
-112.25,27.28,76253,BCS,STA. ROSALIA,21.81730769
-111.35,26.01,76304,BCS,LORETO (AUTOMATICA),24.12222222
-111.35,26.01,BLORETO,BCS,Bahía de Loreto B.C.S. SMN*,24.15333333
-109.92,22.89,SLUBS,BCS,Cabo San Lucas B.C.S. SMN*,24.60666667
-110.22,23.45,TODOSLOSSANTOS,BCS,Todos los Santos B.C.S. SMN*,19.74666667
-109.93,22.9,CSLBS,BCS,Cabo San Lucas B.C.S.,24.17142857
-109.71,23.07,SJCBS,BCS,San José del Cabo B.C.S.,23.125
-110.22,23.43,TSNBS,BCS,Todos Santos B.C.S.,19.94642857
-109.72,23.45,SNTBS,BCS,Santiago B.C.S.,21.80357143
-109.55,23.58,RBRBS,BCS,La Ribera B.C.S.,21.52678571
-109.7,23.68,LBABS,BCS,Los Barriles B.C.S.,24.07142857
-109.84,23.74,SBABS,BCS,San Bartolo B.C.S.,20.98035714
-110.05,23.8,SANBS,BCS,San Antonio B.C.S.,25.40178571
-109.98,24.07,PLNBS,BCS,Los Planes B.C.S.,23.76923077
-109.98,24.07,SARBS,BCS,El Sargento B.C.S.,22.66964286
-110.37,24.15,LPZBS,BCS,La Paz B.C.S.,24.7875
-111.66,25,CCNBS,BCS,Ciudad Constitución B.C.S.,21.60178571
-111.34,26.02,LRTBS,BCS,Loreto B.C.S.,24.68214286
-112.28,27.3,SRLBS,BCS,Santa Rosalía B.C.S.,21.75714286
-113.42,27.78,DORBS,BCS,Díaz Ordaz B.C.S.,18.2037037
-114.05,27.97,GNGBS,BCS,Guerrero Negro B.C.S.,17.48214286
-112,26.87,MLGBS,BCS,Mulegé B.C.S.,22.01785714
-90.5,19.83,76695,CAMP,CAMPECHE,29.20862069
-89.4,18.5,XPJCA,CAMP,Xpujil Camp.,27.91666667
-89.72,19.46,DZILBACHEN,CAMP,Dzilbachén Camp. SMN*,28.28666667
-89.89,18.09,CALAKMUL,CAMP,Calakmul Camp. SMN*,27.24666667
-89.89,18.36,CALCA,CAMP,Calakmul Camp. SMN*,28.67666667
-91.05,18.18,CNDCA,CAMP,Candelaria Camp.,28.78333333
-92.09,18.25,PLZCA,CAMP,Palizada Camp.,28.16666667
-90.74,18.6,ESCCA,CAMP,Escárcega Camp.,28.91071429
-91.76,18.65,CARCA,CAMP,El Carmen Camp.,29.31481481
-91.18,18.97,SBNCA,CAMP,Sabancuy Camp.,28.625
-90.58,19.3,CANCA,CAMP,Canasayab Camp.,29.08333333
-90.72,19.36,CHMCA,CAMP,Champotón Camp.,28.45
-90.22,19.61,NYXCA,CAMP,Noh-Yaxché Camp.,30.23214286
-89.86,19.66,XCPCA,CAMP,Xcupil Camp.,28.11666667
-89.85,19.75,HPOCA,CAMP,Hopelchen Camp.,28.25
-90.5,19.83,CAMPECHEob,CAMP,Observatorio de Campeche Camp. SMN*,29.54642857
-90.54,19.84,CMPCA,CAMP,Campeche Camp.,28.68965517
