Lon,Lat,Clave,Edo,Est,Tmax
-102.37,21.78,NGRAG,AGS,El Niagara Ags.,26.8
-102.79,21.81,MNLAG,AGS,Media Luna Ags.,28.2
-102.71,21.85,CALVILLO,AGS,Calvillo Ags. SMN*,29.7
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,28.2
-102,21.9,CNSAG,AGS,Los Conos Ags.,26.1
-102.68,22,CDRAG,AGS,La Codorniz Ags.,27.1
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,26.0
-102.42,22.14,PECAG,AGS,Plutarco ElÌas Calles Ags.,26.7
-102.29,22.16,PBLAG,AGS,PabellÛn Ags.,25.8
-102.14,22.2,PTOAG,AGS,Puerto de la ConcepciÛn Ags.,23.8
-102.44,22.24,PTRAG,AGS,Derivadora PabellÛn Ags.,25.5
-102.3,22.36,CSOAG,AGS,CosÌo Ags.,21.7
-102.61,21.27,SIERRAFRIA,AGS,Sierra FrÌa Ags. SMN*,18.7
-102.18,21.74,BRTAG,AGS,San Bartolo Ags.,26.9
-102.13,21.81,TNJAG,AGS,La Tinaja 2 Ags.,27.0
-102.19,21.83,CLVAG,AGS,Calvillo Ags.,26.6
-102.11,21.88,SNVAG,AGS,Sandovales Ags.,22.0
-101.97,21.92,PALAG,AGS,Palo Alto Ags.,25.8
-102.43,21.92,ABRAG,AGS,Abelardo L. RodrÌguez. Ags.,28.5
-102.2,22.01,CHOAG,AGS,CaÒada Honda Ags.,29.3
-102,22.02,NVLAG,AGS,El Novillo Ags.,24.6
-114.72,29.73,CATAVINA,BC,CataviÒa B.C. SMN*,29.2
-114.85,31.03,SFLBN,BC,San Felipe B.C.,31.6
-116.6,31.89,ELZBN,BC,Emilio LÛpez Zamora B.C.,26.1
-116.2,32.27,AGHBN,BC,Agua Hechicera B.C.,24.1
-115.15,32.41,ENLBN,BC,Ejido Nuevo LeÛn B.C.,33.7
-116.91,32.44,ALRBN,BC,Abelardo L. RodrÌguez B.C.,29.6
-116.83,32.47,EFLBN,BC,El Florido B.C.,27.3
-116.7,32.48,CRRBN,BC,El Carrizo B.C.,30.1
-116.3,32.52,HNGBN,BC,El Hongo B.C.,22.4
-114.73,32.7,PDMBN,BC,Presa Derivadora Morelos B.C.,30.8
-115.27,32.39,MXCBN,BC,Mexicali B.C.,32.9
-115.93,30.52,ENBBN,BC,San QuintÌn B.C.,25.3
-114.73,32.7,ALGODONESob,BC,Observatorio de Algodones B.C. SMN*,31.6
-113.56,28.9,BAABN,BC,BahÌa de los ¡ngeles B.C. SMN*,30.6
-114.83,30.99,SANFELIPEMAR,BC,San Felipe B.C. SEMAR*,28.7
-114.83,31.03,SFELIPEob,BC,Observatorio de San Felipe B.C. SMN*,31.7
-116.37,31.49,ENSBN,BC,Ensenada B.C.,27.0
-116.6,31.89,PLOPEZZAMORA,BC,Presa Emilio LÛpez Zamora B.C. SMN*,24.8
-115.92,32.04,CONST1857,BC,ConstituciÛn de 1857 B.C. SMN*,22.5
-116.21,32.27,RUMOROSA,BC,La Rumorosa B.C. SMN*,24.6
-117.07,32.38,PLAYAROSARITO,BC,Playa Rosarito B.C. SMN*,23.8
