Lon,Lat,Clave,Edo,Est,Tmin
-99.75,16.76,76805,GRO,ACAPULCO,21.8483871
-102.29,21.85,76571,AGS,AGUASCALIENTES,9.52
-111.83,30.71,76113,SON,ALTAR,10.13571429
-93.9,16.24,76840,CHIS,ARRIAGA,21.52580645
-90.5,19.83,76695,CAMP,CAMPECHE,20.82903226
-111.65,25.01,76402,BCS,CD. CONSTITUCIÓN,9.65483871
-109.92,27.48,76258,SON,CD. OBREGON,9.864285714
-99.17,23.75,76491,TAMPS,CD. VICTORIA,15.87777778
-99.2,19.4,76680,DF,CENTRAL TACUBAYA,12.08
-88.3,18.48,76750,QROO,CHETUMAL,21.93548387
-106.13,28.67,76225,CHIH,CHIHUAHUA,9.916129032
-99.5,17.55,76762,GRO,CHILPANCINGO,16.82903226
-103.46,19.73,76656,JAL,CIUDAD GUZMÁN,9.753333333
-94.51,18.19,76741,VER,COATZACOALCOS,21.48846154
-103.72,19.24,76658,COL,COLIMA,17.78275862
-92.13,16.23,76848,CHIS,COMITAN,13.34516129
-99.23,18.89,76726,MOR,CUERNAVACA,15.00833333
-107.44,24.63,76412,SIN,CULIACÁN,12.12413793
-104.6,24.09,76423,DGO,DURANGO,8.041935484
-115.19,32.41,76040,BC,EJIDO NVO. LEÓN,9.99
-110.8,27.95,76256,SON,EMPALME,13.68387097
-88.05,19.57,76698,QROO,FPE. CARRILLO PUERTO,18.7483871
-103.39,20.71,76612,JAL,GUADALAJARA,10.49354839
-101.29,21.01,76577,GTO,GUANAJUATO,12.1137931
-110.93,29.08,76160,SON,HERMOSILLO,12.13043478
-105.67,26.92,76323,CHIH,HGO. DEL PARRAL,9.316129032
-97.77,17.8,76773,OAX,HUAJUAPAN DE LEON,11.30645161
-96.9,19.51,76687,VER,JALAPA,12.76071429
-110.32,24.12,76405,BCS,LA PAZ,14.96296296
-111.35,26.02,76305,BCS,LORETO,14.1483871
-104.33,19.07,76654,COL,MANZANILLO,21.06129032
-98.81,21.28,76585,SLP,MATLAPA,18.38214286
-106.41,23.22,76458,SIN,MAZATLAN,16.38387097
-89.65,20.95,76644,YUC,MERIDA,20.98387097
-101.42,26.91,76342,COAH,MONCLOVA,13.53870968
-100.3,25.73,76393,NL,MONTERREY,13.8625
-101.18,19.7,76665,MICH,MORELIA,10.95483871
-107.93,30.42,76122,CHIH,NUEVO CASAS GRANDES,5.661290323
-96.7,17.07,76775,OAX,OAXACA,12.26451613
-97.1,18.85,76737,VER,ORIZABA,13.59285714
-98.75,20.13,76632,HGO,PACHUCA,8.464516129
-100.52,28.7,76243,COAH,PIEDRAS NEGRAS,12.66666667
-89.65,21.28,76593,YUC,PROGRESO,21.15333333
-98.17,19.05,76685,PUE,PUEBLA,9.4
-96.48,15.65,76855,OAX,PUERTO ANGEL,22.94193548
-100.4,20.58,76625,QRO,QUERETARO,12.90322581
-100,21.92,76581,SLP,RIO VERDE,14.30645161
-95.18,16.17,76833,OAX,SALINA CRUZ,24.55666667
