Lon,Lat,Clave,Edo,Est,Tmin
-104.91,27.13,JMNCH,CHIH,Jiménez Chih.,9.089285714
-107.92,27.22,URICH,CHIH,Urique Chih. SMN*,18.35
-107.91,27.22,URECH,CHIH,Urique Chih.,17.05666667
-108.54,27.42,CNDCH,CHIH,Chínipas Chih.,12.98
-105.81,27.45,VZRCH,CHIH,Valle de Zaragoza Chih.,8.733333333
-105.41,27.54,LBQCH,CHIH,La Boquilla Chih.,12.53333333
-105.63,28.17,FIMCH,CHIH,Francisco I. Madero Chih.,11.13333333
-108.21,28.21,BSSCH,CHIH,Basaseachi Chih.,0.089655172
-105.45,28.21,CDLCH,CHIH,Ciudad Delicias Chih.,11.5
-107.48,28.48,AGZCH,CHIH,Abraham González Chih.,2.483333333
-106.09,28.66,QIJCH,CHIH,Observatorio de Chihuahua Chih.,12.31666667
-107.85,28.95,TMCCH,CHIH,Temósachic Chih.,2.58
-105.28,28.98,LLNCH,CHIH,Ing. Luis L. León Chih.,15.20689655
-108.3,29.2,GPCCH,CHIH,Guapoca Chih.,3.306666667
-107.38,29.56,TNTCH,CHIH,El Tintero Chih.,7.466666667
-104.41,29.56,OJNCH,CHIH,Ojinaga Chih.,10.9
-107.03,29.88,LJSCH,CHIH,Las Lajas Chih.,7
-107.93,30.38,CAGCH,CHIH,Casas Grandes Chih.,7.576666667
-106.4,31.74,CJZCH,CHIH,Ciudad Juárez Chih.,14.44827586
-108.52,28.15,C08182,CHIH,Moris,9.75
-105.38,27.41,CL2CH,CHIH,Colina hidrométrica Chih.,7.55
-106.22,27.45,BOCADELRIO,CHIH,Boca del Río Chih. SGT*,10.64366667
-107.7,28.76,C08243,CHIH,Tejolocachi,1.107142857
-105.96,28.77,C08270,CHIH,La Mesa,9.214285714
-106.48,28.8,C08099,CHIH,Majalca,2.035714286
-108.09,29.25,C08219,CHIH,Peñitas,-0.857142857
-108.17,29.67,YEPCH,CHIH,Yepachic Chih.,0.136818182
-107.26,28.77,BACCH,CHIH,Bachíniva Chih.,5.5
-93.9,16.24,76840,CHIS,ARRIAGA,21.10333333
-92.13,16.23,76848,CHIS,COMITAN,14.46333333
-92.63,16.73,76845,CHIS,SAN CBAL. DE LAS CASAS,8.54
-92.25,14.92,76903,CHIS,TAPACHULA,25.00333333
-93.13,16.75,76843,CHIS,TUXTLA GUTIÉRREZ,19.69333333
-92.4,15,HUECP,CHIS,Huehuetán Chis.,23.56666667
-92.48,15.97,CATARINITAS,CHIS,Catarinitas Chis. SGT*,21.06333333
-92.05,16.12,ZAPALUTA,CHIS,Zapaluta Chis. SGT*,13.61333333
-91.73,16.91,YAQUINTELA,CHIS,Yaquintela Chis. SGT*,16.48666667
-92.26,14.91,TAPCP,CHIS,Tapachula Chis.,25.02
-92.47,15.13,HUICP,CHIS,Huixtla Chis.,22.26666667
-92.58,15.2,DESCP,CHIS,Despoblado Chis.,22.07392857
-92.67,15.32,ESCCP,CHIS,Escuintla Chis.,22.56666667
-92.72,15.35,CACCP,CHIS,Cacaluta Chis.,20.78571429
-92.88,15.45,MAPCP,CHIS,Mapastepec Chis.,22.85
-92.95,15.5,ELNCP,CHIS,El Novillero Chis.,24.03333333
-93.22,15.69,PIJCP,CHIS,Pijijiapan Chis.,24
-92.28,15.75,CHMCP,CHIS,Chicomuselo Chis.,16.08
-92.24,15.78,SMICP,CHIS,San Miguel Chis.,16.38333333
-93.06,16.45,SDOCP,CHIS,Santo Domingo Chis.,19.43333333
-91.97,15.85,PCOCP,CHIS,Puente Concordia Chis.,18.1
-92.72,15.87,JAPCP,CHIS,Jaltenango Chis.,16.2
-93.53,15.88,TPICP,CHIS,Tres Picos Chis.,22.35
-92.67,15.92,REFCP,CHIS,Reforma Chis.,16
-93.08,16.16,REVCP,CHIS,Revolución Mexicana Chis.,18
-92.1,16.2,COOCP,CHIS,Observatorio de Comitán Chis.,14.23666667
-93.9,16.24,AROCP,CHIS,Arriaga Chis.,21.03666667
-92.48,16.31,CASCP,CHIS,Cascajal Chis.,17.82142857
-92.78,16.4,ANGCP,CHIS,Doctor Belisario Domínguez Chis.,20.16666667
-92.8,16.55,ACACP,CHIS,Acala Chis.,20.06666667
-90.7,16.58,LACCP,CHIS,Lacantún Chis.,20.64285714
-93.15,16.64,BOQCP,CHIS,Boquerón Chis.,20.21666667
-92.63,16.73,SCOCP,CHIS,Observatorio de San Cristóbal Chis.,8.816666667
-93.13,16.75,TXOCP,CHIS,Observatorio de Tuxtla Gutiérrez Chis.,19.70333333
-93.1,16.76,TUXCP,CHIS,Tuxtla Oriente Chis.,21.4
-93.15,16.76,TUXTLAGTZob,CHIS,Observatorio de Tuxtla Gutiérrez Chis. SMN*,21.16551724
-92.82,16.94,SNACP,CHIS,Santa María Chis.,20.41071429
-93.1,16.94,CHICP,CHIS,Manuel Moreno Torres Chis.,22.31666667
-93.12,16.98,GRICP,CHIS,Grijalva Chis.,20
-93.33,17.12,YAMCP,CHIS,Yamonhó Chis.,18.13793103
-93.6,17.18,MALCP,CHIS,Nezahualcóyotl Chis.,23.10714286
-92.87,17.19,ARROYOGRANDE,CHIS,Arroyo Grande Chis. SGT*,17.69095238
-93.38,17.42,SAYCP,CHIS,Sayula Chis.,19.89655172
-93.01,17.25,TAPILULA,CHIS,Tapilula Chis. SGT*,19.4675
-93.46,17.45,PENCP,CHIS,Ángel Albino Corzo Chis.,22.59259259
-92.35,17.57,SAACP,CHIS,Salto de Agua Chis.,21
-93.19,17.61,JUAREZ,CHIS,Juárez Chis. Protección Civil*,21.96428571
-92.97,15.73,CUXTEPEQUES,CHIS,Finca Cuxtepeques Chis. SGT*,16.36666667
-93.63,16.49,NVAPALESTINA,CHIS,Nueva Palestina Chis. SGT*,18.10333333
-93.27,16.23,VIFCP,CHIS,Villa Flores Chis.,15.21428571
-92.18,14.63,ILRAYON,CHIS,Ignacio López Rayón Chis. SGT*,23.39333333
-92.24,14.99,TAMCP,CHIS,Tapachula Malpaso Chis.,21.42307692
-92.15,15.09,VTACANA,CHIS,Volcán Tacaná Chis. SMN*,15.96296296
-92.3,15.12,ARGOVIA,CHIS,Finca Argovia Chis. SGT*,19.02333333
-92.47,15.15,HUIXTLA,CHIS,Huixtla Chis. SGT*,21.97
-93.25,16.25,VILLAFLORES,CHIS,Villaflores Chis. SGT*,17.38666667
-91.71,16.38,CHAYABE,CHIS,Finca Chayabé Chis. SGT*,14.00333333
-93.56,16.69,LASFLORESII,CHIS,Las Flores Dos Chis. SGT*,18.68
-92.62,16.74,SCRCP,CHIS,Puente Morelos Chis.,7.910714286
-92.91,17,BOCHIL,CHIS,Bochil Chis. SGT*,13.02
-92.27,15.33,MOTOZINTLA,CHIS,Motozintla Chis. SGT*,14.52
-92.32,15.56,SILTEPEC,CHIS,Siltepec Chis. SGT*,18.38333333
-93.07,16.72,TXZCP,CHIS,Tuxtla Gutiérrez Zoomat Chis.,18.85185185
-92.37,16.89,CANCUC,CHIS,Cancuc Chis. SGT*,16.81172414
-92.48,15.35,FPZCP,CHIS,Finca la Paz Chis.,15.5
-92.33,15.17,FHACP,CHIS,Finca Hamburgo Chis.,18.26470588
-92.3,14.89,TAPACHULAob,CHIS,Observatorio de Tapachula Chis. SMN*,26.075
-101.42,26.91,76342,COAH,MONCLOVA,17.35666667
-100.52,28.7,76243,COAH,PIEDRAS NEGRAS,15.74666667
-103.45,25.53,76382,COAH,TORREON,16.77666667
-103.7,27.29,SMJCL,COAH,Sierra Mojada Coah.,15.25
-100.92,25.44,ESLCL,COAH,E. C. Saltillo Coah.,13.56666667
-103.26,25.77,FIMCL,COAH,Francisco I. Madero Coah.,14.26666667
-101.12,29.15,CBRCL,COAH,Cabeceras Coah.,13.64285714
-101.02,25.38,STOCL,COAH,Saltillo Coah.,14.36666667
-103.45,25.53,TORREONob,COAH,Observatorio de Torreón Coah. SMN*,17.24827586
-103.45,25.54,TORCL,COAH,Observatorio de Torreón Coah.,16.83666667
-103.47,25.54,CYTCL,COAH,Coyote Coah.,16.96666667
-100.93,25.56,ARACL,COAH,Ramos Arizpe Aeropuerto Coah.,12.9
-102.98,25.76,SPECL,COAH,San Pedro Coah.,11.46666667
-100.66,26.84,CDLCL,COAH,Candela Coah.,17
-101.42,26.91,MCVCL,COAH,Monclova Coah.,17.27
-102.06,26.98,CCGCL,COAH,Cuatro Ciénegas Coah.,15.23333333
-101,27.42,PRSCL,COAH,Progreso Coah.,12.96
-100.62,27.52,VCRCL,COAH,Venustiano Carranza Coah.,14.6
-101.12,27.85,SBNCL,COAH,Sabinas Coah.,14.25862069
-100.53,28.71,PNGCL,COAH,Piedras Negras Coah.,15.82758621
-100.9,29.03,ZPTCL,COAH,Zapata Coah.,12.06896552
-100.95,29.03,SMGCL,COAH,San Miguel Coah.,12.12
-100.95,29.21,CNTCL,COAH,El Centenario Coah.,12.96296296
-100.95,29.33,CDACL,COAH,Ciudad Acuña Coah.,12.74074074
-101.06,29.45,AMSCL,COAH,Internacional La Amistad Coah.,13.66666667
-100.58,25.27,SAACL,COAH,San Antonio de las Alazanas Coah.,7.217391304
