LON,LAT,EDO,CLAVE,ESTACION,dic-19
-110.215556,23.446667,BCS,TODOSLOSSANTOS,"Todos los Santos, B.C.S. SMN*",0
-110.216667,23.433333,BCS,TSNBS,"Todos Santos, B.C.S.",0.01
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",52
-89.898889,18.486111,CAMP,CALAKMULINIF,"Calakmul, Camp. INIFAP*",198.6
-89.8925,18.365,CAMP,CALCA,"Calakmul, Camp. SMN*",0
-90.5,19.833333,CAMP,CAMPECHEob,"Observatorio de Campeche, Camp. SMN*",63
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",85.3
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",82.73
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",59.4
-90.72,19.361667,CAMP,CHMCA,"ChampotÛn, Camp.",146.5
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",126.61
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",112.92
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",76.1
-89.723889,19.4625,CAMP,DZILBACHEN,"DzilbachÈn, Camp. SMN*",80.4
-90.758333,18.607778,CAMP,ESCARCEGA,"Esc·rcega, Camp. SMN*",57.6
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",65.12
-90.105556,20.184167,CAMP,HECCA,"Hecelchakan, Camp.",48
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",78
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",95.4
-90.221389,19.605833,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",62.21
-90.374167,19.943333,CAMP,PETENES,"Los Petenes, Camp. SMN*",20.2
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",69.5
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",75.92
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",38.51
-102.585833,22.177222,CAMP,XPJCA,"Xpujil, Camp.",82
-107.482778,28.481667,CHIH,AGZCH,"Abraham Gonz·lez, Chih.",7
-108.036389,31.096667,CHIH,ASCENCION,"AscensiÛn, Chih. INIFAP*",74.6
-105.422778,28.558889,CHIH,BABISAS,"Babisas, Chih. SMN*",5.25
-107.255556,28.771667,CHIH,BACCH,"BachÌniva, Chih.",10.5
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",62.4
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",4.6
-108.271389,31.114722,CHIH,BUENAVISTACH,"Buena Vista, Chih. INIFAP*",62
-106.5,29.05,CHIH,C08099,"Majalca, Chih.",6
-108.533333,28.133333,CHIH,C08182,"Moris, Chih.",6
-108.083333,29.216667,CHIH,C08219,"PeÒitas, Chih.",42.5
-107.7,28.75,CHIH,C08243,"Tejolocachi, Chih.",19.5
-105.966667,28.7,CHIH,C08270,"La Mesa, Chih.",0
-107.930833,30.376667,CHIH,CAGCH,"Casas Grandes, Chih.",29.1
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad CuauhtÈmoc, Chih. SMN*",2.4
-106.427222,31.689722,CHIH,CDJUAREZob,"Observatorio de Ciudad Ju·rez, Chih. SMN*",17.8
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",3.5
-107.47,28.544444,CHIH,CGUERRERO,"Ciudad Guerrero, Chih. INIFAP*",5.4
-108.535556,27.392222,CHIH,CHICH,"ChÌnipas, Chih. SMN*",7.87
-106.770556,26.229444,CHIH,CHNCH,"Chinat˙, Chih. SMN*",0
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",8
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Ju·rez, Chih.",19.6
-105.381667,27.410278,CHIH,CL2CH,"Colina (hidromÈtrica), Chih.",0
-105.3825,27.577222,CHIH,CLNCH,"Ing. Andrew Weiss, Chih.",0
-108.541667,27.416667,CHIH,CNDCH,"Chinipas, Chih.",12
-107.948333,30.7825,CHIH,COLELCAPULIN,"Colonia el CapulÌn, Chih. INIFAP*",45
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",0
-106.353889,26.949722,CHIH,CONCHOSob,"Observatorio de Conchos, Chih. SMN*",0
-105.5,28.17,CHIH,DELICIAS,"Ciudad Delicias, Chih. SMN*",3.5
-107.926944,30.464444,CHIH,DUBLAN,"Dublan, Chih. INIFAP*",5
-106.306111,28.993889,CHIH,ELSUMICO,"El Sumico, Chih. INIFAP*",5.7
-106.119444,28.614722,CHIH,ERECH,"El RejÛn, Chih.",8
-108.325278,30.8675,CHIH,FERNANDEZLEAL,"Fern·ndez Leal, Chih. INIFAP*",43.8
-105.628889,28.166111,CHIH,FIMCH,"Francisco I. Madero, Chih.",0.01
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",3.6
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",43.5
-105.277778,28.994722,CHIH,HGRANERO,"El Granero hidromÈtrica, Chih. SGT*",1.5
-106.41,30.149167,CHIH,IFBARRIAL,"El Barrial, Chih. INIFAP*",43.6
-105.998611,28.722222,CHIH,IFPRODUCECH,"FundaciÛn Produce Chihuahua, Chih. INIFAP*",14
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",2
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",23.6
-104.912778,27.126667,CHIH,JMNCH,"JimÈnez, Chih.",0
-105.68,27.023889,CHIH,LALAGUNACP,"La Laguna, Chih. INIFAP*",0.7
-106.086944,27.761111,CHIH,LASBRUJAS,"Las Brujas, Chih. INIFAP*",0.5
-108.014167,31.256111,CHIH,LASOMBRA,"La Sombra, Chih. INIFAP*",40
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",0
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",22.01
-105.28,28.984444,CHIH,LLNCH,"Ing. Luis L. LeÛn, Chih.",22
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",26.4
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",3
-104.614722,28.882778,CHIH,NUEVAHOLANDA,"Nueva Holanda, Chih. INIFAP*",5.2
-104.43,29.583333,CHIH,OJINAGAC,"Ojinaga RÌo Conchos, Chih. CILA*",14.75
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",13
-105.254167,26.546389,CHIH,PAGCH,"Pico del ¡guila, Chih.",3.4
-104.74,29.5,CHIH,Peguis,"Peguis, Chih. SGT*",12.5
-105.675556,26.917778,CHIH,PRRCH,"Parral, Chih.",0.4
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",8
-106.968889,29.948889,CHIH,RDOFLORESMAGON,"Ricardo Flores MagÛn, Chih. INIFAP*",24.4
-107.491667,29.035556,CHIH,SOTOMAINEZ,"Soto Mainez, Chih. INIFAP*",7.2
-107.85,28.95,CHIH,TMCCH,"TemÛsachic, Chih.",11.3
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",24
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",6.7
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",3.41
-105.773333,27.99,CHIH,VILLALBA,"Villalba, Chih. SGT*",2.5
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",0
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",5
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",2.2
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario DomÌnguez, Chis.",1.8
-92.300278,15.124722,CHIS,ARGOVIA,"Finca Argovia, Chis. OCFS*",45.2
-93.8975,16.241111,CHIS,AROCP,"Arriaga, Chis.",0
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. OCFS*",19.9
-93.15,16.641944,CHIS,BOQCP,"BoquerÛn, Chis.",3.3
-92.4875,16.308333,CHIS,CASCAJAL,"Cascajal, Chis. SGT*",10.4
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",4.1
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",3.6
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",107.4
-91.710278,16.383056,CHIS,CHAYABE,"Finca ChayabÈ OCFS, Chis.",107.2
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",26
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",5.61
