Estado,Localidad,Lon,Lat,Clave,Tmax,Tmin,Tmed
CHIS,Boquerón Chis.,-93.15,16.64,BOQCP,31.48387097,16.58064516,24.03225806
CHIS,COMITAN,-92.13,16.23,76848,23.71290323,11.77096774,17.74193548
CHIS,Catarinitas Chis. SGT*,-92.48,15.97,CATARINITAS,31.55483871,17.09032258,24.32258065
CHIS,Doctor Belisario Domínguez Chis.,-92.78,16.4,ANGCP,32.25806452,16.70967742,24.48387097
CHIS,Finca Argovia Chis. SGT*,-92.3,15.12,ARGOVIA,29.79354839,17.13548387,23.46451613
CHIS,Finca Chayabé Chis. SGT*,-91.71,16.38,CHAYABE,21.71071429,11.95,16.83035714
CHIS,Finca Cuxtepeques Chis. SGT*,-92.97,15.73,CUXTEPEQUES,27.38387097,13.25483871,20.31935484
CHIS,Grijalva Chis.,-93.12,16.98,GRICP,30.37096774,16.01612903,23.19354839
CHIS,Huixtla Chis. SGT*,-92.47,15.15,HUIXTLA,38.2516129,20.76451613,29.50806452
CHIS,Ignacio López Rayón Chis. SGT*,-92.18,14.63,ILRAYON,31.53225806,21.13870968,26.33548387
CHIS,Juárez Chis. Protección Civil*,-93.19,17.61,JUAREZ,28.18076923,19.09615385,23.63846154
CHIS,Las Flores Dos Chis. SGT*,-93.56,16.69,LASFLORESII,29.63333333,15.15,22.39166667
CHIS,Manuel Moreno Torres Chis.,-93.1,16.94,CHICP,29.0,17.96666667,23.48333333
CHIS,Motozintla Chis. SGT*,-92.27,15.33,MOTOZINTLA,21.68965517,10.9,16.29482759
CHIS,Nueva Palestina Chis. SGT*,-93.63,16.49,NVAPALESTINA,30.54193548,15.28064516,22.91129032
CHIS,Observatorio de San Cristóbal Chis.,-92.63,16.73,SCOCP,21.67333333,7.493333333,14.58333333
CHIS,Observatorio de Tuxtla Gutiérrez Chis.,-93.13,16.75,TXOCP,29.88064516,17.55806452,23.71935484
CHIS,Puente Concordia Chis.,-91.97,15.85,PCOCP,29.72580645,13.90322581,21.81451613
CHIS,Puente Morelos Chis.,-92.62,16.74,SCRCP,20.96666667,6.3,13.63333333
CHIS,Reforma Chis.,-92.67,15.92,REFCP,31.0,13.87096774,22.43548387
CHIS,Revolución Mexicana Chis.,-93.08,16.16,REVCP,29.20967742,14.74193548,21.97580645
CHIS,SAN CBAL. DE LAS CASAS,-92.63,16.73,76845,21.67333333,7.5933333329999995,14.63333333
CHIS,Salto de Agua Chis.,-92.35,17.57,SAACP,27.5,18.26785714,22.88392857
CHIS,San Miguel Chis.,-92.24,15.78,SMICP,33.38709677,13.83870968,23.61290323
CHIS,Santo Domingo Chis.,-93.06,16.45,SDOCP,30.81666667,16.08333333,23.45
CHIS,Siltepec Chis. SGT*,-92.32,15.56,SILTEPEC,26.31071429,15.16428571,20.7375
CHIS,TUXTLA GUTIÉRREZ,-93.13,16.75,76843,29.91290323,17.51935484,23.71612903
CHIS,Tapachula Chis.,-92.26,14.91,TAPCP,34.47741935,22.31612903,28.39677419
CHIS,Tapilula Chis. SGT*,-93.01,17.25,TAPILULA,24.07416667,15.44541667,19.75979167
CHIS,Villaflores Chis. SGT*,-93.25,16.25,VILLAFLORES,31.15806452,13.80322581,22.48064516
CHIS,Volcán Tacaná Chis. SMN*,-92.15,15.09,VTACANA,26.08064516,14.61290323,20.34677419
CHIS,Yamonhó Chis.,-93.33,17.12,YAMCP,27.21428571,15.92857143,21.57142857
CHIS,Yaquintela Chis. SGT*,-91.73,16.91,YAQUINTELA,26.70689655,15.1,20.90344828
CHIS,Zapaluta Chis. SGT*,-92.05,16.12,ZAPALUTA,22.66129032,11.29032258,16.97580645
CHIS,Ángel Albino Corzo Chis.,-93.46,17.45,PENCP,27.41304348,19.26086957,23.33695652
COAH,Ciudad Acuña Coah.,-100.95,29.33,CDACL,19.48148148,4.814814815,12.14814815
COAH,Cuatro Ciénegas Coah.,-102.06,26.98,CCGCL,22.72413793,5.620689655,14.17241379
COAH,E. C. Saltillo Coah.,-100.92,25.44,ESLCL,19.32758621,6.379310345,12.85344828
COAH,El Centenario Coah.,-100.95,29.21,CNTCL,17.88888889,4.666666667,11.27777778
COAH,Internacional La Amistad Coah.,-101.06,29.45,AMSCL,18.17857143,5.607142857,11.89285714
COAH,MONCLOVA,-101.42,26.91,76342,21.05517241,8.34137931,14.69827586
COAH,Monclova Coah.,-101.42,26.91,MCVCL,21.1862069,8.313793103,14.75
COAH,Observatorio de Saltillo Coah.,-101.02,25.38,SALCL,20.46129032,6.438709677,13.45
COAH,PIEDRAS NEGRAS,-100.52,28.7,76243,18.89333333,6.736666667000001,12.815
COAH,Piedras Negras Coah.,-100.53,28.71,PNGCL,19.93333333,6.911111111,13.42222222
COAH,Progreso Coah.,-101.0,27.42,PRSCL,20.10344828,4.310344828,12.20689655
COAH,SALTILLO,-101.02,25.38,76390,20.72580645,6.0709677420000006,13.398387099999999
COAH,Saltillo Coah.,-101.02,25.38,STOCL,19.34482759,7.551724137999999,13.44827586
COAH,San Pedro Coah.,-102.98,25.76,SPECL,23.59677419,5.451612902999999,14.52419355
COAH,Venustiano Carranza Coah.,-100.62,27.52,VCRCL,19.64285714,5.964285714,12.80357143
COAH,Zapata Coah.,-100.9,29.03,ZPTCL,17.4,4.633333333,11.01666667
COL,Buena Vista Col.,-103.61,19.25,BVSCM,32.69354839,15.5483871,24.12096774
COL,Cerro de Ortega Col.,-103.72,18.75,CDOCM,33.66129032,18.32258065,25.99193548
COL,Derivadora Jala Col.,-103.88,19.11,DJLCM,32.59677419,16.75806452,24.67741935
COL,La Posta Col.,-103.73,19.22,LPSCM,33.20967742,17.37096774,25.29032258
COL,Laguna de Amela Col.,-103.77,18.81,LDACM,32.28333333,18.43333333,25.35833333
COL,MANZANILLO,-104.33,19.07,76654,31.50322581,22.77096774,27.13709677
COL,Manzanillo Col.,-104.32,19.04,MNZCM,31.49677419,22.73870968,27.11774194
COL,Radar Col.,-103.73,19.22,RDRCM,34.12903226,19.96774194,27.048387100000003
DF,Antonio Caso,-99.16,19.35,ENP 6,22.82580645,8.906451613,15.86612903
DF,CCH Azcapotzalco,-99.2,19.5,CCH A,22.68709677,7.470967742000001,15.07903226
DF,CCH Oriente,-99.06,19.38,CCH O,22.57741935,8.196774194,15.38709677
DF,CCH Sur,-99.2,19.31,CCH S,21.951612899999997,7.474193548,14.71290323
DF,CENTRAL TACUBAYA,-99.2,19.4,76680,23.07096774,8.629032257999999,15.85
DF,Campamento Amealco Cd. de Méx.,-99.14,19.52,CEADF,23.75806452,6.564516128999999,15.16129032
DF,Centro de Ciencias de la Atmósfera,-99.18,19.33,CCA ,22.18333333,7.625,14.90416667
DF,Desviación Alta Cd. de Méx.,-99.2,19.3,DATDF,22.93548387,8.806451613,15.87096774
DF,Escuela Nacional de Ciencias Biológicas IPN Cd. de Méx. SMN*,-99.17,19.45,CBIDF,22.25483871,9.119354839,15.68709677
DF,Ezequiel A. Chavez,-99.13,19.42,ENP 7,22.8516129,9.919354839,16.38548387
DF,Gabino Barreda,-99.12,19.27,ENP 1,22.1483871,7.8516129029999995,15.0
DF,Justo Sierra,-99.1,19.48,ENP 3,23.53225806,8.716129032000001,16.12419355
DF,Pedro de Alva,-99.13,19.48,ENP 9,22.63870968,9.874193548,16.25645161
DF,San Juan de Aragón Cd. de Méx.,-99.07,19.47,SJADF,23.64516129,6.661290322999999,15.15322581
