Estado,Localidad,Lon,Lat,Clave,2020,2018,Edo,2019
CHIH,"Parral, Chih.",-105.675556,26.917778000000002,PRRCH,0.0,0.0,CHIH,87.4
CHIH,"San Ignacio, Chih.",-107.879167,26.870833,IGNCH,0.0,0.0,CHIH,151.5
CHIH,"Valle de Zaragoza, Chih.",-105.806944,27.454444,VZRCH,0.0,0.0,CHIH,31.0
CHIH,"Villa Coronado, Chih.",-105.16,26.738611,VICCH,0.0,0.0,CHIH,95.1
CHIH,"Yepachic, Chih.",-108.16666699999999,29.666666999999997,YEPCH,0.0,0.0,CHIH,213.0
CHIS,"Acala, Chis.",-92.804167,16.552778,ACACP,2.2,2.2,CHIS,107.6
CHIS,"Arriaga, Chis.",-93.8975,16.241111,AROCP,0.0,0.0,CHIS,169.4
CHIS,"Boquerón, Chis.",-93.15,16.641944,BOQCP,0.9,0.9,CHIS,65.9
CHIS,"Cacaluta, Chis.",-92.716667,15.35,CACCP,0.8,0.8,CHIS,395.6
CHIS,"Cascajal, Chis.",-92.479167,16.308332999999998,CASCP,0.0,0.0,CHIS,68.2
CHIS,"Cascajal, Chis. SGT*",-92.4875,16.308332999999998,CASCAJAL,3.2,3.2,CHIS,86.6
CHIS,"Catarinitas, Chis. SGT*",-92.483056,15.969167,CATARINITAS,16.0,16.0,CHIS,55.4
CHIS,"Chacamax, Chis. SGT*",-91.703333,17.472222,CHACAMAX,245.8,245.8,CHIS,87.8
CHIS,"Chicomuselo, Chis.",-92.283333,15.75,CHMCP,13.6,13.6,CHIS,91.7
CHIS,"Chicomuselo, Chis. SGT*",-92.281389,15.750278,CHICOMUSELO,18.8,18.8,CHIS,111.8
CHIS,"Despoblado, Chis.",-92.575,15.204167000000002,DESCP,0.0,0.0,CHIS,424.8
CHIS,"El Aguaje, Chis. SGT*",-92.59083299999999,16.686111,ELAGUAJE,22.0,22.0,CHIS,92.8
CHIS,"El Dorado, Chis. CFE*",-92.925278,16.108333,DORADOCFE,0.8,0.8,CHIS,83.9
CHIS,"El Novillero, Chis.",-92.95,15.495833,ELNCP,0.0,0.0,CHIS,366.5
CHIS,"El Triunfo, Chis. SMN*",-92.80805600000001,15.656667,ELTRIUNFO,114.4,114.4,CHIS,109.6
CHIS,"Escuintla, Chis.",-92.666667,15.316667,ESCCP,2.0,2.0,CHIS,396.6
CHIS,"Finca Argovia, Chis. OCFS*",-92.300278,15.124722,ARGOVIA,16.1,16.1,CHIS,247.7
CHIS,"Grijalva, Chis.",-93.125,16.975,GRICP,0.3,0.3,CHIS,131.6
CHIS,"Huehuetán, Chis.",-92.402778,14.997222,HUECP,0.0,0.0,CHIS,245.2
CHIS,"Huixtla, Chis.",-92.472222,15.133332999999999,HUICP,0.0,0.0,CHIS,354.9
CHIS,"Ignacio López Rayón, Chis. OCFS*",-92.184722,14.626110999999998,ILRAYON,0.3,0.3,CHIS,23.5
CHIS,"Jaltenango, Chis.",-92.725,15.866667000000001,JAPCP,10.8,10.8,CHIS,108.1
CHIS,"Jaltenango, Chis. SGT*",-92.72,15.886110999999998,JALTENANGO,9.0,9.0,CHIS,114.0
CHIS,"La Encrucijada, Chis. SMN*",-92.755278,15.071110999999998,ENCRUCIJADA,0.0,0.0,CHIS,270.2
CHIS,"Mapastepec, Chis.",-92.883333,15.45,MAPCP,34.0,34.0,CHIS,560.0
CHIS,"Oxchuc, Chis. SGT*",-92.3375,16.851111,OXCHUC,142.0,142.0,CHIS,64.0
CHIS,"Pijijiapan, Chis.",-93.216667,15.691667,PIJCP,0.0,0.0,CHIS,304.8
CHIS,"Puente Concordia, Chis.",-91.968056,15.848610999999998,PCOCP,13.3,13.3,CHIS,18.9
CHIS,"Reforma, Chis.",-92.666667,15.916667000000002,REFCP,13.9,13.9,CHIS,220.1
CHIS,"Revolucion Mexicana, Chis. CFE*",-93.078889,16.160277999999998,REVMEXICANACFE,0.0,0.0,CHIS,228.2
CHIS,"Revolución Mexicana, Chis.",-93.079167,16.158333,REVCP,1.2,1.2,CHIS,288.7
CHIS,"Salto de Agua, Chis.",-92.35,17.566667000000002,SAACP,582.5,582.5,CHIS,132.8
CHIS,"San Joaquín, Chis.",-92.916667,17.5,SJOTB,569.0,569.0,CHIS,160.5
CHIS,"San Miguel, Chis.",-92.23944399999999,15.775,SMICP,12.9,12.9,CHIS,111.0
CHIS,"San Miguel, Chis. CFE*",-92.23916700000001,15.776667000000002,SANMIGUELCFE,13.8,13.8,CHIS,113.9
CHIS,"Santa María, Chis.",-92.820833,16.938889,SNACP,189.6,189.6,CHIS,101.7
CHIS,"Santa María, Chis. CFE*",-93.820278,16.924722,STAMARIACFE,197.7,197.7,CHIS,99.7
CHIS,"Santo Domingo, Chis.",-92.105556,15.775,SDOCP,0.0,0.0,CHIS,101.9
CHIS,"Sierra Morena, Chis. CFE*",-93.591111,16.152222000000002,SMORENACFE,5.4,5.4,CHIS,178.0
CHIS,"Siltepec, Chis. SGT*",-92.32194399999999,15.558056,SILTEPEC,224.4,224.4,CHIS,135.4
CHIS,"Sitala, Chis. SGT*",-93.55,17.35,SITALA,177.6,177.6,CHIS,78.7
CHIS,"Suchiate, Chis. SMN*",-92.148889,14.698610999999998,SUCHIATE,0.0,0.0,CHIS,125.8
CHIS,"Tapachula (Malpaso), Chis.",-92.266667,14.9,TAMCP,0.0,0.0,CHIS,197.0
CHIS,"Tapachula, Chis.",-92.18333299999999,14.9,TAPCP,0.0,0.0,CHIS,129.9
CHIS,"Tapilula, Chis. SGT*",-93.383333,17.425,TAPILULA,239.3,239.3,CHIS,179.6
CHIS,"Tres Picos, Chis.",-93.529167,15.875,TPICP,0.0,0.0,CHIS,254.7
CHIS,"Tres Picos, Chis. CFE*",-93.57777800000001,16.227222,TRESPICOSCFE,12.3,12.3,CHIS,223.3
COAH,"Allende, Coah.",-100.837222,28.344444,ADLCL,2.0,2.0,COAH,22.0
COAH,"Candela, Coah.",-100.661111,26.844444,CDLCL,4.0,4.0,COAH,42.0
COAH,"Coyote, Coah.",-103.469167,25.542222,CYTCL,0.0,0.0,COAH,22.8
COAH,"Cuatro Ciénegas, Coah.",-102.064444,26.983333000000002,CCGCL,0.0,0.0,COAH,4.7
COAH,"E. C. Saltillo, Coah.",-100.920833,25.436111,ESLCL,0.4,0.4,COAH,14.4
COAH,"El Centenario, Coah.",-100.95,29.213611,CNTCL,0.0,0.0,COAH,2.0
COAH,"Francisco I. Madero, Coah.",-103.262778,25.773889,FIMCL,0.0,0.0,COAH,10.0
COAH,"La Fragua, Coah.",-100.832222,28.82,LFGCL,1.0,1.0,COAH,0.0
COAH,"Monclova, Coah.",-101.4225,26.908333000000002,MCVCL,7.8,7.8,COAH,68.5
COAH,"Nueva Rosita, Coah. SMN*",-101.33,27.92,NUEVAROSITA,0.3,0.3,COAH,12.5
COAH,"Parras, Coah.",-102.181667,25.440832999999998,PARCL,0.0,0.0,COAH,5.2
COAH,"Piedras Negras, Coah.",-100.5325,28.706667,PNGCL,6.2,6.2,COAH,7.4
COAH,"Progreso, Coah.",-101.002222,27.422221999999998,PRSCL,2.5,2.5,COAH,9.5
COAH,"Ramos Arizpe Aeropuerto, Coah.",-100.929722,25.561111,ARACL,0.1,0.1,COAH,0.0
COAH,"Sabinas, Coah.",-101.122778,27.846667,SBNCL,0.2,0.2,COAH,67.0
COAH,"Saltillo, Coah.",-101.016667,25.376389,STOCL,0.1,0.1,COAH,16.1
COAH,"San Antonio de las Alazanas, Coah.",-100.575556,25.273332999999997,SAACL,0.0,0.0,COAH,30.0
COAH,"San Miguel, Coah.",-100.953889,29.034167,SMGCL,0.0,0.0,COAH,0.0
COAH,"San Pedro, Coah.",-102.979444,25.7575,SPECL,0.0,0.0,COAH,20.9
COAH,"Sierra Mojada, Coah.",-103.699722,27.285278,SMJCL,0.0,0.0,COAH,52.0
COAH,"Venustiano Carranza, Coah.",-100.616111,27.515,VCRCL,3.5,3.5,COAH,21.0
COAH,"Zapata, Coah.",-100.898889,29.033889000000002,ZPTCL,0.0,0.0,COAH,0.0
COL,"Buena Vista, Col.",-103.611389,19.248611,BVSCM,3.0,3.0,COL,393.3
COL,"Callejones, Col.",-103.6325,18.813056,CLLCM,13.0,13.0,COL,277.7
COL,"Cerro de Ortega, Col.",-103.723611,18.754722,CDOCM,19.0,19.0,COL,162.8
COL,"Comala, Col.",-103.757222,19.3175,CMLCM,0.0,0.0,COL,223.0
COL,"Coquimatlán, Col.",-103.804167,19.2125,CQMCM,0.5,0.5,COL,152.7
COL,"Cuauhtémoc, Col.",-103.6,19.325,CUACM,3.6,3.6,COL,248.4
COL,"Derivadora Jala (Madrid), Col.",-103.88444399999999,19.111389000000003,DJLCM,0.9,0.9,COL,118.8
COL,"El Chanal, Col.",-103.70277800000001,19.295,CHNCM,4.7,4.7,COL,276.5
COL,"La Esperanza, Col.",-103.866389,19.17,LAECM,1.8,1.8,COL,79.3
COL,"La Posta, Col.",-103.725278,19.223333,LPSCM,3.9,3.9,COL,126.6
COL,"Laguna de Amela, Col.",-103.774167,18.809167000000002,LDACM,5.5,5.5,COL,175.4
COL,"Manzanillo, Col.",-104.318333,19.044444,MNZCM,3.3,3.3,COL,92.6
COL,"Peñitas, Col.",-103.81666700000001,19.266667,PNTCM,0.0,0.0,COL,204.1
COL,"Radar, Col.",-103.725278,19.223333,RDRCM,1.5,1.5,COL,100.5
COL,"Suchitlán, Col.",-103.70083299999999,19.408333,SCHCM,0.5,0.5,COL,129.1
COL,"Tecomán, Col.",-103.882778,18.925556,TCMCM,0.0,0.0,COL,107.0
COL,"Trapiche, Col.",-103.663333,19.2775,TRPCM,3.0,3.0,COL,312.0
DGO,"Caboraca, Dgo.",-104.810278,24.538332999999998,CBRDR,0.0,0.0,DGO,51.7
DGO,"Campo Agrícola, Dgo.",-104.7,24.0,CAGDR,11.8,11.8,DGO,80.2
DGO,"Canatlán, Dgo.",-104.75,24.5,CNTDR,8.9,8.9,DGO,85.0
DGO,"Ceballos, Dgo.",-104.123333,26.521666999999997,CEBDR,0.0,0.0,DGO,16.6
DGO,"Durango, Dgo.",-104.666667,24.033333,DRGDR,5.5,5.5,DGO,83.0
DGO,"El Tule del Real, Dgo.",-106.53805600000001,24.702222,TDRDR,0.0,0.0,DGO,153.9
DGO,"Francisco Villa, Dgo.",-103.960833,24.001667,FVLDR,8.0,8.0,DGO,104.5
DGO,"Francisco Zarco, Dgo.",-103.773611,25.270833,FZRDR,0.0,0.0,DGO,29.0
DGO,"Guadalupe Victoria, Dgo. (hidro)",-104.751944,23.960278,GVHDR,8.5,8.5,DGO,132.9
DGO,"Guanacevit, Dgo.",-105.955556,25.934722,GNCDR,0.0,0.0,DGO,27.0
DGO,"La Flor, Dgo.",-103.283889,25.068056,LFLDR,0.0,0.0,DGO,16.0
DGO,"La Michilia, Dgo. SMN*",-104.246944,23.387778,MICHILIA,13.8,13.8,DGO,109.6
DGO,"Lázaro Cárdenas, Dgo.",-105.015833,25.594167000000002,LCRDR,0.0,0.0,DGO,50.4
DGO,"Nazas, Dgo.",-104.113889,25.225556,NZSDR,0.0,0.0,DGO,12.0
DGO,"Peña del Águila, Dgo.",-104.656667,24.203889,PAGDR,8.2,8.2,DGO,85.5
DGO,"Rodeo, Dgo.",-104.55833299999999,25.181944,RDODR,0.0,0.0,DGO,42.5
DGO,"San Antonio, Dgo. SGT*",-105.331111,26.433056,SANANTONIO,0.0,0.0,DGO,62.3
DGO,"San Bernardo, Dgo.",-105.52666699999999,26.004444,SBEDR,0.0,0.0,DGO,15.5
DGO,"San Gabriel, Dgo.",-105.560833,26.436667,SGBDR,0.0,0.0,DGO,74.4
DGO,"San Juan de Guadalupe, Dgo.",-102.778056,24.630556,SJGDR,0.0,0.0,DGO,20.0
DGO,"San Pedro del Gallo, Dgo.",-104.2925,25.564167,SPGDR,0.0,0.0,DGO,32.2
DGO,"Santa Elena, Dgo.",-103.079722,24.608333,SELDR,28.0,28.0,DGO,70.0
DGO,"Santa María del Oro, Dgo.",-105.36666699999999,25.953332999999997,SMODR,0.0,0.0,DGO,78.0
DGO,"Santiago Bayacora, Dgo.",-104.675833,23.874444,SBYDR,5.3,5.3,DGO,78.6
DGO,"Santiago Papasquiaro, Dgo.",-105.42222199999999,25.0375,SPPDR,0.0,0.0,DGO,25.4
DGO,"Sardinas, Dgo.",-105.566667,26.084444,SRDDR,0.0,0.0,DGO,55.6
DGO,"Tamazula, Dgo.",-106.975,24.933332999999998,TMZDR,0.0,0.0,DGO,226.8
DGO,"Tlahualilo, Dgo.",-103.44166700000001,26.1125,THODR,0.0,0.0,DGO,33.0
DGO,"Villa Ocampo, Dgo.",-105.506111,26.447778000000003,VOCDR,0.0,0.0,DGO,87.0
GRO,"Acapulco, Gro.",-99.906667,16.849722,ACAGR,0.0,0.0,GRO,154.3
GRO,"Ahuacuotzingo, Gro.",-98.975278,17.719722,AHUGR,3.2,3.2,GRO,91.5
GRO,"Ajuchitlán, Gro.",-100.5,18.154167,AJCGR,0.0,0.0,GRO,134.9
GRO,"Atoyac, Gro.",-100.43333299999999,17.210278,ATYGR,0.0,0.0,GRO,95.8
GRO,"Ayutla, Gro.",-99.1,16.949444,AYUGR,0.0,0.0,GRO,186.6
GRO,"Buena Vista, Gro.",-99.2,18.2,BVSGR,0.0,0.0,GRO,254.0
GRO,"Chichihualco, Gro.",-99.701111,17.672222,CCHGR,13.0,13.0,GRO,94.0
GRO,"Chilapa, Gro.",-99.175833,17.608611,CHLGR,0.0,0.0,GRO,141.0
