LON,LAT,EDO,CLAVE_SIH,NOMBRE,JUN
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",112.5
-102.466944,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",191.2
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",201.5
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",250
-102,21.896389,AGS,CNSAG,"Los Conos, Ags.",289.11
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",208.04
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",199.41
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",208.51
-102.371667,21.78,AGS,NGRAG,"El Niagara, Ags.",260.01
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",263.9
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",208.4
-102.291944,22.1625,AGS,PBLAG,"PabellÛn, Ags.",184.1
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",225.5
-102.133333,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",334.72
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",279.83
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",0
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0.01
-116.584444,32.243056,BC,CSRBN,"Carmen Serd·n, B.C.",0
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",0.01
-115.931389,30.517222,BC,ENBBN,"San QuintÌn (Ejido Nuevo), B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-116.811111,32.101944,BC,LAMBN,"La MisiÛn, B.C.",0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0
-114.85,31.033333,BC,SFLBN,"San Felipe, B.C.",0
-111.658333,25.001389,BCS,CCNBS,"Ciudad ConstituciÛn, B.C.S.",0
-109.9125,22.881944,BCS,CSLBS,"Cabo San Lucas, B.C.S.",76.7
-113.420833,27.783333,BCS,DORBS,"DÌaz Ordaz, B.C.S.",0.01
-114.05,27.966667,BCS,GNGBS,"Guerrero Negro, B.C.S.",0.02
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",38.7
-110.366667,24.15,BCS,LPZBS,"La Paz, B.C.S.",7.41
-111.341667,26.016667,BCS,LRTBS,"Loreto, B.C.S.",33.9
-109.983333,24.066667,BCS,PLNBS,"Los Planes, B.C.S.",42.2
-109.55,23.583333,BCS,RBRBS,"La Ribera, B.C.S.",74
-110.05,23.8,BCS,SANBS,"San Antonio, B.C.S.",36
-109.983333,24.066667,BCS,SARBS,"El Sargento, B.C.S.",23.2
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",133.2
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",145.2
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",123.4
-109.924444,22.888333,BCS,SLUBS,"Cabo San Lucas, B.C.S. SMN*",63.8
-109.716667,23.45,BCS,SNTBS,"Santiago, B.C.S.",82.13
-110.216667,23.433333,BCS,TSNBS,"Todos Santos, B.C.S.",24.6
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",159
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",140.81
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",204.9
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",124.6
-90.72,19.361667,CAMP,CHMCA,"ChampotÛn, Camp.",141.511
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",246
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",215.4
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",406.91
-89.723889,19.4625,CAMP,DZILBACHEN,"DzilbachÈn, Camp. SMN*",10.4
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",139.2
-90.105556,20.184167,CAMP,HECCA,"Hecelchakan, Camp.",251
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",196
