LON,LAT,EDO,CLAVE_SIH,NOMBRE,JUN
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",8.2
-106.5,29.05,CHIH,C08099,"Majalca, Chih.",10
-108.533333,28.133333,CHIH,C08182,"Moris, Chih.",0
-108.083333,29.216667,CHIH,C08219,"PeÒitas, Chih.",6.5
-107.7,28.75,CHIH,C08243,"Tejolocachi, Chih.",68
-105.966667,28.7,CHIH,C08270,"La Mesa, Chih.",30.23
-107.930833,30.376667,CHIH,CAGCH,"Casas Grandes, Chih.",66.3
-105.171389,27.685556,CHIH,CCOCH,"Ciudad Camargo, Chih.",0.16
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",3.03
-106.770556,26.229444,CHIH,CHNCH,"Chinat˙, Chih. SMN*",54.79
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",24.4
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Ju·rez, Chih.",47
-105.381667,27.410278,CHIH,CL2CH,"Colina (hidromÈtrica), Chih.",44.5
-105.382222,27.576389,CHIH,CLNCH,"Ing. Andrew Weiss, Chih.",29.5
-108.541667,27.416667,CHIH,CNDCH,"Chinipas, Chih.",2
-106.871111,28.418611,CHIH,CUACH,"CuauhtÈmoc, Chih.",0
-106.119444,28.614722,CHIH,ERECH,"El RejÛn, Chih.",24.4
-105.628889,28.166111,CHIH,FIMCH,"Francisco I. Madero, Chih.",14.03
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",22.2
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",3.73
-107.072778,26.813056,CHIH,GRCCH,"Guerachi, Chih.",21.31
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",4
-104.912778,27.126667,CHIH,JMNCH,"JimÈnez, Chih.",7
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",67.02
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",19.31
