Estado,Localidad,Edo,Clave,Lon,Lat,2018,2019,2020,Tmax,Tmin,Tmed
COAH,"Piedras Negras, Coah.",COAH,PNGCL,-100.53,28.71,6.2,7.4,6.2,19.93333333,6.911111111,13.42222222
COAH,"Progreso, Coah.",COAH,PRSCL,-101.0,27.42,2.5,9.5,2.5,20.10344828,4.310344828,12.20689655
COAH,"Saltillo, Coah.",COAH,STOCL,-101.02,25.38,0.1,16.1,0.1,19.34482759,7.551724137999999,13.44827586
COAH,"San Pedro, Coah.",COAH,SPECL,-102.98,25.76,0.0,20.9,0.0,23.59677419,5.451612902999999,14.52419355
COAH,"Venustiano Carranza, Coah.",COAH,VCRCL,-100.62,27.52,3.5,21.0,3.5,19.64285714,5.964285714,12.80357143
COAH,"Zapata, Coah.",COAH,ZPTCL,-100.9,29.03,0.0,0.0,0.0,17.4,4.633333333,11.01666667
COL,"Buena Vista, Col.",COL,BVSCM,-103.61,19.25,3.0,393.3,3.0,32.69354839,15.5483871,24.12096774
COL,"Cerro de Ortega, Col.",COL,CDOCM,-103.72,18.75,19.0,162.8,19.0,33.66129032,18.32258065,25.99193548
COL,"Derivadora Jala (Madrid), Col.",COL,DJLCM,-103.88,19.11,0.9,118.8,0.9,32.59677419,16.75806452,24.67741935
COL,"La Posta, Col.",COL,LPSCM,-103.73,19.22,3.9,126.6,3.9,33.20967742,17.37096774,25.29032258
COL,"Laguna de Amela, Col.",COL,LDACM,-103.77,18.81,5.5,175.4,5.5,32.28333333,18.43333333,25.35833333
COL,"Manzanillo, Col.",COL,MNZCM,-104.32,19.04,3.3,92.6,3.3,31.49677419,22.73870968,27.11774194
COL,"Radar, Col.",COL,RDRCM,-103.73,19.22,1.5,100.5,1.5,34.12903226,19.96774194,27.048387100000003
DGO,"Caboraca, Dgo.",DGO,CBRDR,-104.81,24.54,0.0,51.7,0.0,18.40322581,0.935483871,9.669354839
DGO,"Canatlán, Dgo.",DGO,CNTDR,-104.75,24.5,8.9,85.0,8.9,23.25806452,2.129032258,12.69354839
DGO,"Ceballos, Dgo.",DGO,CEBDR,-104.12,26.52,0.0,16.6,0.0,23.87096774,1.0,12.43548387
DGO,"Durango, Dgo.",DGO,DRGDR,-104.67,24.03,5.5,83.0,5.5,24.51612903,4.619354839,14.56774194
DGO,"Francisco Villa, Dgo.",DGO,FVLDR,-103.96,24.0,8.0,104.5,8.0,25.35483871,3.419354839,14.38709677
DGO,"Francisco Zarco, Dgo.",DGO,FZRDR,-103.77,25.27,0.0,29.0,0.0,21.548387100000003,7.870967742,14.70967742
DGO,"Guadalupe Victoria, Dgo. (hidro)",DGO,GVHDR,-104.75,23.96,8.5,132.9,8.5,19.83870968,4.6290322580000005,12.23387097
DGO,"Peña del Águila, Dgo.",DGO,PAGDR,-104.66,24.2,8.2,85.5,8.2,22.0,-0.225806452,10.88709677
DGO,"Tlahualilo, Dgo.",DGO,THODR,-103.44,26.11,0.0,33.0,0.0,22.41935484,4.258064516,13.33870968
GRO,"Ayutla, Gro.",GRO,AYUGR,-99.1,16.95,0.0,186.6,0.0,33.59677419,16.83870968,25.21774194
GRO,"Buena Vista, Gro.",GRO,BVSGR,-99.4,18.46,0.0,254.0,0.0,28.29032258,12.12903226,20.20967742
GRO,"Chichihualco, Gro.",GRO,CCHGR,-99.7,17.67,13.0,94.0,13.0,31.61290323,10.80645161,21.20967742
GRO,"Chilapa, Gro.",GRO,CHLGR,-99.18,17.61,0.0,141.0,0.0,27.38709677,10.25806452,18.82258065
GRO,"Chilpancingo, Gro.",GRO,CHIGR,-99.5,17.55,15.4,147.3,15.4,29.01612903,11.75806452,20.38709677
GRO,"Ciudad Altamirano, Gro.",GRO,CALGR,-100.66,18.36,13.0,201.0,13.0,34.37096774,16.59677419,25.48387097
GRO,"Iguala, Gro.",GRO,IGLGR,-99.55,18.35,0.0,270.4,0.0,32.18709677,15.48709677,23.83709677
GRO,"Observatorio de Acapulco, Gro.",GRO,ODAGR,-99.8,16.8,0.0,85.5,0.0,33.29677419,21.64193548,27.46935484
GRO,"Observatorio de Zumpango, Gro.",GRO,ODZGR,-99.5,17.6,0.9,113.5,0.9,28.22580645,14.51612903,21.37096774
GRO,"Olinala, Gro.",GRO,OLNGR,-98.74,17.78,0.0,307.0,0.0,37.12903226,11.12903226,24.12903226
GRO,"Ometepec, Gro.",GRO,OMEGR,-98.43,16.68,0.0,389.1,0.0,26.03225806,15.0,20.51612903
GRO,"Quetzala, Gro.",GRO,QTZGR,-98.5,16.66,0.0,265.8,0.0,32.77419355,17.77419355,25.27419355
GRO,"San Jerónimo, Gro.",GRO,SJEGR,-100.47,17.14,0.0,51.5,0.0,32.0,21.48387097,26.74193548
GRO,"Tierra Colorada, Gro.",GRO,TCOGR,-99.53,17.17,0.0,84.8,0.0,33.22580645,18.70967742,25.96774194
