Lon,Lat,Clave,Edo,Est,Tmax
-99.75,16.76,76805,GRO,ACAPULCO,32.575
-102.29,21.85,76571,AGS,AGUASCALIENTES,25.87857143
-111.83,30.71,76113,SON,ALTAR,19.99166667
-93.9,16.24,76840,CHIS,ARRIAGA,35.86071429
-90.5,19.83,76695,CAMP,CAMPECHE,34.84444444
-111.65,25.01,76402,BCS,CD. CONSTITUCIÓN,26.35
-109.92,27.48,76258,SON,CD. OBREGON,20.45
-99.17,23.75,76491,TAMPS,CD. VICTORIA,26.9
-99.2,19.4,76680,DF,CENTRAL TACUBAYA,26.32857143
-88.3,18.48,76750,QROO,CHETUMAL,31.05714286
-106.13,28.67,76225,CHIH,CHIHUAHUA,22.69285714
-99.5,17.55,76762,GRO,CHILPANCINGO,31.78571429
-103.46,19.73,76656,JAL,CIUDAD GUZMÁN,26.4962963
-94.51,18.19,76741,VER,COATZACOALCOS,30.15357143
-103.72,19.24,76658,COL,COLIMA,34.18214286
-92.13,16.23,76848,CHIS,COMITAN,27.25357143
-99.23,18.89,76726,MOR,CUERNAVACA,30.79130435
-107.44,24.63,76412,SIN,CULIACÁN,29.67037037
-104.6,24.09,76423,DGO,DURANGO,27.42857143
-115.19,32.41,76040,BC,EJIDO NVO. LEÓN,20.74230769
-110.8,27.95,76256,SON,EMPALME,24.58571429
-88.05,19.57,76698,QROO,FPE. CARRILLO PUERTO,32.19285714
-103.39,20.71,76612,JAL,GUADALAJARA,28.83214286
-101.29,21.01,76577,GTO,GUANAJUATO,26.58214286
-110.93,29.08,76160,SON,HERMOSILLO,23.755
-105.67,26.92,76323,CHIH,HGO. DEL PARRAL,24.19642857
-97.77,17.8,76773,OAX,HUAJUAPAN DE LEON,31.74285714
-96.9,19.51,76687,VER,JALAPA,25.67037037
-110.32,24.12,76405,BCS,LA PAZ,25.76785714
-111.35,26.02,76305,BCS,LORETO,24.39285714
-104.33,19.07,76654,COL,MANZANILLO,30.54285714
-98.81,21.28,76585,SLP,MATLAPA,27.61923077
-106.41,23.22,76458,SIN,MAZATLAN,26.35714286
-89.65,20.95,76644,YUC,MERIDA,34.24642857
-101.42,26.91,76342,COAH,MONCLOVA,25.96428571
-100.3,25.73,76393,NL,MONTERREY,25.43846154
-101.18,19.7,76665,MICH,MORELIA,28.63214286
-107.93,30.42,76122,CHIH,NUEVO CASAS GRANDES,18.93928571
-96.7,17.07,76775,OAX,OAXACA,31.98571429
-97.1,18.85,76737,VER,ORIZABA,25.97857143
-98.75,20.13,76632,HGO,PACHUCA,25.36785714
-100.52,28.7,76243,COAH,PIEDRAS NEGRAS,22.66666667
-89.65,21.28,76593,YUC,PROGRESO,33.06296296
-98.17,19.05,76685,PUE,PUEBLA,26.85357143
-96.48,15.65,76855,OAX,PUERTO ANGEL,32.776
-100.4,20.58,76625,QRO,QUERETARO,27.16428571
-100,21.92,76581,SLP,RIO VERDE,32.72592593
-95.18,16.17,76833,OAX,SALINA CRUZ,33.73571429
-92.63,16.73,76845,CHIS,SAN CBAL. DE LAS CASAS,24.04642857
-101.02,22.21,76539,SLP,SAN LUIS POTOSÍ,28.2
-103.65,23.47,76471,ZAC,SOMBRERETE,25.325
-98.2,23.77,76499,TAMPS,SOTO LA MARINA,29.43571429
-112.25,27.28,76253,BCS,STA. ROSALIA,19.33333333
-97.85,22.22,76548,TAMPS,TAMPICO,29.22
-92.25,14.92,76903,CHIS,TAPACHULA,35.61851852
-107.82,28.95,76220,CHIH,TEMOSACHIC,15.25
-104.89,21.49,76556,NAY,TEPIC,28.61071429
-98.24,19.31,76683,TLAX,TLAXCALA,26.31071429
-99.71,19.29,76675,MEX,TOLUCA,24.70357143
-103.45,25.53,76382,COAH,TORREON,30.34285714
-98.36,20.08,76634,HGO,TULANCINGO,26.81428571
-97.42,20.96,76640,VER,TUXPAN,26.85384615
-93.13,16.75,76843,CHIS,TUXTLA GUTIÉRREZ,34.34642857
-88.2,20.69,76647,YUC,VALLADOLID,33.06521739
-96.14,19.16,76692,VER,VERACRUZ,28.775
-92.93,17.98,76743,TAB,VILLAHERMOSA,31.63703704
-102.57,22.78,76525,ZAC,ZACATECAS,19.25357143
-102.32,19.98,76662,MICH,ZAMORA,31.33571429
-103.7,27.29,SMJCL,COAH,Sierra Mojada Coah.,22.42857143
-101.47,21.07,COMGJ,GTO,Comanjilla Gto.,28.84615385
-101.22,21.48,SFEGJ,GTO,San Felipe Gto.,24.17857143
-99.32,18.63,PIXMR,MOR,Puente de Ixtla Mor.,35.32142857
-98.76,18.88,OCTMR,MOR,Ocuituco Mor.,29.05357143
-107.06,24.75,VINSI,SIN,Vinoramas Sin.,29.90384615
-107.76,25.12,RAVSI,SIN,Estación Rancho Viejo Sin.,30.26923077
-95.03,18.52,SONVC,VER,Sontecomapan Ver.,27.66071429
-100.36,20.2,CORGJ,GTO,Coroneo Gto.,26.67307692
-101.11,21.32,LQMGJ,GTO,La Quemada Gto.,24.5
-103.87,19.17,LAECM,COL,La Esperanza Col.,34.3
-99.1,18.79,TICMR,MOR,Ticumán Mor.,32.03846154
-96.97,19.45,TAPVC,VER,Tapachapan Ver.,25.32142857
-98.5,16.66,QTZGR,GRO,Quetzala Gro.,32.72222222
-98.83,18.95,ACHMR,MOR,Achichipico Mor.,28.67857143
-103.27,22.11,76519,JAL,COLOTLAN,27.25714286
-100.5,21.22,POZGJ,GTO,Pozos Gto.,25.62962963
-105.85,23.09,TORSI,SIN,Las Tortugas Sin.,33.33928571
-101.02,20.43,SMAGJ,GTO,San Miguel de Allende Gto.,26.52
-99.24,19.53,CLYMX,MEX,Calacoaya Méx.,24.76785714
-96.3,17.78,VANOX,OAX,Valle Nacional Oax.,31.46428571
-111.35,26.01,76304,BCS,LORETO (AUTOMATICA),24.85384615
-96.41,19.26,LOFVC,VER,Loma Fina Ver.,32.22222222
-92.4,15,HUECP,CHIS,Huehuetán Chis.,37.39285714
-100.92,25.44,ESLCL,COAH,E. C. Saltillo Coah.,23.37037037
-103.26,25.77,FIMCL,COAH,Francisco I. Madero Coah.,28.60714286
-104.56,25.18,RDODR,DGO,Rodeo Dgo.,26.53571429
-98.51,17.62,IXTGR,GRO,Ixcateopan de Tlapa Gro.,36.59090909
-98.78,18.94,HUXMR,MOR,Huecahuaxco Mor.,24.15
-96.53,17.43,ATEOX,OAX,Atepec Oax.,29.125
-110.29,30.98,CNNSO,SON,Cananea Son.,16.01923077
-99.27,24.02,STETP,TAMPS,Santa Engracia Tamps.,26.99615385
-102.78,24.63,SJGDR,DGO,San Juan de Guadalupe Dgo.,28.64285714
-104.29,25.56,SPGDR,DGO,San Pedro del Gallo Dgo.,27.25
-99.2,19.31,CCH S,DF,CCH Sur,24.94285714
-99.13,19.42,ENP 7,DF,Ezequiel A. Chavez,25.825
-96.95,19.23,TOTVC,VER,Totutla Ver.,25.10714286
-97.01,18.33,ZOQPB,PUE,Zoquitlán Pue.,26.32142857
-98.7,18.88,HUEMR,MOR,Hueyapan Mor.,24.22727273
-101.66,19.93,AMEMC,MICH,Aristeo Mercado Mich.,27.44782609
-110.24,28.71,SJPSO,SON,San José de Pimas Son.,23.71428571
-100.51,28.71,76242,COAH,PIEDRAS NEGRAS (AUTOMATICA),23.97692308
-99.55,24.57,VSMTP,TAMPS,Victoria-San Marcos Tamps.,27.21153846
-98.23,19.32,76684,TLAX,Tlaxcala (Automatica),26.51538462
-99.93,17.6,YXTGR,GRO,Yextla Gro.,27.32
-96.91,18.21,LCAOX,OAX,La Carbonera Oax.,23.6
-96.97,19.55,OTIVC,VER,Otilpan Ver.,23
-100.75,20.58,SMOGJ,GTO,San Miguel Octopan Gto.,27.4
-96.45,17.12,SMAOX,OAX,San Antonio Cuajimoloyas Oax.,17.75
-100.37,20.57,GHQQT,QRO,Gerencia Hidalgo Qro.,27.12
-111.35,26.01,BLORETO,BCS,Bahía de Loreto B.C.S. SMN*,23.86785714
-99.48,16.8,SNMGR,GRO,San Marcos Gro.,34.05555556
