Lon,Lat,Clave,Edo,Est,Tmed
-102.37,21.78,NGRAG,AGS,El Niagara Ags.,17.9
-102.79,21.81,MNLAG,AGS,Media Luna Ags.,19.0
-102.71,21.85,CALVILLO,AGS,Calvillo Ags. SMN*,19.2
-102.31,21.9,AGSAG,AGS,Aguascalientes Ags.,19.1
-102,21.9,CNSAG,AGS,Los Conos Ags.,17.1
-102.68,22,CDRAG,AGS,La Codorniz Ags.,18.7
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,17.4
-102.42,22.14,PECAG,AGS,Plutarco ElÌas Calles Ags.,17.6
-102.14,22.2,PTOAG,AGS,Puerto de la ConcepciÛn Ags.,16.3
-102.3,22.36,CSOAG,AGS,CosÌo Ags.,12.2
-102.18,21.74,BRTAG,AGS,San Bartolo Ags.,17.0
-102.13,21.81,TNJAG,AGS,La Tinaja 2 Ags.,16.6
-102.19,21.83,CLVAG,AGS,Calvillo Ags.,15.0
-102.2,22.01,CHOAG,AGS,CaÒada Honda Ags.,17.9
-102.61,21.27,SIERRAFRIA,AGS,Sierra FrÌa Ags. SMN*,11.4
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,18.3
-102.11,21.88,SNVAG,AGS,Sandovales Ags.,12.6
-101.97,21.92,PALAG,AGS,Palo Alto Ags.,16.5
-102.36,21.97,UAALAPOSTA,AGS,Universidad AutÛnoma de Aguascalientes Ags. SGT*,16.7
-102,22.02,NVLAG,AGS,El Novillo Ags.,14.8
-102.07,22.1,VJZAG,AGS,Villa Ju·rez Ags.,15.5
-102.29,22.16,PBLAG,AGS,PabellÛn Ags.,17.1
-102.44,22.24,PTRAG,AGS,Derivadora PabellÛn Ags.,16.9
-114.72,29.73,CATAVINA,BC,CataviÒa B.C. SMN*,18.0
-116.6,31.89,ELZBN,BC,Emilio LÛpez Zamora B.C.,16.7
-116.2,32.27,AGHBN,BC,Agua Hechicera B.C.,12.2
-115.15,32.41,ENLBN,BC,Ejido Nuevo LeÛn B.C.,19.1
-116.91,32.44,ALRBN,BC,Abelardo L. RodrÌguez B.C.,17.9
-116.83,32.47,EFLBN,BC,El Florido B.C.,18.3
-116.7,32.48,CRRBN,BC,El Carrizo B.C.,18.3
-114.73,32.7,PDMBN,BC,Presa Derivadora Morelos B.C.,17.2
-114.73,32.7,ALGODONESob,BC,Observatorio de Algodones B.C. SMN*,19.3
-113.56,28.9,BAABN,BC,BahÌa de los ¡ngeles B.C. SMN*,21.8
-116.37,31.49,ENSBN,BC,Ensenada B.C.,17.4
-114.97,32.06,ENCINAS,BC,Encinas Johnson Son. REMAS*,17.5
-116.21,32.27,RUMOROSA,BC,La Rumorosa B.C. SMN*,12.0
-117.25,32.42,ISLACORONADOMAR,BC,Isla Coronado B.C. SEMAR*,17.4
-116.6,31.89,PLOPEZZAMORA,BC,Presa Emilio LÛpez Zamora B.C. SMN*,16.7
-115.29,32.67,MEXBN,BC,Mexicali B.C. SMN*,20.1
-115.93,30.52,ENBBN,BC,San QuintÌn B.C.,17.7
-115.94,30.53,SANQUINTIN,BC,San QuntÌn B.C.*,17.3
-114.83,30.99,SANFELIPEMAR,BC,San Felipe B.C. SEMAR*,18.9
-114.83,31.03,SFELIPEob,BC,Observatorio de San Felipe B.C. SMN*,20.8
-114.85,31.03,SFLBN,BC,San Felipe B.C.,21.3
-117.07,32.38,PLAYAROSARITO,BC,Playa Rosarito B.C. SMN*,16.5
-115.27,32.39,MXCBN,BC,Mexicali B.C.,19.4
-115.19,32.41,ENVOLEONob,BC,Observatorio de EnvoleÛn B.C. SMN*,19.4
-116.91,32.45,PABELARLRDGZ2,BC,Abelardo L. RodrÌguez. 2 B.C. SMN*,18.4
-116.3,32.52,HNGBN,BC,El Hongo B.C.,11.6
-116.63,32.57,TCTBN,BC,Tecate B.C.,17.8
-116.66,32.57,TECATE,BC,Tecate B.C. SMN*,17.9
-111.35,26.01,BLORETO,BCS,BahÌa de Loreto B.C.S. SMN*,23.7
-109.92,22.89,SANLUCAS,BCS,Cabo San Lucas B.C.S. SMN*,25.7
-109.93,22.9,CSLBS,BCS,Cabo San Lucas B.C.S.,25.4
-109.7,23.68,LBABS,BCS,Los Barriles B.C.S.,25.5
-109.98,24.07,PLNBS,BCS,Los Planes B.C.S.,24.2
-110.37,24.15,LPZBS,BCS,La Paz B.C.S.,24.2
-111.66,25,CCNBS,BCS,Ciudad ConstituciÛn B.C.S.,22.6
-113.42,27.78,DORBS,BCS,DÌaz Ordaz B.C.S.,17.9
-114.05,27.97,GNGBS,BCS,Guerrero Negro B.C.S.,19.2
-110,23.56,SLAGUNA,BCS,Sierra La Laguna B.C.S. SMN*,16.0
-111.83,24.48,PCORTESMAR,BCS,Puerto CortÈs B.C.S. SEMAR*,23.9
-111.65,25.01,CDCONSTITUCIONo,BCS,Observatorio de Ciudad ConstituciÛn B.C.S. SGT*,23.4
-109.71,23.07,SJCBS,BCS,San JosÈ del Cabo B.C.S.,23.6
-110.22,23.43,TSNBS,BCS,Todos Santos B.C.S.,23.2
-110.22,23.45,TODOSLOSSANTOS,BCS,Todos los Santos B.C.S. SMN*,24.0
-109.72,23.45,SNTBS,BCS,Santiago B.C.S.,22.8
-109.55,23.58,RBRBS,BCS,La Ribera B.C.S.,23.2
-109.84,23.74,SBABS,BCS,San Bartolo B.C.S.,20.3
-110.05,23.8,SANBS,BCS,San Antonio B.C.S.,24.0
-109.98,24.07,SARBS,BCS,El Sargento B.C.S.,23.7
-110.32,24.12,LAPAZob,BCS,Observatorio de La Paz B.C.S. SMN*,24.5
-111.34,26.02,LRTBS,BCS,Loreto B.C.S.,24.3
-112.48,26.26,SANJUANICO,BCS,San Juanico B.C.S. SMN*,23.5
-112,26.87,MLGBS,BCS,MulegÈ B.C.S.,21.5
-112.1,27.09,STAROSALIAMAR,BCS,Santa RosalÌa B.C. SEMAR*,22.4
-112.28,27.3,SRLBS,BCS,Santa RosalÌa B.C.S.,21.7
-113.46,27.64,DIAZORDAZ2,BCS,Gustavo DÌaz Ordaz B.C.S.*,20.4
-89.89,18.09,CALAKMUL,CAMP,Calakmul Camp. SMN*,24.9
-89.89,18.36,CALCA,CAMP,Calakmul Camp. SMN*,25.4
-91.05,18.18,CNDCA,CAMP,Candelaria Camp.,25.6
-90.74,18.6,ESCCA,CAMP,Esc·rcega Camp.,27.3
-91.76,18.65,CARCA,CAMP,El Carmen Camp.,26.9
-91.18,18.97,SBNCA,CAMP,Sabancuy Camp.,25.7
-90.58,19.3,CANCA,CAMP,Canasayab Camp.,25.8
-90.72,19.36,CHMCA,CAMP,ChampotÛn Camp.,26.0
-90.22,19.61,NYXCA,CAMP,Noh-YaxchÈ Camp.,27.1
-89.86,19.66,XCPCA,CAMP,Xcupil Camp.,24.9
-90.5,19.83,CAMPECHEob,CAMP,Observatorio de Campeche Camp. SMN*,26.1
-90.54,19.84,CMPCA,CAMP,Campeche Camp.,25.6
-90.51,19.84,COBCA,CAMP,Observatorio de Campeche Camp.,26.3
-89.74,20,BOLCA,CAMP,Bolonchen Camp.,25.6
-90.76,18.61,ESCARCEGA,CAMP,Esc·rcega Camp. SMN*,25.7
-90.37,19.94,PETENES,CAMP,Los Petenes Camp. SMN*,25.6
-91.82,18.65,CDCCA,CAMP,Ciudad del Carmen Camp. SMN*,26.4
-90.82,18.06,MONCLOVACAMP,CAMP,Monclova Camp. SMN*,29.0
-89.4,18.5,XPJCA,CAMP,Xpujil Camp.,25.5
-89.85,19.75,HPOCA,CAMP,Hopelchen Camp.,25.0
-90.11,20.18,HECCA,CAMP,Hecelchak·n Camp.,26.1
-92.09,18.25,PLZCA,CAMP,Palizada Camp.,25.1
-107.07,26.81,GRCCH,CHIH,Guerachi Chih.,21.4
-107.88,26.87,IGNCH,CHIH,San Ignacio Chih.,18.7
-105.68,26.92,PRRCH,CHIH,Parral Chih.,16.4
-107.97,26.94,TBRSI,CHIH,San Francisco Chih.,24.5
-107.72,27.03,BTPCH,CHIH,Batopilas Chih.,23.1
-104.91,27.13,JMNCH,CHIH,JimÈnez Chih.,16.3
-107.91,27.22,URECH,CHIH,Urique Chih.,22.1
-108.54,27.42,CNDCH,CHIH,ChÌnipas Chih.,21.2
-105.63,28.17,FIMCH,CHIH,Francisco I. Madero Chih.,16.5
-108.21,28.21,BSSCH,CHIH,Basaseachi Chih.,11.1
-105.45,28.21,CDLCH,CHIH,Ciudad Delicias Chih.,16.9
-107.48,28.48,AGZCH,CHIH,Abraham Gonz·lez Chih.,11.0
-106.09,28.66,QIJCH,CHIH,Observatorio de Chihuahua Chih.,15.1
-107.85,28.95,TMCCH,CHIH,TemÛsachic Chih.,12.0
-107.93,30.38,CAGCH,CHIH,Casas Grandes Chih.,13.2
-108.52,28.15,C08182,CHIH,Moris,17.7
-105.38,27.41,CL2CH,CHIH,Colina hidromÈtrica Chih.,15.1
-107.7,28.76,C08243,CHIH,Tejolocachi,10.7
-105.96,28.77,C08270,CHIH,La Mesa,15.2
-106.48,28.8,C08099,CHIH,Majalca,10.1
-108.09,29.25,C08219,CHIH,PeÒitas,8.2
-107.26,28.77,BACCH,CHIH,BachÌniva Chih.,12.0
-106.77,26.23,CHNCH,CHIH,Chinat˙ Chih. SMN*,13.4
-107.07,26.82,GCCCH,CHIH,Guachochi Chih. SMN*,10.4
-106.35,26.95,CONCHOSob,CHIH,Observatorio de Conchos Chih. SMN*,16.2
-107.63,27.75,CRLCH,CHIH,Creel Chih.,11.8
-105.5,28.17,DELICIAS,CHIH,Ciudad Delicias Chih. SMN*,17.5
-108.21,28.2,BASCH,CHIH,Basaseachi Chih. SMN*,11.0
-106.84,28.4,CDCUAUHTEMOC,CHIH,Ciudad CuauhtÈmoc Chih. SMN*,13.4
-106.03,28.67,CHIHUAHUAob,CHIH,Observatorio de Chihuahua Chih. SMN*,14.6
-107.82,28.95,TEMOSACHICob,CHIH,Observatorio de TemÛsachic Chih. SMN*,11.5
-108.43,30.84,JANOS,CHIH,Janos Chih. SMN*,12.8
-106.43,31.69,CDJUAREZob,CHIH,Observatorio de Ciudad Ju·rez Chih. SMN*,13.3
-106.38,26.47,RVGCH,CHIH,El Vergel Chih.,8.3
-106.39,26.47,ELVERGELSMN,CHIH,El Vergel Chih. SMN*,8.8
-105.16,26.74,VICCH,CHIH,Villa Coronado Chih.,15.8
-107.97,26.94,TB2CH,CHIH,Tubares II Chih.,24.7
-107.92,27.22,URICH,CHIH,Urique Chih. SMN*,23.1
-105.81,27.45,VZRCH,CHIH,Valle de Zaragoza Chih.,16.1
-105.41,27.54,LBQCH,CHIH,La Boquilla Chih.,16.6
-107.99,27.86,MAGCH,CHIH,Maguarichi Chih. SMN*,15.8
-106.49,28.8,MAJALCA,CHIH,Cumbres de Majalca Chih. SMN*,10.1
-105.28,28.98,LLNCH,CHIH,Ing. Luis L. LeÛn Chih.,18.7
-108.3,29.2,GPCCH,CHIH,Guapoca Chih.,14.1
-107.38,29.56,TNTCH,CHIH,El Tintero Chih.,12.7
-104.41,29.56,OJNCH,CHIH,Ojinaga Chih.,16.8
-104.43,29.58,OJINAGA,CHIH,Ojinaga Chih. SGT*,16.5
-108.17,29.67,YEPCH,CHIH,Yepachic Chih.,12.6
-107.03,29.88,LJSCH,CHIH,Las Lajas Chih.,10.6
-92.4,15,HUECP,CHIS,Huehuet·n Chis.,30.7
-92.47,15.13,HUICP,CHIS,Huixtla Chis.,31.1
-92.58,15.2,DESCP,CHIS,Despoblado Chis.,28.5
-92.72,15.35,CACCP,CHIS,Cacaluta Chis.,28.8
-92.88,15.45,MAPCP,CHIS,Mapastepec Chis.,26.9
-92.28,15.75,CHMCP,CHIS,Chicomuselo Chis.,23.3
-92.24,15.78,SMICP,CHIS,San Miguel Chis.,23.9
-91.97,15.85,PCOCP,CHIS,Puente Concordia Chis.,22.6
-92.1,16.2,COOCP,CHIS,Observatorio de Comit·n Chis.,19.1
-93.9,16.24,AROCP,CHIS,Arriaga Chis.,28.0
-92.48,16.31,CASCP,CHIS,Cascajal Chis.,23.4
-92.78,16.4,ANGCP,CHIS,Doctor Belisario DomÌnguez Chis.,25.5
-92.8,16.55,ACACP,CHIS,Acala Chis.,24.9
-93.15,16.64,BOQCP,CHIS,BoquerÛn Chis.,25.6
-92.63,16.73,SCOCP,CHIS,Observatorio de San CristÛbal Chis.,15.9
-93.13,16.75,TXOCP,CHIS,Observatorio de Tuxtla GutiÈrrez Chis.,24.2
-93.1,16.76,TUXCP,CHIS,Tuxtla Oriente Chis.,24.7
-93.15,16.76,TUXTLAGTZob,CHIS,Observatorio de Tuxtla GutiÈrrez Chis. SMN*,25.3
-93.1,16.94,CHICP,CHIS,Manuel Moreno Torres Chis.,24.7
-92.62,16.74,SCRCP,CHIS,Puente Morelos Chis.,15.0
-93.07,16.72,TXZCP,CHIS,Tuxtla GutiÈrrez Zoomat Chis.,23.3
-91.73,16.11,LMONTEBELLO,CHIS,Lagunas de Montebello Chis. SMN*,18.3
-93.08,16.17,CREDREVOLUCIONM,CHIS,Cred RevoluciÛn Mexicana Chis. SMN*,24.4
-92.13,16.23,COMITANob,CHIS,Observatorio de Comit·n Chis. SMN*,22.8
-91.52,16.81,MAZULES,CHIS,Montes Azules Chis. SMN*,23.7
-93.1,16.83,CSUMIDERO,CHIS,CaÒÛn del Sumidero Chis. SMN*,19.9
-91.23,17.29,CUSUMACINTA,CHIS,CaÒÛn Usumacinta Tab. SMN*,25.7
-92.4,14.7,PTOCHIAPASMAR,CHIS,Puerto Chiapas Chis. SEMAR*,28.1
-92.3,14.89,TAPACHULAob,CHIS,Observatorio de Tapachula Chis. SMN*,29.9
-92.26,14.91,TAPCP,CHIS,Tapachula Chis.,29.3
-92.24,14.99,TAMCP,CHIS,Tapachula Malpaso Chis.,26.9
-92.76,15.07,LAENCRUCIJADA,CHIS,La Encrucijada Chis. SGT*,27.8
-92.33,15.17,FHACP,CHIS,Finca Hamburgo Chis.,23.5
-92.67,15.32,ESCCP,CHIS,Escuintla Chis.,28.7
-92.67,15.33,ESCUINTLA,CHIS,Escuintla Chis. SMN*,28.5
-92.95,15.5,ELNCP,CHIS,El Novillero Chis.,30.2
-92.81,15.66,ELTRIUNFO,CHIS,El Triunfo Chis. SMN*,16.1
-93.22,15.69,PIJCP,CHIS,Pijijiapan Chis.,30.0
-92.72,15.87,JAPCP,CHIS,Jaltenango Chis.,24.1
-93.53,15.88,TPICP,CHIS,Tres Picos Chis.,29.1
-92.67,15.92,REFCP,CHIS,Reforma Chis.,22.6
-93.86,16.06,PAREDONMAR,CHIS,ParedÛn Chis. SEMAR*,28.7
-93.08,16.16,REVCP,CHIS,RevoluciÛn Mexicana Chis.,23.5
