Lon,Lat,Clave,Edo,Est,Tmax
-99.75,16.76,76805,GRO,ACAPULCO,33.6516129
-102.29,21.85,76571,AGS,AGUASCALIENTES,29.35333333
-111.83,30.71,76113,SON,ALTAR,24.575
-93.9,16.24,76840,CHIS,ARRIAGA,36.90322581
-90.5,19.83,76695,CAMP,CAMPECHE,34.51290323
-111.65,25.01,76402,BCS,CD. CONSTITUCIÓN,30.4483871
-109.92,27.48,76258,SON,CD. OBREGON,25.77857143
-99.17,23.75,76491,TAMPS,CD. VICTORIA,28.34074074
-99.2,19.4,76680,DF,CENTRAL TACUBAYA,27.85333333
-88.3,18.48,76750,QROO,CHETUMAL,32.31612903
-106.13,28.67,76225,CHIH,CHIHUAHUA,25.79354839
-99.5,17.55,76762,GRO,CHILPANCINGO,32.65806452
-103.46,19.73,76656,JAL,CIUDAD GUZMÁN,29.26333333
-94.51,18.19,76741,VER,COATZACOALCOS,30.57692308
-103.72,19.24,76658,COL,COLIMA,35.63793103
-92.13,16.23,76848,CHIS,COMITAN,26.87741935
-99.23,18.89,76726,MOR,CUERNAVACA,32.20416667
-107.44,24.63,76412,SIN,CULIACÁN,32.57586207
-104.6,24.09,76423,DGO,DURANGO,30.13225806
-115.19,32.41,76040,BC,EJIDO NVO. LEÓN,26.7
-110.8,27.95,76256,SON,EMPALME,28.28387097
-88.05,19.57,76698,QROO,FPE. CARRILLO PUERTO,33.5
-103.39,20.71,76612,JAL,GUADALAJARA,31.77419355
-101.29,21.01,76577,GTO,GUANAJUATO,29.05172414
-110.93,29.08,76160,SON,HERMOSILLO,28.66956522
-105.67,26.92,76323,CHIH,HGO. DEL PARRAL,27.40322581
-97.77,17.8,76773,OAX,HUAJUAPAN DE LEON,33.37419355
-96.9,19.51,76687,VER,JALAPA,25.34642857
-110.32,24.12,76405,BCS,LA PAZ,29.45925926
-111.35,26.02,76305,BCS,LORETO,27.78387097
-104.33,19.07,76654,COL,MANZANILLO,30.98387097
-98.81,21.28,76585,SLP,MATLAPA,27.22857143
-106.41,23.22,76458,SIN,MAZATLAN,26.67741935
-89.65,20.95,76644,YUC,MERIDA,34.49677419
-101.42,26.91,76342,COAH,MONCLOVA,26.46774194
-100.3,25.73,76393,NL,MONTERREY,25.04166667
-101.18,19.7,76665,MICH,MORELIA,30.35483871
-107.93,30.42,76122,CHIH,NUEVO CASAS GRANDES,23.76774194
-96.7,17.07,76775,OAX,OAXACA,32.30645161
-97.1,18.85,76737,VER,ORIZABA,25.17142857
-98.75,20.13,76632,HGO,PACHUCA,26.52580645
-100.52,28.7,76243,COAH,PIEDRAS NEGRAS,24.32
-89.65,21.28,76593,YUC,PROGRESO,32.07666667
-98.17,19.05,76685,PUE,PUEBLA,28.25806452
-96.48,15.65,76855,OAX,PUERTO ANGEL,33.10322581
-100.4,20.58,76625,QRO,QUERETARO,29.11612903
-100,21.92,76581,SLP,RIO VERDE,31.0516129
-95.18,16.17,76833,OAX,SALINA CRUZ,34.71666667
-92.63,16.73,76845,CHIS,SAN CBAL. DE LAS CASAS,23.97419355
-101.02,22.21,76539,SLP,SAN LUIS POTOSÍ,28.548
-103.65,23.47,76471,ZAC,SOMBRERETE,27.61612903
-98.2,23.77,76499,TAMPS,SOTO LA MARINA,29.38387097
-112.25,27.28,76253,BCS,STA. ROSALIA,22.75
-97.85,22.22,76548,TAMPS,TAMPICO,28.65
-92.25,14.92,76903,CHIS,TAPACHULA,36.9516129
-107.82,28.95,76220,CHIH,TEMOSACHIC,20.944
-104.89,21.49,76556,NAY,TEPIC,31.20322581
-98.24,19.31,76683,TLAX,TLAXCALA,27.79677419
-99.71,19.29,76675,MEX,TOLUCA,25.87096774
-103.45,25.53,76382,COAH,TORREON,31.39032258
-98.36,20.08,76634,HGO,TULANCINGO,27.01612903
-97.42,20.96,76640,VER,TUXPAN,26.18571429
-93.13,16.75,76843,CHIS,TUXTLA GUTIÉRREZ,33.33333333
-88.2,20.69,76647,YUC,VALLADOLID,34.66451613
-96.14,19.16,76692,VER,VERACRUZ,27.98666667
-92.93,17.98,76743,TAB,VILLAHERMOSA,32.348
-102.57,22.78,76525,ZAC,ZACATECAS,21.72258065
-102.32,19.98,76662,MICH,ZAMORA,33.11666667
-103.7,27.29,SMJCL,COAH,Sierra Mojada Coah.,24.61290323
-101.47,21.07,COMGJ,GTO,Comanjilla Gto.,30.48387097
-101.22,21.48,SFEGJ,GTO,San Felipe Gto.,26.38709677
-99.32,18.63,PIXMR,MOR,Puente de Ixtla Mor.,37.20645161
-98.76,18.88,OCTMR,MOR,Ocuituco Mor.,29.80645161
-107.06,24.75,VINSI,SIN,Vinoramas Sin.,32.93548387
-107.76,25.12,RAVSI,SIN,Estación Rancho Viejo Sin.,33.14814815
-95.03,18.52,SONVC,VER,Sontecomapan Ver.,27.75
-100.36,20.2,CORGJ,GTO,Coroneo Gto.,29.375
-101.11,21.32,LQMGJ,GTO,La Quemada Gto.,26.53333333
-103.87,19.17,LAECM,COL,La Esperanza Col.,35.56
-99.1,18.79,TICMR,MOR,Ticumán Mor.,34.3
-96.97,19.45,TAPVC,VER,Tapachapan Ver.,24.92
-98.5,16.66,QTZGR,GRO,Quetzala Gro.,34.46551724
-98.83,18.95,ACHMR,MOR,Achichipico Mor.,29.85806452
-100.5,21.22,POZGJ,GTO,Pozos Gto.,27.4516129
-105.85,23.09,TORSI,SIN,Las Tortugas Sin.,35.10344828
-101.02,20.43,SMAGJ,GTO,San Miguel de Allende Gto.,29.88
-99.24,19.53,CLYMX,MEX,Calacoaya Méx.,26.38709677
-96.3,17.78,VANOX,OAX,Valle Nacional Oax.,33.08695652
-111.35,26.01,76304,BCS,LORETO (AUTOMATICA),27.46153846
-96.41,19.26,LOFVC,VER,Loma Fina Ver.,31.18518519
-92.4,15,HUECP,CHIS,Huehuetán Chis.,38.53225806
-100.92,25.44,ESLCL,COAH,E. C. Saltillo Coah.,22.86206897
-103.26,25.77,FIMCL,COAH,Francisco I. Madero Coah.,29.41935484
-104.56,25.18,RDODR,DGO,Rodeo Dgo.,25.51612903
-98.51,17.62,IXTGR,GRO,Ixcateopan de Tlapa Gro.,37.48387097
-96.53,17.43,ATEOX,OAX,Atepec Oax.,29.68965517
-110.29,30.98,CNNSO,SON,Cananea Son.,22.31666667
-99.27,24.02,STETP,TAMPS,Santa Engracia Tamps.,27.67307692
-102.78,24.63,SJGDR,DGO,San Juan de Guadalupe Dgo.,28.67741935
-104.29,25.56,SPGDR,DGO,San Pedro del Gallo Dgo.,30.19354839
-99.2,19.31,CCH S,DF,CCH Sur,26.18064516
-99.13,19.42,ENP 7,DF,Ezequiel A. Chavez,27.17666667
-96.95,19.23,TOTVC,VER,Totutla Ver.,24.73076923
-97.01,18.33,ZOQPB,PUE,Zoquitlán Pue.,25.41935484
-114.78,32.48,SLCSO,SON,San Luis Río Colorado Son.,27.62758621
-98.7,18.88,HUEMR,MOR,Hueyapan Mor.,25.19047619
-101.66,19.93,AMEMC,MICH,Aristeo Mercado Mich.,30.06
-110.24,28.71,SJPSO,SON,San José de Pimas Son.,29.24193548
-100.51,28.71,76242,COAH,PIEDRAS NEGRAS (AUTOMATICA),20.2
-99.55,24.57,VSMTP,TAMPS,Victoria-San Marcos Tamps.,28.50769231
