Lon,Lat,Clave,Edo,Est,Tmin
-96.53,17.43,ATEOX,OAX,Atepec Oax.,10.33333333
-110.29,30.98,CNNSO,SON,Cananea Son.,1.307692308
-99.27,24.02,STETP,TAMPS,Santa Engracia Tamps.,11.88461538
-102.78,24.63,SJGDR,DGO,San Juan de Guadalupe Dgo.,10.64285714
-104.29,25.56,SPGDR,DGO,San Pedro del Gallo Dgo.,7.035714286
-99.2,19.31,CCH S,DF,CCH Sur,9.807142857
-99.13,19.42,ENP 7,DF,Ezequiel A. Chavez,12.36071429
-96.95,19.23,TOTVC,VER,Totutla Ver.,12.85714286
-97.01,18.33,ZOQPB,PUE,Zoquitlán Pue.,9.892857143
-98.7,18.88,HUEMR,MOR,Hueyapan Mor.,7.5
-101.66,19.93,AMEMC,MICH,Aristeo Mercado Mich.,9.204347826
-110.24,28.71,SJPSO,SON,San José de Pimas Son.,5.285714286
-100.51,28.71,76242,COAH,PIEDRAS NEGRAS (AUTOMATICA),10.71538462
-99.55,24.57,VSMTP,TAMPS,Victoria-San Marcos Tamps.,13.56153846
-98.23,19.32,76684,TLAX,Tlaxcala (Automatica),6.111538462
-99.93,17.6,YXTGR,GRO,Yextla Gro.,12.76
-96.91,18.21,LCAOX,OAX,La Carbonera Oax.,11.48
-96.97,19.55,OTIVC,VER,Otilpan Ver.,11.46428571
-100.75,20.58,SMOGJ,GTO,San Miguel Octopan Gto.,8.24
-96.45,17.12,SMAOX,OAX,San Antonio Cuajimoloyas Oax.,4.642857143
-100.37,20.57,GHQQT,QRO,Gerencia Hidalgo Qro.,10.92
-111.35,26.01,BLORETO,BCS,Bahía de Loreto B.C.S. SMN*,13.20357143
-99.48,16.8,SNMGR,GRO,San Marcos Gro.,11.77777778
-103.51,24.29,SGOZC,ZAC,Santiago Zac.,5.714285714
-113.55,31.3,76061,SON,PTO. PEÑASCO,9.47
-98.82,21.32,76586,SLP,MATLAPA (AUTOMATICA),15.824
-109.92,22.89,SLUBS,BCS,Cabo San Lucas B.C.S. SMN*,16.86071429
-110.22,23.45,TODOSLOSSANTOS,BCS,Todos los Santos B.C.S. SMN*,14.54074074
-89.4,18.5,XPJCA,CAMP,Xpujil Camp.,20.53571429
-89.72,19.46,DZILBACHEN,QROO,Dzilbachén Camp. SMN*,19.83214286
-106.87,28.42,CUACH,CHIH,Cuauhtémoc Chih.,1.230769231
-106.03,28.67,76226,CHIH,CHIHUAHUA (AUTOMATICA),6.407407407
-92.48,15.97,CATARINITAS,CHIS,Catarinitas Chis. SGT*,18.10714286
-92.05,16.12,ZAPALUTA,CHIS,Zapaluta Chis. SGT*,11.90357143
-91.73,16.91,YAQUINTELA,CHIS,Yaquintela Chis. SGT*,15.98571429
-101.12,29.15,CBRCL,COAH,Cabeceras Coah.,8.826086957
-103.35,24.47,SCLDR,DGO,Santa Clara Dgo.,4.192307692
-100.52,18.08,AFIGR,GRO,Andrés Figueroa Gro.,20.32692308
-98.13,20.14,LAGUNASGT,HGO,La Laguna Hgo. SGT*,9.842083333
-103.42,20.44,TLAJOMULCO,JAL,Tlajomulco Jal. SMN*,7.978571429
-99.04,18.58,SPHMR,MOR,San Pablo Hidalgo Mor.,14.70454545
-100.01,25.27,AL2NL,NL,Allende Dos N. L.,9.346153846
-96.72,15.81,COZOX,OAX,San Francisco Cozoaltepec Oax.,17.56666667
-95.7,16.01,ASTOX,OAX,Astata Oax.,19
-95.48,16.59,RHOOX,OAX,Río Hondo Oax.,20.89285714
-96.85,18.4,TLPPB,PUE,Tlacotepec de Díaz Pue.,17.03571429
-98,20.22,NECAXASGT,PUE,Necaxa Pue. SGT*,11.9925
-87.49,21.1,KANTUNILKIN,QROO,Kantunilkín Q. Roo. SMN*,19.725
-99.15,21.82,TANCHACHIN,SLP,Tanchachín S.L.P. SGT*,16.4037037
-110.21,27.59,TORIM,SON,Tórim Son. SGT*,7.064285714
-109.97,27.61,TAJIMAROA,SON,Tajimaroa Son. SGT*,7.207142857
-110.3,27.64,VICAM,SON,Vícam Son. SGT*,9.552173913
-109.89,27.75,AGCSO,SON,Agua Caliente Son.,8.259259259
-98.63,22.49,NVAAPOLONIA,TAMPS,Nueva Apolonia Tamps. SGT*,17.06
