Lon,Lat,Clave,Edo,Est,Tmax
-102.29,21.85,76571,AGS,AGUASCALIENTES,32.05833333
-102.37,21.78,NGRAG,AGS,El Niagara Ags.,31.65
-102.79,21.81,MNLAG,AGS,Media Luna Ags.,32.2
-102.71,21.85,CALVILLO,AGS,Calvillo Ags. SMN*,33.54666667
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,32.45
-102.31,21.9,AGSAG,AGS,Aguascalientes Ags.,32.06
-102,21.9,CNSAG,AGS,Los Conos Ags.,30.3
-102.68,22,CDRAG,AGS,La Codorniz Ags.,31.83333333
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,31.35
-102.42,22.14,PECAG,AGS,Plutarco Elías Calles Ags.,29.68333333
-102.29,22.16,PBLAG,AGS,Pabellón Ags.,30.71666667
-102.47,22.19,ANVAG,AGS,Cincuenta Aniversario Ags.,29.6
-102.14,22.2,PTOAG,AGS,Puerto de la Concepción Ags.,29.08928571
-102.44,22.24,PTRAG,AGS,Derivadora Pabellón Ags.,29.53333333
-102.3,22.36,CSOAG,AGS,Cosío Ags.,25.98333333
-115.19,32.41,76040,BC,EJIDO NVO. LEÓN,34.90333333
-114.72,29.73,CATAVINA,BC,Cataviña B.C. SMN*,30.95714286
-114.85,31.03,SFLBN,BC,San Felipe B.C.,35.31111111
-116.6,31.89,ELZBN,BC,Emilio López Zamora B.C.,23.56521739
-116.2,32.27,AGHBN,BC,Agua Hechicera B.C.,28.152
-116.91,32.44,ALRBN,BC,Abelardo L. Rodríguez B.C.,26.04761905
-116.83,32.47,EFLBN,BC,El Florido B.C.,24.72222222
-116.7,32.48,CRRBN,BC,El Carrizo B.C.,26.47058824
-116.3,32.52,HNGBN,BC,El Hongo B.C.,26.5
-114.73,32.7,PDMBN,BC,Presa Derivadora Morelos B.C.,38.475
-115.27,32.39,MXCBN,BC,Mexicali B.C.,40.33333333
-116.81,32.1,LAMBN,BC,La Misión B.C.,23
-115.93,30.52,ENBBN,BC,San Quintín B.C.,23.2826087
-114.73,32.7,ALGODONESob,BC,Observatorio de Algodones B.C. SMN*,40.31818182
-111.65,25.01,76402,BCS,CD. CONSTITUCIÓN,33.2
-110.32,24.12,76405,BCS,LA PAZ,37.61333333
-111.35,26.02,76305,BCS,LORETO,35.57
-112.25,27.28,76253,BCS,STA. ROSALIA,31.06
-111.35,26.01,76304,BCS,LORETO (AUTOMATICA),35.70333333
-111.35,26.01,BLORETO,BCS,Bahía de Loreto B.C.S. SMN*,35.51071429
-109.92,22.89,SLUBS,BCS,Cabo San Lucas B.C.S. SMN*,32.40357143
-110.22,23.45,TODOSLOSSANTOS,BCS,Todos los Santos B.C.S. SMN*,23.91481481
-109.93,22.9,CSLBS,BCS,Cabo San Lucas B.C.S.,33.15
-109.71,23.07,SJCBS,BCS,San José del Cabo B.C.S.,32.5
-110.22,23.43,TSNBS,BCS,Todos Santos B.C.S.,25.55
-109.72,23.45,SNTBS,BCS,Santiago B.C.S.,37.53333333
-109.55,23.58,RBRBS,BCS,La Ribera B.C.S.,32.8
-109.7,23.68,LBABS,BCS,Los Barriles B.C.S.,32.26666667
-109.84,23.74,SBABS,BCS,San Bartolo B.C.S.,34.46666667
-110.05,23.8,SANBS,BCS,San Antonio B.C.S.,40.13333333
-109.98,24.07,PLNBS,BCS,Los Planes B.C.S.,36.36666667
-109.98,24.07,SARBS,BCS,El Sargento B.C.S.,33.03448276
-110.37,24.15,LPZBS,BCS,La Paz B.C.S.,37.73666667
-111.66,25,CCNBS,BCS,Ciudad Constitución B.C.S.,33.17
-111.34,26.02,LRTBS,BCS,Loreto B.C.S.,35.96333333
-112.28,27.3,SRLBS,BCS,Santa Rosalía B.C.S.,31.13
-113.42,27.78,DORBS,BCS,Díaz Ordaz B.C.S.,28.81666667
-114.05,27.97,GNGBS,BCS,Guerrero Negro B.C.S.,22.60714286
-112,26.87,MLGBS,BCS,Mulegé B.C.S.,34.2
-90.5,19.83,76695,CAMP,CAMPECHE,36.44827586
-89.4,18.5,XPJCA,CAMP,Xpujil Camp.,35.43333333
-89.72,19.46,DZILBACHEN,CAMP,Dzilbachén Camp. SMN*,35.09285714
-89.89,18.09,CALAKMUL,CAMP,Calakmul Camp. SMN*,34.47142857
-89.89,18.36,CALCA,CAMP,Calakmul Camp. SMN*,35.55714286
-91.05,18.18,CNDCA,CAMP,Candelaria Camp.,35.64285714
-92.09,18.25,PLZCA,CAMP,Palizada Camp.,34.67857143
-90.74,18.6,ESCCA,CAMP,Escárcega Camp.,36.67857143
-91.76,18.65,CARCA,CAMP,El Carmen Camp.,34.33333333
-91.18,18.97,SBNCA,CAMP,Sabancuy Camp.,36.16666667
-90.58,19.3,CANCA,CAMP,Canasayab Camp.,37.03333333
-90.72,19.36,CHMCA,CAMP,Champotón Camp.,35.2
-90.22,19.61,NYXCA,CAMP,Noh-Yaxché Camp.,36.6
-89.86,19.66,XCPCA,CAMP,Xcupil Camp.,35.9
-89.85,19.75,HPOCA,CAMP,Hopelchen Camp.,35.56
-90.54,19.84,CMPCA,CAMP,Campeche Camp.,36.36666667
-90.51,19.84,COBCA,CAMP,Observatorio de Campeche Camp.,36.36666667
-89.74,20,BOLCA,CAMP,Bolonchen Camp.,35.18518519
-90.11,20.18,HECCA,CAMP,Hecelchakán Camp.,37.37931034
-106.13,28.67,76225,CHIH,CHIHUAHUA,36.24137931
-105.67,26.92,76323,CHIH,HGO. DEL PARRAL,34.42666667
-107.93,30.42,76122,CHIH,NUEVO CASAS GRANDES,35.73333333
-107.82,28.95,76220,CHIH,TEMOSACHIC,32.68666667
-106.38,26.47,RVGCH,CHIH,El Vergel Chih.,23.91666667
-105.16,26.74,VICCH,CHIH,Villa Coronado Chih.,36
-107.07,26.81,GRCCH,CHIH,Guerachi Chih.,41.22941176
-107.88,26.87,IGNCH,CHIH,San Ignacio Chih.,41.7037037
-105.68,26.92,PRRCH,CHIH,Parral Chih.,34.6
-107.97,26.94,TBRSI,CHIH,San Francisco Chih.,41.86521739
-107.72,27.03,BTPCH,CHIH,Batopilas Chih.,41.8
-104.91,27.13,JMNCH,CHIH,Jiménez Chih.,35.71
-107.92,27.22,URICH,CHIH,Urique Chih. SMN*,39.54642857
-107.91,27.22,URECH,CHIH,Urique Chih.,40.98571429
-108.54,27.42,CNDCH,CHIH,Chínipas Chih.,44.74666667
-105.81,27.45,VZRCH,CHIH,Valle de Zaragoza Chih.,37.14285714
-105.41,27.54,LBQCH,CHIH,La Boquilla Chih.,35.96428571
-105.63,28.17,FIMCH,CHIH,Francisco I. Madero Chih.,35.71428571
-108.21,28.21,BSSCH,CHIH,Basaseachi Chih.,29.53333333
-105.45,28.21,CDLCH,CHIH,Ciudad Delicias Chih.,36.78571429
-107.48,28.48,AGZCH,CHIH,Abraham González Chih.,29.95
-106.09,28.66,QIJCH,CHIH,Observatorio de Chihuahua Chih.,36.26896552
-107.85,28.95,TMCCH,CHIH,Temósachic Chih.,32.75966667
-105.28,28.98,LLNCH,CHIH,Ing. Luis L. León Chih.,42.89655172
-108.3,29.2,GPCCH,CHIH,Guapoca Chih.,35.02857143
-107.38,29.56,TNTCH,CHIH,El Tintero Chih.,35.46666667
-104.41,29.56,OJNCH,CHIH,Ojinaga Chih.,40.33333333
-107.03,29.88,LJSCH,CHIH,Las Lajas Chih.,35.53333333
-107.93,30.38,CAGCH,CHIH,Casas Grandes Chih.,35.34
-106.4,31.74,CJZCH,CHIH,Ciudad Juárez Chih.,35.53333333
-108.52,28.15,C08182,CHIH,Moris,39.0625
-105.38,27.41,CL2CH,CHIH,Colina hidrométrica Chih.,35.01666667
-106.22,27.45,BOCADELRIO,CHIH,Boca del Río Chih. SGT*,35.72357143
-107.7,28.76,C08243,CHIH,Tejolocachi,34.21666667
-105.96,28.77,C08270,CHIH,La Mesa,37.38461538
-106.48,28.8,C08099,CHIH,Majalca,29.38461538
-108.09,29.25,C08219,CHIH,Peñitas,28.35714286
-108.17,29.67,YEPCH,CHIH,Yepachic Chih.,31.32
-107.26,28.77,BACCH,CHIH,Bachíniva Chih.,31.07407407
-93.9,16.24,76840,CHIS,ARRIAGA,35.49
-92.13,16.23,76848,CHIS,COMITAN,27.66333333
-92.63,16.73,76845,CHIS,SAN CBAL. DE LAS CASAS,25.63
-92.25,14.92,76903,CHIS,TAPACHULA,35.45
-93.13,16.75,76843,CHIS,TUXTLA GUTIÉRREZ,34.10333333
-92.4,15,HUECP,CHIS,Huehuetán Chis.,36.48333333
-92.48,15.97,CATARINITAS,CHIS,Catarinitas Chis. SGT*,34.79285714
-92.05,16.12,ZAPALUTA,CHIS,Zapaluta Chis. SGT*,25.92142857
-91.73,16.91,YAQUINTELA,CHIS,Yaquintela Chis. SGT*,33.22857143
-92.26,14.91,TAPCP,CHIS,Tapachula Chis.,35.44666667
-92.47,15.13,HUICP,CHIS,Huixtla Chis.,34.61666667
-92.58,15.2,DESCP,CHIS,Despoblado Chis.,35.00333333
-92.67,15.32,ESCCP,CHIS,Escuintla Chis.,35.41666667
-92.72,15.35,CACCP,CHIS,Cacaluta Chis.,35.08928571
-92.88,15.45,MAPCP,CHIS,Mapastepec Chis.,32.72413793
-92.95,15.5,ELNCP,CHIS,El Novillero Chis.,34.69642857
-93.22,15.69,PIJCP,CHIS,Pijijiapan Chis.,33.61111111
-92.28,15.75,CHMCP,CHIS,Chicomuselo Chis.,31.2
-92.24,15.78,SMICP,CHIS,San Miguel Chis.,34.90909091
-93.06,16.45,SDOCP,CHIS,Santo Domingo Chis.,33.58333333
-91.97,15.85,PCOCP,CHIS,Puente Concordia Chis.,32.33333333
-92.72,15.87,JAPCP,CHIS,Jaltenango Chis.,32.68
-93.53,15.88,TPICP,CHIS,Tres Picos Chis.,33.96666667
-92.67,15.92,REFCP,CHIS,Reforma Chis.,32.6
-93.08,16.16,REVCP,CHIS,Revolución Mexicana Chis.,30.75
-92.1,16.2,COOCP,CHIS,Observatorio de Comitán Chis.,27.49666667
-93.9,16.24,AROCP,CHIS,Arriaga Chis.,34.98333333
-92.48,16.31,CASCP,CHIS,Cascajal Chis.,33.63333333
-92.78,16.4,ANGCP,CHIS,Doctor Belisario Domínguez Chis.,34.3
-92.8,16.55,ACACP,CHIS,Acala Chis.,34.35
-93.15,16.64,BOQCP,CHIS,Boquerón Chis.,34.22413793
-92.63,16.73,SCOCP,CHIS,Observatorio de San Cristóbal Chis.,25.56333333
-93.13,16.75,TXOCP,CHIS,Observatorio de Tuxtla Gutiérrez Chis.,34.10333333
-93.1,16.76,TUXCP,CHIS,Tuxtla Oriente Chis.,33.57142857
-93.15,16.76,TUXTLAGTZob,CHIS,Observatorio de Tuxtla Gutiérrez Chis. SMN*,34.80714286
-92.82,16.94,SNACP,CHIS,Santa María Chis.,33.26666667
-93.1,16.94,CHICP,CHIS,Manuel Moreno Torres Chis.,33.79310345
-93.12,16.98,GRICP,CHIS,Grijalva Chis.,34.73333333
-93.33,17.12,YAMCP,CHIS,Yamonhó Chis.,33.13793103
-93.6,17.18,MALCP,CHIS,Nezahualcóyotl Chis.,34.4
-93.38,17.42,SAYCP,CHIS,Sayula Chis.,34.95
-93.01,17.25,TAPILULA,CHIS,Tapilula Chis. SGT*,29.41821429
-93.46,17.45,PENCP,CHIS,Ángel Albino Corzo Chis.,35.11666667
-92.35,17.57,SAACP,CHIS,Salto de Agua Chis.,33.51666667
-93.19,17.61,JUAREZ,CHIS,Juárez Chis. Protección Civil*,35.12142857
-92.97,15.73,CUXTEPEQUES,CHIS,Finca Cuxtepeques Chis. SGT*,29.96071429
-93.63,16.49,NVAPALESTINA,CHIS,Nueva Palestina Chis. SGT*,33.17857143
-93.27,16.23,VIFCP,CHIS,Villa Flores Chis.,31.08333333
-92.18,14.63,ILRAYON,CHIS,Ignacio López Rayón Chis. SGT*,32.925
-92.24,14.99,TAMCP,CHIS,Tapachula Malpaso Chis.,32.19230769
-92.15,15.09,VTACANA,CHIS,Volcán Tacaná Chis. SMN*,26.05
-92.3,15.12,ARGOVIA,CHIS,Finca Argovia Chis. SGT*,30.05925926
-92.47,15.15,HUIXTLA,CHIS,Huixtla Chis. SGT*,36.59259259
-93.25,16.25,VILLAFLORES,CHIS,Villaflores Chis. SGT*,33.45555556
-91.71,16.38,CHAYABE,CHIS,Finca Chayabé Chis. SGT*,25.93928571
-93.56,16.69,LASFLORESII,CHIS,Las Flores Dos Chis. SGT*,33.49642857
-92.62,16.74,SCRCP,CHIS,Puente Morelos Chis.,22.8
-92.91,17,BOCHIL,CHIS,Bochil Chis. SGT*,30.20714286
-92.27,15.33,MOTOZINTLA,CHIS,Motozintla Chis. SGT*,24.1962963
-92.32,15.56,SILTEPEC,CHIS,Siltepec Chis. SGT*,28.56428571
-93.07,16.72,TXZCP,CHIS,Tuxtla Gutiérrez Zoomat Chis.,29.82142857
-92.37,16.89,CANCUC,CHIS,Cancuc Chis. SGT*,28.23863636
-92.48,15.35,FPZCP,CHIS,Finca la Paz Chis.,26.68181818
-92.33,15.17,FHACP,CHIS,Finca Hamburgo Chis.,28.62307692
-92.3,14.89,TAPACHULAob,CHIS,Observatorio de Tapachula Chis. SMN*,35.55925926
-101.42,26.91,76342,COAH,MONCLOVA,38.47333333
-100.52,28.7,76243,COAH,PIEDRAS NEGRAS,37.19310345
-103.45,25.53,76382,COAH,TORREON,37.73333333
-103.7,27.29,SMJCL,COAH,Sierra Mojada Coah.,32.6
-100.92,25.44,ESLCL,COAH,E. C. Saltillo Coah.,29.26666667
-103.26,25.77,FIMCL,COAH,Francisco I. Madero Coah.,37.66666667
-101.12,29.15,CBRCL,COAH,Cabeceras Coah.,34.64285714
-101.02,25.38,STOCL,COAH,Saltillo Coah.,30.21428571
-103.45,25.53,TORREONob,COAH,Observatorio de Torreón Coah. SMN*,37.325
-103.45,25.54,TORCL,COAH,Observatorio de Torreón Coah.,37.73333333
-103.47,25.54,CYTCL,COAH,Coyote Coah.,37.58333333
-100.93,25.56,ARACL,COAH,Ramos Arizpe Aeropuerto Coah.,30.56666667
-102.98,25.76,SPECL,COAH,San Pedro Coah.,38.51666667
-100.66,26.84,CDLCL,COAH,Candela Coah.,34.16666667
-101.42,26.91,MCVCL,COAH,Monclova Coah.,38.47333333
-102.06,26.98,CCGCL,COAH,Cuatro Ciénegas Coah.,35.56666667
-101,27.42,PRSCL,COAH,Progreso Coah.,38.76666667
-100.62,27.52,VCRCL,COAH,Venustiano Carranza Coah.,37.85
-101.12,27.85,SBNCL,COAH,Sabinas Coah.,35.44642857
-100.53,28.71,PNGCL,COAH,Piedras Negras Coah.,36.85333333
-100.9,29.03,ZPTCL,COAH,Zapata Coah.,33.26666667
-100.95,29.03,SMGCL,COAH,San Miguel Coah.,34.89285714
-100.95,29.21,CNTCL,COAH,El Centenario Coah.,32.7
-100.95,29.33,CDACL,COAH,Ciudad Acuña Coah.,34.16666667
-101.06,29.45,AMSCL,COAH,Internacional La Amistad Coah.,33.96666667
-102.18,25.44,PARCL,COAH,Parras Coah.,32.36666667
-100.84,28.34,ADLCL,COAH,Allende Coah.,36.33333333
-101.02,25.38,76390,COAH,SALTILLO,30.78333333
-101.02,25.38,SALCL,COAH,Observatorio de Saltillo Coah.,30.84333333
-103.72,19.24,76658,COL,COLIMA,35.17586207
-104.33,19.07,76654,COL,MANZANILLO,33.21666667
-103.87,19.17,LAECM,COL,La Esperanza Col.,36.90909091
-103.72,18.75,CDOCM,COL,Cerro de Ortega Col.,35.11538462
-103.77,18.81,LDACM,COL,Laguna de Amela Col.,34.64285714
-103.63,18.83,CLLCM,COL,Callejones Col.,38.29166667
