Lon,Lat,Clave,Edo,Est,Tmin
-102.29,21.85,76571,AGS,Aguascalientes,15.5875
-111.83,30.71,76113,SON,Altar,25.89310345
-93.9,16.24,76840,CHIS,Arriaga,21.82903226
-90.5,19.83,76695,CAMP,Campeche,23.51333333
-111.65,25.01,76402,BCS,Cd. ConstituciÛn,21.94193548
-88.3,18.48,76750,QROO,Chetumal,26.29677419
-106.13,28.67,76225,CHIH,Chihuahua,21.08
-99.5,17.55,76762,GRO,Chilpancingo,18.46666667
-103.46,19.73,76656,JAL,Ciudad Guzm·n,16.61290323
-94.51,18.19,76741,VER,Coatzacoalcos,23.86774194
-103.72,19.24,76658,COL,Colima,22.35483871
-104.6,24.09,76423,DGO,Durango,15.71612903
-110.8,27.95,76256,SON,Empalme,27.82258065
-103.39,20.71,76612,JAL,Guadalajara,17.02258065
-96.9,19.51,76687,VER,Jalapa,15.27333333
-110.32,24.12,76405,BCS,La Paz,24.96129032
-104.33,19.07,76654,COL,Manzanillo,26.6137931
-98.81,21.28,76585,SLP,Matlapa,24.18
-101.42,26.91,76342,COAH,Monclova,26.09
-101.18,19.7,76665,MICH,Morelia,13.81935484
-96.7,17.07,76775,OAX,Oaxaca,14.42413793
-97.1,18.85,76737,VER,Orizaba,16.98709677
-98.75,20.13,76632,HGO,Pachuca,11.5516129
-100.52,28.7,76243,COAH,Piedras Negras,26.38709677
-89.65,21.28,76593,YUC,Progreso,24.22258065
-98.17,19.05,76685,PUE,Puebla,12.50967742
-95.18,16.17,76833,OAX,Salina Cruz,25.26129032
-101.02,22.21,76539,SLP,San Luis PotosÌ,13.28666667
-103.65,23.47,76471,ZAC,Sombrerete,13.25483871
-97.85,22.22,76548,TAMPS,Tampico,26.16
-92.25,14.92,76903,CHIS,Tapachula,24.07741935
-107.82,28.95,76220,CHIH,Temosachic,15.94
-104.89,21.49,76556,NAY,Tepic,21.3483871
-98.24,19.31,76683,TLAX,Tlaxcala,11.24193548
-99.71,19.29,76675,MEX,Toluca,8.04516129
-98.36,20.08,76634,HGO,Tulancingo,10.59032258
-97.42,20.96,76640,VER,Tuxpan,25.55333333
-88.2,20.69,76647,YUC,Valladolid,24.00322581
-96.14,19.16,76692,VER,Veracruz,24.61935484
-102.57,22.78,76525,ZAC,Zacatecas,12.39655172
-102.32,19.98,76662,MICH,Zamora,15.19666667
-103.7,27.29,SMJCL,COAH,Sierra Mojada Coah.,20.8
-101.22,21.48,SFEGJ,GTO,San Felipe Gto.,10.56666667
-99.32,18.63,PIXMR,MOR,Puente de Ixtla Mor.,18.12903226
-98.76,18.88,OCTMR,MOR,Ocuituco Mor.,13.14814815
-107.76,25.12,RAVSI,SIN,EstaciÛn Rancho Viejo Sin.,24.52
-95.03,18.52,SONVC,VER,Sontecomapan Ver.,20.53333333
-100.36,20.2,CORGJ,GTO,Coroneo Gto.,10.08064516
-101.11,21.32,LQMGJ,GTO,La Quemada Gto.,11.41935484
-103.87,19.17,LAECM,COL,La Esperanza Col.,21.28
-99.1,18.79,TICMR,MOR,Ticum·n Mor.,18.67857143
-96.97,19.45,TAPVC,VER,Tapachapan Ver.,17.41935484
