Lon,Lat,Clave,Edo,Est,Tmax
-102.29,21.85,76571,AGS,Aguascalientes,30.1625
-111.83,30.71,76113,SON,Altar,40.06551724
-93.9,16.24,76840,CHIS,Arriaga,36.46129032
-90.5,19.83,76695,CAMP,Campeche,36.34666667
-111.65,25.01,76402,BCS,Cd. ConstituciÛn,37.2
-88.3,18.48,76750,QROO,Chetumal,34.7
-106.13,28.67,76225,CHIH,Chihuahua,35.3
-99.5,17.55,76762,GRO,Chilpancingo,31.23
-103.46,19.73,76656,JAL,Ciudad Guzm·n,28.4516129
-94.51,18.19,76741,VER,Coatzacoalcos,33.39677419
-103.72,19.24,76658,COL,Colima,33.85806452
-104.6,24.09,76423,DGO,Durango,32.63548387
-110.8,27.95,76256,SON,Empalme,36.72903226
-103.39,20.71,76612,JAL,Guadalajara,29.36451613
-96.9,19.51,76687,VER,Jalapa,28.76333333
-110.32,24.12,76405,BCS,La Paz,37.91935484
-104.33,19.07,76654,COL,Manzanillo,34.70344828
-98.81,21.28,76585,SLP,Matlapa,36.27666667
-101.42,26.91,76342,COAH,Monclova,40.06666667
-101.18,19.7,76665,MICH,Morelia,28.1
-96.7,17.07,76775,OAX,Oaxaca,30.83793103
-97.1,18.85,76737,VER,Orizaba,28.13225806
-98.75,20.13,76632,HGO,Pachuca,26.00322581
-100.52,28.7,76243,COAH,Piedras Negras,41.32903226
-89.65,21.28,76593,YUC,Progreso,34.32903226
-98.17,19.05,76685,PUE,Puebla,26.5516129
-95.18,16.17,76833,OAX,Salina Cruz,35.09032258
-101.02,22.21,76539,SLP,San Luis PotosÌ,30.77
-103.65,23.47,76471,ZAC,Sombrerete,27.92580645
-97.85,22.22,76548,TAMPS,Tampico,38.26666667
-92.25,14.92,76903,CHIS,Tapachula,35.91290323
-107.82,28.95,76220,CHIH,Temosachic,29.87333333
-104.89,21.49,76556,NAY,Tepic,30.8516129
-98.24,19.31,76683,TLAX,Tlaxcala,26.76451613
-99.71,19.29,76675,MEX,Toluca,24.07419355
-98.36,20.08,76634,HGO,Tulancingo,26.8483871
-97.42,20.96,76640,VER,Tuxpan,36.60666667
-88.2,20.69,76647,YUC,Valladolid,37.09354839
-96.14,19.16,76692,VER,Veracruz,33.5
-102.57,22.78,76525,ZAC,Zacatecas,22.47241379
-102.32,19.98,76662,MICH,Zamora,30.59333333
-103.7,27.29,SMJCL,COAH,Sierra Mojada Coah.,33.73333333
-101.22,21.48,SFEGJ,GTO,San Felipe Gto.,25.76666667
-99.32,18.63,PIXMR,MOR,Puente de Ixtla Mor.,33.67741935
-98.76,18.88,OCTMR,MOR,Ocuituco Mor.,25.42592593
-107.76,25.12,RAVSI,SIN,EstaciÛn Rancho Viejo Sin.,36.516
-95.03,18.52,SONVC,VER,Sontecomapan Ver.,33.56666667
