LON,LAT,EDO,CLAVE,ESTACION,JUL
-105.171389,27.685556,CHIH,CCOCH,"Ciudad Camargo, Chih.",0.2
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",24.6
-106.770556,26.229444,CHIH,CHNCH,"Chinat˙, Chih. SMN*",158.7
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",52.3
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Ju·rez, Chih.",4.6
-105.381667,27.410278,CHIH,CL2CH,"Colina (hidromÈtrica), Chih.",71
-105.382222,27.576389,CHIH,CLNCH,"Ing. Andrew Weiss, Chih.",51
-108.541667,27.416667,CHIH,CNDCH,"Chinipas, Chih.",168
-106.871111,28.418611,CHIH,CUACH,"CuauhtÈmoc, Chih.",0
-106.119444,28.614722,CHIH,ERECH,"El RejÛn, Chih.",52.3
-105.628889,28.166111,CHIH,FIMCH,"Francisco I. Madero, Chih.",31
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",106.4
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",112
-107.072778,26.813056,CHIH,GRCCH,"Guerachi, Chih.",113.9
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",151.5
-104.912778,27.126667,CHIH,JMNCH,"JimÈnez, Chih.",31.6
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",56.5
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",30.4
-105.28,28.984444,CHIH,LLNCH,"Ing. Luis L. LeÛn, Chih.",37
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",92.7
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",19
-105.254167,26.546389,CHIH,PAGCH,"Pico del ¡guila, Chih.",95.1
-105.620556,28.165278,CHIH,PFCOIMADERO,"Presa Francisco I. Madero, Chih. SGT*",12.8
-105.675556,26.917778,CHIH,PRRCH,"Parral, Chih.",87.4
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",52.3
-106.383333,26.466667,CHIH,RVGCH,"El Vergel, Chih.",103.5
-107.973333,26.9425,CHIH,TB2CH,"Tubares II, Chih.",121.9
-107.85,28.95,CHIH,TMCCH,"TemÛsachic, Chih.",55.5
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",45.6
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",243.9
-107.916944,27.215556,CHIH,URICH,"Urique, Chih. SMN*",102.4
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",95.1
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",31
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",213
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",107.6
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario DomÌnguez, Chis.",39.8
-92.300278,15.124722,CHIS,ARGOVIA,"Finca Argovia, Chis. OCFS*",247.7
-93.8975,16.241111,CHIS,AROCP,"Arriaga, Chis.",169.4
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. OCFS*",110.9
-93.15,16.641944,CHIS,BOQCP,"BoquerÛn, Chis.",65.9
-92.716667,15.35,CHIS,CACCP,"Cacaluta, Chis.",395.6
-92.4875,16.308333,CHIS,CASCAJAL,"Cascajal, Chis. SGT*",86.6
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",68.2
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",55.4
-91.949722,17.85,CHIS,CATAZAJA,"Catazaj· SGT, Chis",11.6
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",87.8
-91.710278,16.383056,CHIS,CHAYABE,"Finca ChayabÈ OCFS, Chis.",202.5
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",111.8
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",57.5
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",91.7
-92.1,16.2,CHIS,COOCP,"Observatorio de Comit·n, Chis.",21.9
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",424.8
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",83.9
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",92.8
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",366.5
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",109.6
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",270.2
-92.829444,17.373056,CHIS,ESCALONCP,"El EscalÛn SGT, Chis.",167.3
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",396.6
-92.67,15.33,CHIS,ESCUINTLA,"Escuintla SMN, Chis.",175.8
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",131.6
-92.402778,14.997222,CHIS,HUECP,"Huehuet·n, Chis.",245.2
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",354.9
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. OCFS*",341.3
-92.184722,14.626111,CHIS,ILRAYON,"Ignacio LÛpez RayÛn, Chis. OCFS*",23.5
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",114
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",108.1
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",379
-93.381389,17.364167,CHIS,JGRIJALVACFE,"T˙neles Juan de Grijalva, Chis. CFE*",365.2
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",153.5
-93.598889,17.178611,CHIS,MALCP,"NezahualcÛyotl, Chis.",145.4
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",560
-92.0025,16.002222,CHIS,MOZCP,"Mozotal, Chis.",88.1
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",119
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",64
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",18.9
-93.458611,17.446111,CHIS,PENCP,"¡ngel Albino Corzo, Chis.",280
-93.457778,17.445,CHIS,PENITASCFE,"PeÒitas, Chis. CFE*",271.2
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",304.8
-93.186667,16.753889,CHIS,PTECLUBCAMP,"Puente Club Campestre, Chis. SGT*",14.2
-93.552778,17.348333,CHIS,RCACP,"RÛmulo Calzada, Chis.",155.1
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",220.1
-93.079167,16.158333,CHIS,REVCP,"RevoluciÛn Mexicana, Chis.",288.7
-93.078889,16.160278,CHIS,REVMEXICANACFE,"Revolucion Mexicana, Chis. CFE*",228.2
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",132.8
