Lon,Lat,Clave,Edo,Est,Tmin
-99.75,16.76,76805,GRO,ACAPULCO,23.21290323
-102.29,21.85,76571,AGS,AGUASCALIENTES,13.5
-111.83,30.71,76113,SON,ALTAR,13.97096774
-93.9,16.24,76840,CHIS,ARRIAGA,22.90689655
-90.5,19.83,76695,CAMP,CAMPECHE,25.03870968
-111.65,25.01,76402,BCS,CD. CONSTITUCIÓN,12.29354839
-109.92,27.48,76258,SON,CD. OBREGON,13.35357143
-99.17,23.75,76491,TAMPS,CD. VICTORIA,23.42580645
-99.2,19.4,76680,DF,CENTRAL TACUBAYA,14.91666667
-88.3,18.48,76750,QROO,CHETUMAL,26.29354839
-106.13,28.67,76225,CHIH,CHIHUAHUA,16.28666667
-99.5,17.55,76762,GRO,CHILPANCINGO,18.72903226
-103.46,19.73,76656,JAL,CIUDAD GUZMÁN,13.02068966
-94.51,18.19,76741,VER,COATZACOALCOS,24.92903226
-103.72,19.24,76658,COL,COLIMA,18.74516129
-92.13,16.23,76848,CHIS,COMITAN,16.34193548
-99.23,18.89,76726,MOR,CUERNAVACA,14.08333333
-107.44,24.63,76412,SIN,CULIACÁN,16.93870968
-104.6,24.09,76423,DGO,DURANGO,12.80645161
-115.19,32.41,76040,BC,EJIDO NVO. LEÓN,14.70714286
-110.8,27.95,76256,SON,EMPALME,18.23666667
-88.05,19.57,76698,QROO,FPE. CARRILLO PUERTO,23.21612903
-103.39,20.71,76612,JAL,GUADALAJARA,13.70322581
-101.29,21.01,76577,GTO,GUANAJUATO,15.17857143
-110.93,29.08,76160,SON,HERMOSILLO,16.02
-105.67,26.92,76323,CHIH,HGO. DEL PARRAL,14.16666667
-97.77,17.8,76773,OAX,HUAJUAPAN DE LEON,15.02666667
-96.9,19.51,76687,VER,JALAPA,17.06774194
-110.32,24.12,76405,BCS,LA PAZ,16.44193548
-111.35,26.02,76305,BCS,LORETO,18.87419355
-104.33,19.07,76654,COL,MANZANILLO,22.65806452
-98.81,21.28,76585,SLP,MATLAPA,25.37
-106.41,23.22,76458,SIN,MAZATLAN,20.21333333
-89.65,20.95,76644,YUC,MERIDA,25.19677419
-101.42,26.91,76342,COAH,MONCLOVA,21.90333333
-100.3,25.73,76393,NL,MONTERREY,22.35
-101.18,19.7,76665,MICH,MORELIA,13.86333333
-107.93,30.42,76122,CHIH,NUEVO CASAS GRANDES,9.525806452
-96.7,17.07,76775,OAX,OAXACA,15.65172414
-97.1,18.85,76737,VER,ORIZABA,18.39354839
-98.75,20.13,76632,HGO,PACHUCA,11.63
-100.52,28.7,76243,COAH,PIEDRAS NEGRAS,21.51333333
-89.65,21.28,76593,YUC,PROGRESO,24.41290323
-98.17,19.05,76685,PUE,PUEBLA,13.18709677
-96.48,15.65,76855,OAX,PUERTO ANGEL,24.62666667
-100.4,20.58,76625,QRO,QUERETARO,17.26129032
-100,21.92,76581,SLP,RIO VERDE,20.26774194
-95.18,16.17,76833,OAX,SALINA CRUZ,25.78
-92.63,16.73,76845,CHIS,SAN CBAL. DE LAS CASAS,12.43548387
-101.02,22.21,76539,SLP,SAN LUIS POTOSÍ,13.38387097
-103.65,23.47,76471,ZAC,SOMBRERETE,10.38387097
-98.2,23.77,76499,TAMPS,SOTO LA MARINA,24.53870968
-112.25,27.28,76253,BCS,STA. ROSALIA,16.61923077
-97.85,22.22,76548,TAMPS,TAMPICO,25.57419355
-92.25,14.92,76903,CHIS,TAPACHULA,24.57741935
-107.82,28.95,76220,CHIH,TEMOSACHIC,5.08
-104.89,21.49,76556,NAY,TEPIC,16.17
-98.24,19.31,76683,TLAX,TLAXCALA,10.56
-99.71,19.29,76675,MEX,TOLUCA,6.55483871
-103.45,25.53,76382,COAH,TORREON,21.12258065
-98.36,20.08,76634,HGO,TULANCINGO,13.28965517
-97.42,20.96,76640,VER,TUXPAN,25.08387097
-93.13,16.75,76843,CHIS,TUXTLA GUTIÉRREZ,22.0483871
-88.2,20.69,76647,YUC,VALLADOLID,24.01935484
-96.14,19.16,76692,VER,VERACRUZ,25.5483871
-92.93,17.98,76743,TAB,VILLAHERMOSA,26.72
-102.57,22.78,76525,ZAC,ZACATECAS,11.74516129
-102.32,19.98,76662,MICH,ZAMORA,14.8483871
-103.7,27.29,SMJCL,COAH,Sierra Mojada Coah.,18.30769231
-101.47,21.07,COMGJ,GTO,Comanjilla Gto.,12.90322581
-101.22,21.48,SFEGJ,GTO,San Felipe Gto.,10.93548387
-99.32,18.63,PIXMR,MOR,Puente de Ixtla Mor.,18.80645161
-98.76,18.88,OCTMR,MOR,Ocuituco Mor.,14.29032258
-107.06,24.75,VINSI,SIN,Vinoramas Sin.,14.94827586
-107.76,25.12,RAVSI,SIN,Estación Rancho Viejo Sin.,13.95
-95.03,18.52,SONVC,VER,Sontecomapan Ver.,22.12903226
-100.36,20.2,CORGJ,GTO,Coroneo Gto.,7.982758621
-101.11,21.32,LQMGJ,GTO,La Quemada Gto.,9.322580645
-103.87,19.17,LAECM,COL,La Esperanza Col.,16.68
-99.1,18.79,TICMR,MOR,Ticumán Mor.,18.11111111
-96.97,19.45,TAPVC,VER,Tapachapan Ver.,18.22580645
-98.5,16.66,QTZGR,GRO,Quetzala Gro.,20.17391304
-98.83,18.95,ACHMR,MOR,Achichipico Mor.,15.17241379
-103.27,22.11,76519,JAL,COLOTLAN,10.33
-100.5,21.22,POZGJ,GTO,Pozos Gto.,12.9516129
-105.85,23.09,TORSI,SIN,Las Tortugas Sin.,16.22580645
-101.02,20.43,SMAGJ,GTO,San Miguel de Allende Gto.,14.09677419
-99.24,19.53,CLYMX,MEX,Calacoaya Méx.,12.03225806
-96.3,17.78,VANOX,OAX,Valle Nacional Oax.,22.46666667
-111.35,26.01,76304,BCS,LORETO (AUTOMATICA),18.31111111
-96.41,19.26,LOFVC,VER,Loma Fina Ver.,23.67857143
-92.4,15,HUECP,CHIS,Huehuetán Chis.,22.86206897
-100.92,25.44,ESLCL,COAH,E. C. Saltillo Coah.,17.16666667
-98.51,17.62,IXTGR,GRO,Ixcateopan de Tlapa Gro.,20
-96.53,17.43,ATEOX,OAX,Atepec Oax.,13.25
-110.29,30.98,CNNSO,SON,Cananea Son.,9.683870968
-99.2,19.31,CCH S,DF,CCH Sur,13.38387097
-99.13,19.42,ENP 7,DF,Ezequiel A. Chavez,15.79130435
-96.95,19.23,TOTVC,VER,Totutla Ver.,16.93548387
-97.01,18.33,ZOQPB,PUE,Zoquitlán Pue.,10.48387097
-114.78,32.48,SLCSO,SON,San Luis Río Colorado Son.,16.38709677
-98.7,18.88,HUEMR,MOR,Hueyapan Mor.,11.46153846
-101.66,19.93,AMEMC,MICH,Aristeo Mercado Mich.,13.15714286
-110.24,28.71,SJPSO,SON,San José de Pimas Son.,12.3
-99.55,24.57,VSMTP,TAMPS,Victoria-San Marcos Tamps.,23.51071429
-98.23,19.32,76684,TLAX,Tlaxcala (Automatica),10.56
-99.93,17.6,YXTGR,GRO,Yextla Gro.,15.88888889
-96.91,18.21,LCAOX,OAX,La Carbonera Oax.,13.93548387
-96.97,19.55,OTIVC,VER,Otilpan Ver.,16.38709677
-100.75,20.58,SMOGJ,GTO,San Miguel Octopan Gto.,16.29032258
-96.45,17.12,SMAOX,OAX,San Antonio Cuajimoloyas Oax.,7.166666667
-100.37,20.57,GHQQT,QRO,Gerencia Hidalgo Qro.,17.10526316
-111.35,26.01,BLORETO,BCS,Bahía de Loreto B.C.S. SMN*,18.89354839
-99.48,16.8,SNMGR,GRO,San Marcos Gro.,13.37037037
-103.51,24.29,SGOZC,ZAC,Santiago Zac.,15.72580645
-113.55,31.3,76061,SON,PTO. PEÑASCO,17.048
-98.82,21.32,76586,SLP,MATLAPA (AUTOMATICA),24.84814815
-109.92,22.89,SLUBS,BCS,Cabo San Lucas B.C.S. SMN*,17.30322581
-110.22,23.45,TODOSLOSSANTOS,BCS,Todos los Santos B.C.S. SMN*,14.95806452
-89.4,18.5,XPJCA,CAMP,Xpujil Camp.,23.80645161
-89.72,19.46,DZILBACHEN,CAMP,Dzilbachén Camp. SMN*,24.42258065
-106.87,28.42,CUACH,CHIH,Cuauhtémoc Chih.,6.35
-106.03,28.67,76226,CHIH,CHIHUAHUA (AUTOMATICA),15.49230769
-92.48,15.97,CATARINITAS,CHIS,Catarinitas Chis. SGT*,23.8
-92.05,16.12,ZAPALUTA,CHIS,Zapaluta Chis. SGT*,16.1483871
