Lon,Lat,Clave,Edo,Est,Tmed
-99.75,16.76,76805,GRO,ACAPULCO,27.75
-102.29,21.85,76571,AGS,AGUASCALIENTES,19.43666667
-111.83,30.71,76113,SON,ALTAR,17.35535714
-93.9,16.24,76840,CHIS,ARRIAGA,29.21451613
-90.5,19.83,76695,CAMP,CAMPECHE,27.67096774
-111.65,25.01,76402,BCS,CD. CONSTITUCIÓN,20.0516129
-109.92,27.48,76258,SON,CD. OBREGON,17.82142857
-99.17,23.75,76491,TAMPS,CD. VICTORIA,22.10925926
-99.2,19.4,76680,DF,CENTRAL TACUBAYA,19.96666667
-88.3,18.48,76750,QROO,CHETUMAL,27.12580645
-106.13,28.67,76225,CHIH,CHIHUAHUA,17.85483871
-99.5,17.55,76762,GRO,CHILPANCINGO,24.74354839
-103.46,19.73,76656,JAL,CIUDAD GUZMÁN,19.50833333
-94.51,18.19,76741,VER,COATZACOALCOS,26.03269231
-103.72,19.24,76658,COL,COLIMA,26.71034483
-92.13,16.23,76848,CHIS,COMITAN,20.11129032
-99.23,18.89,76726,MOR,CUERNAVACA,23.60625
-107.44,24.63,76412,SIN,CULIACÁN,22.35
-104.6,24.09,76423,DGO,DURANGO,19.08709677
-115.19,32.41,76040,BC,EJIDO NVO. LEÓN,18.345
-110.8,27.95,76256,SON,EMPALME,20.98387097
-88.05,19.57,76698,QROO,FPE. CARRILLO PUERTO,26.12419355
-103.39,20.71,76612,JAL,GUADALAJARA,21.13387097
-101.29,21.01,76577,GTO,GUANAJUATO,20.58275862
-110.93,29.08,76160,SON,HERMOSILLO,20.4
-105.67,26.92,76323,CHIH,HGO. DEL PARRAL,18.35967742
-97.77,17.8,76773,OAX,HUAJUAPAN DE LEON,22.34032258
-96.9,19.51,76687,VER,JALAPA,19.05357143
-110.32,24.12,76405,BCS,LA PAZ,22.21111111
-111.35,26.02,76305,BCS,LORETO,20.96612903
-104.33,19.07,76654,COL,MANZANILLO,26.02258065
-98.81,21.28,76585,SLP,MATLAPA,22.80535714
-106.41,23.22,76458,SIN,MAZATLAN,21.53064516
-89.65,20.95,76644,YUC,MERIDA,27.74032258
-101.42,26.91,76342,COAH,MONCLOVA,20.00322581
-100.3,25.73,76393,NL,MONTERREY,19.45208333
-101.18,19.7,76665,MICH,MORELIA,20.65483871
-107.93,30.42,76122,CHIH,NUEVO CASAS GRANDES,14.71451613
-96.7,17.07,76775,OAX,OAXACA,22.28548387
-97.1,18.85,76737,VER,ORIZABA,19.38214286
-98.75,20.13,76632,HGO,PACHUCA,17.49516129
-100.52,28.7,76243,COAH,PIEDRAS NEGRAS,18.49333333
-89.65,21.28,76593,YUC,PROGRESO,26.615
-98.17,19.05,76685,PUE,PUEBLA,18.82903226
-96.48,15.65,76855,OAX,PUERTO ANGEL,28.02258065
-100.4,20.58,76625,QRO,QUERETARO,21.00967742
-100,21.92,76581,SLP,RIO VERDE,22.67903226
-95.18,16.17,76833,OAX,SALINA CRUZ,29.63666667
-92.63,16.73,76845,CHIS,SAN CBAL. DE LAS CASAS,16.58548387
-101.02,22.21,76539,SLP,SAN LUIS POTOSÍ,19.04
-103.65,23.47,76471,ZAC,SOMBRERETE,17.74354839
-98.2,23.77,76499,TAMPS,SOTO LA MARINA,23.08548387
-112.25,27.28,76253,BCS,STA. ROSALIA,19.08653846
-97.85,22.22,76548,TAMPS,TAMPICO,23.625
-92.25,14.92,76903,CHIS,TAPACHULA,30.32903226
-107.82,28.95,76220,CHIH,TEMOSACHIC,11
-104.89,21.49,76556,NAY,TEPIC,22.47580645
-98.24,19.31,76683,TLAX,TLAXCALA,17.67419355
-99.71,19.29,76675,MEX,TOLUCA,14.5983871
-103.45,25.53,76382,COAH,TORREON,22.67741935
-98.36,20.08,76634,HGO,TULANCINGO,18.42903226
-97.42,20.96,76640,VER,TUXPAN,21.91785714
-93.13,16.75,76843,CHIS,TUXTLA GUTIÉRREZ,26.055
-88.2,20.69,76647,YUC,VALLADOLID,27.24032258
-96.14,19.16,76692,VER,VERACRUZ,24.21166667
-92.93,17.98,76743,TAB,VILLAHERMOSA,27.374
-102.57,22.78,76525,ZAC,ZACATECAS,16.01612903
-102.32,19.98,76662,MICH,ZAMORA,22.07833333
-103.7,27.29,SMJCL,COAH,Sierra Mojada Coah.,17.69354839
-101.47,21.07,COMGJ,GTO,Comanjilla Gto.,20.05645161
-101.22,21.48,SFEGJ,GTO,San Felipe Gto.,16.4516129
-99.32,18.63,PIXMR,MOR,Puente de Ixtla Mor.,26.9983871
-98.76,18.88,OCTMR,MOR,Ocuituco Mor.,20.99193548
-107.06,24.75,VINSI,SIN,Vinoramas Sin.,22.49193548
-107.76,25.12,RAVSI,SIN,Estación Rancho Viejo Sin.,21.7962963
-95.03,18.52,SONVC,VER,Sontecomapan Ver.,22.06666667
-100.36,20.2,CORGJ,GTO,Coroneo Gto.,17.30357143
-101.11,21.32,LQMGJ,GTO,La Quemada Gto.,16.3
-103.87,19.17,LAECM,COL,La Esperanza Col.,24.86
-99.1,18.79,TICMR,MOR,Ticumán Mor.,24.68333333
-96.97,19.45,TAPVC,VER,Tapachapan Ver.,19.46
-98.5,16.66,QTZGR,GRO,Quetzala Gro.,26.56896552
-98.83,18.95,ACHMR,MOR,Achichipico Mor.,21.56612903
-100.5,21.22,POZGJ,GTO,Pozos Gto.,17.91129032
-105.85,23.09,TORSI,SIN,Las Tortugas Sin.,23.62931034
-101.02,20.43,SMAGJ,GTO,San Miguel de Allende Gto.,19.36
-99.24,19.53,CLYMX,MEX,Calacoaya Méx.,17.5483871
-96.3,17.78,VANOX,OAX,Valle Nacional Oax.,26.06521739
-111.35,26.01,76304,BCS,LORETO (AUTOMATICA),20.46730769
