LON,LAT,EDO,CLAVE_SIH,NOMBRE,ENE
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",54.5
-106.5,29.05,CHIH,C08099,"Majalca, Chih.",10
-108.533333,28.133333,CHIH,C08182,Moris,43.01
-108.083333,29.216667,CHIH,C08219,"PeÒitas, Chih.",20.5
-107.7,28.75,CHIH,C08243,"Tejolocachi, Chih.",17.2
-105.966667,28.7,CHIH,C08270,"La Mesa, Chih.",6.72
-107.930833,30.376667,CHIH,CAGCH,"Casas Grandes, Chih.",5.3
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",11.51
-106.770556,26.229444,CHIH,CHNCH,"Chinat˙, Chih. SMN*",27.53
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",6.4
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Ju·rez, Chih.",4.02
-105.381667,27.410278,CHIH,CL2CH,"Colina (hidromÈtrica), Chih.",8.01
-105.382222,27.576389,CHIH,CLNCH,"Ing. Andrew Weiss, Chih.",7.5
-108.541667,27.416667,CHIH,CNDCH,"Chinipas, Chih.",44.01
-106.119444,28.614722,CHIH,ERECH,"El RejÛn, Chih.",6.4
-105.628889,28.166111,CHIH,FIMCH,"Francisco I. Madero, Chih.",10.02
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",34
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",25.4
-107.072778,26.813056,CHIH,GRCCH,"Guerachi, Chih.",38.4
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",25
-104.912778,27.126667,CHIH,JMNCH,"JimÈnez, Chih.",7.4
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",10.51
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",4.5
-105.28,28.984444,CHIH,LLNCH,"Ing. Luis L. LeÛn, Chih.",7.51
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",4.32
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",13.02
-105.254167,26.546389,CHIH,PAGCH,"Pico del ¡guila, Chih.",6.02
-105.620556,28.165278,CHIH,PFCOIMADERO,"Presa Francisco I. Madero, Chih. SGT*",7.25
-105.675556,26.917778,CHIH,PRRCH,"Parral, Chih.",11.74
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",6.41
-106.383333,26.466667,CHIH,RVGCH,"El Vergel, Chih.",32.2
-107.973333,26.9425,CHIH,TB2CH,"Tubares II, Chih.",31.3
-107.85,28.95,CHIH,TMCCH,"TemÛsachic, Chih.",8.36
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",7
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",33.71
-107.916944,27.215556,CHIH,URICH,"Urique, Chih. SMN*",22.86
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",6.04
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",11.01
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",0
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",0.8
-92.034722,16.737778,CHIS,ALTAMIRANO,"Altamirano, Chis. SGT*",25.6
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario DomÌnguez, Chis.",0.01
-92.300278,15.124722,CHIS,ARGOVIA,"Finca Argovia, Chis. OCFS*",33.6
