Lon,Lat,Clave,Edo,Est,Tmin
-99.75,16.76,76805,GRO,ACAPULCO,21.60645161
-111.83,30.71,76113,SON,ALTAR,6.055172414
-93.9,16.24,76840,CHIS,ARRIAGA,21.71290323
-90.5,19.83,76695,CAMP,CAMPECHE,17.34814815
-111.65,25.01,76402,BCS,CD. CONSTITUCIÓN,8.54516129
-109.92,27.48,76258,SON,CD. OBREGON,7.353571429
-99.17,23.75,76491,TAMPS,CD. VICTORIA,10.256
-99.2,19.4,76680,DF,CENTRAL TACUBAYA,8.629032258
-88.3,18.48,76750,QROO,CHETUMAL,18.38064516
-106.13,28.67,76225,CHIH,CHIHUAHUA,3.293548387
-103.46,19.73,76656,JAL,CIUDAD GUZMÁN,8.223333333
-94.51,18.19,76741,VER,COATZACOALCOS,19.48333333
-92.13,16.23,76848,CHIS,COMITAN,11.77096774
-99.23,18.89,76726,MOR,CUERNAVACA,11.40740741
-104.6,24.09,76423,DGO,DURANGO,4.635483871
-110.8,27.95,76256,SON,EMPALME,10.39677419
-88.05,19.57,76698,QROO,FPE. CARRILLO PUERTO,16.34666667
-101.29,21.01,76577,GTO,GUANAJUATO,8
-105.67,26.92,76323,CHIH,HGO. DEL PARRAL,3.874193548
-97.77,17.8,76773,OAX,HUAJUAPAN DE LEON,6.7
-96.9,19.51,76687,VER,JALAPA,10.025
-110.32,24.12,76405,BCS,LA PAZ,14.61
-104.33,19.07,76654,COL,MANZANILLO,22.77096774
-98.81,21.28,76585,SLP,MATLAPA,14.90952381
-106.41,23.22,76458,SIN,MAZATLAN,16.46451613
-89.65,20.95,76644,YUC,MERIDA,17.96551724
-101.42,26.91,76342,COAH,MONCLOVA,8.34137931
-101.18,19.7,76665,MICH,MORELIA,7.129032258
-107.93,30.42,76122,CHIH,NUEVO CASAS GRANDES,-0.329032258
-97.1,18.85,76737,VER,ORIZABA,11.32592593
-98.75,20.13,76632,HGO,PACHUCA,5.190322581
-100.52,28.7,76243,COAH,PIEDRAS NEGRAS,6.736666667
-89.65,21.28,76593,YUC,PROGRESO,18.68076923
-98.17,19.05,76685,PUE,PUEBLA,5.858064516
-100.4,20.58,76625,QRO,QUERETARO,9.322580645
-101.02,25.38,76390,COAH,SALTILLO,6.070967742
-92.63,16.73,76845,CHIS,SAN CBAL. DE LAS CASAS,7.593333333
-101.02,22.21,76539,SLP,SAN LUIS POTOSÍ,4.835483871
-103.65,23.47,76471,ZAC,SOMBRERETE,4.903225806
-112.25,27.28,76253,BCS,STA. ROSALIA,13.52083333
-97.85,22.22,76548,TAMPS,TAMPICO,16.056
-107.82,28.95,76220,CHIH,TEMOSACHIC,-3.483870968
-104.89,21.49,76556,NAY,TEPIC,13.72580645
-98.24,19.31,76683,TLAX,TLAXCALA,4.1
-99.71,19.29,76675,MEX,TOLUCA,0.164516129
-98.36,20.08,76634,HGO,TULANCINGO,6.003225806
