Lon,Lat,Clave,Edo,Est,Tmax
-102.37,21.78,NGRAG,AGS,El Niagara Ags.,24.39
-102.71,21.85,CALVILLO,AGS,Calvillo Ags. SMN*,26.07096774
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,23.79333333
-102.31,21.9,AGSAG,AGS,Aguascalientes Ags.,24.12580645
-102,21.9,CNSAG,AGS,Los Conos Ags.,24.23333333
-102.68,22,CDRAG,AGS,La Codorniz Ags.,24.76666667
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,23.23333333
-102.42,22.14,PECAG,AGS,Plutarco ElÌas Calles Ags.,23.46666667
-102.29,22.16,PBLAG,AGS,PabellÛn Ags.,22.72413793
-102.14,22.2,PTOAG,AGS,Puerto de la ConcepciÛn Ags.,21.03333333
-102.44,22.24,PTRAG,AGS,Derivadora PabellÛn Ags.,22.37096774
-102.3,22.36,CSOAG,AGS,CosÌo Ags.,18.19
-102.61,21.27,SIERRAFRIA,AGS,Sierra FrÌa Ags. SMN*,14.88461538
-102.36,21.97,UAALAPOSTA,AGS,Universidad AutÛnoma de Aguascalientes Ags. SGT*,21.84444444
-114.72,29.73,CATAVINA,BC,CataviÒa B.C. SMN*,19.01071429
-114.85,31.03,SFLBN,BC,San Felipe B.C.,20.07
-116.6,31.89,ELZBN,BC,Emilio LÛpez Zamora B.C.,20.59259259
-116.2,32.27,AGHBN,BC,Agua Hechicera B.C.,14.884
-115.15,32.41,ENLBN,BC,Ejido Nuevo LeÛn B.C.,20.22258065
-116.91,32.44,ALRBN,BC,Abelardo L. RodrÌguez B.C.,19.86666667
-116.83,32.47,EFLBN,BC,El Florido B.C.,17.26086957
-116.7,32.48,CRRBN,BC,El Carrizo B.C.,18.74074074
-116.3,32.52,HNGBN,BC,El Hongo B.C.,12.76923077
-114.73,32.7,PDMBN,BC,Presa Derivadora Morelos B.C.,17.79677419
-115.27,32.39,MXCBN,BC,Mexicali B.C.,18.84482759
-115.93,30.52,ENBBN,BC,San QuintÌn B.C.,20.38846154
-114.73,32.7,ALGODONESob,BC,Observatorio de Algodones B.C. SMN*,19.73870968
-113.56,28.9,BAABN,BC,BahÌa de los ¡ngeles B.C. SMN*,21.10357143
-115.94,30.53,SANQUINTIN,BC,San QuntÌn B.C.*,19.42592593
-114.83,30.99,SANFELIPEMAR,BC,San Felipe B.C. SEMAR*,18.3
-114.83,31.03,SFELIPEob,BC,Observatorio de San Felipe B.C. SMN*,20.81935484
-116.37,31.49,ENSBN,BC,Ensenada B.C.,20.43333333
-116.6,31.89,PLOPEZZAMORA,BC,Presa Emilio LÛpez Zamora B.C. SMN*,18.944
-114.97,32.06,ENCINAS,BC,Encinas Johnson Son. REMAS*,20.04666667
-117.07,32.38,PLAYAROSARITO,BC,Playa Rosarito B.C. SMN*,17.652
