Lon,Lat,Clave,Edo,Est,Tmax
-89.89,18.09,CALAKMUL,CAMP,Calakmul Camp. SMN*,34.3
-89.89,18.36,CALCA,CAMP,Calakmul Camp. SMN*,33.8
-91.05,18.18,CNDCA,CAMP,Candelaria Camp.,35.2
-92.09,18.25,PLZCA,CAMP,Palizada Camp.,34.0
-90.74,18.6,ESCCA,CAMP,Esc·rcega Camp.,35.4
-91.76,18.65,CARCA,CAMP,El Carmen Camp.,33.4
-91.18,18.97,SBNCA,CAMP,Sabancuy Camp.,33.7
-90.58,19.3,CANCA,CAMP,Canasayab Camp.,34.9
-90.72,19.36,CHMCA,CAMP,ChampotÛn Camp.,34.6
-90.22,19.61,NYXCA,CAMP,Noh-YaxchÈ Camp.,34.6
-89.86,19.66,XCPCA,CAMP,Xcupil Camp.,34.4
-89.85,19.75,HPOCA,CAMP,Hopelchen Camp.,34.3
-90.5,19.83,CAMPECHEob,CAMP,Observatorio de Campeche Camp. SMN*,34.2
-90.54,19.84,CMPCA,CAMP,Campeche Camp.,33.9
-90.51,19.84,COBCA,CAMP,Observatorio de Campeche Camp.,34.7
-89.74,20,BOLCA,CAMP,Bolonchen Camp.,33.0
-90.11,20.18,HECCA,CAMP,Hecelchak·n Camp.,35.3
-90.82,18.06,MONCLOVACAMP,CAMP,Monclova Camp. SMN*,36.8
-90.76,18.61,ESCARCEGA,CAMP,Esc·rcega Camp. SMN*,34.1
-91.82,18.65,CDCCA,CAMP,Ciudad del Carmen Camp. SMN*,32.4
-90.37,19.94,PETENES,CAMP,Los Petenes Camp. SMN*,34.2
-106.13,28.67,76225,CHIH,Chihuahua,31.2
-107.82,28.95,76220,CHIH,Temosachic,27.7
-106.38,26.47,RVGCH,CHIH,El Vergel Chih.,19.8
-105.16,26.74,VICCH,CHIH,Villa Coronado Chih.,31.3
-107.07,26.81,GRCCH,CHIH,Guerachi Chih.,33.4
-107.88,26.87,IGNCH,CHIH,San Ignacio Chih.,35.9
-107.88,26.87,INGCH,CHIH,San Ignacio Chih.,35.7
-105.68,26.92,PRRCH,CHIH,Parral Chih.,29.9
-107.97,26.94,TBRSI,CHIH,San Francisco Chih.,35.5
-107.72,27.03,BTPCH,CHIH,Batopilas Chih.,34.4
-104.91,27.13,JMNCH,CHIH,JimÈnez Chih.,30.6
-107.92,27.22,URICH,CHIH,Urique Chih. SMN*,32.6
-107.91,27.22,URECH,CHIH,Urique Chih.,32.4
-108.54,27.42,CNDCH,CHIH,ChÌnipas Chih.,33.5
-105.81,27.45,VZRCH,CHIH,Valle de Zaragoza Chih.,31.9
-105.41,27.54,LBQCH,CHIH,La Boquilla Chih.,32.5
-105.63,28.17,FIMCH,CHIH,Francisco I. Madero Chih.,32.4
-108.21,28.21,BSSCH,CHIH,Basaseachi Chih.,24.9
-105.45,28.21,CDLCH,CHIH,Ciudad Delicias Chih.,32.0
-107.48,28.48,AGZCH,CHIH,Abraham Gonz·lez Chih.,25.1
-106.09,28.66,QIJCH,CHIH,Observatorio de Chihuahua Chih.,31.3
-107.85,28.95,TMCCH,CHIH,TemÛsachic Chih.,27.2
-105.28,28.98,LLNCH,CHIH,Ing. Luis L. LeÛn Chih.,37.7
-108.3,29.2,GPCCH,CHIH,Guapoca Chih.,30.1
-107.38,29.56,TNTCH,CHIH,El Tintero Chih.,29.8
-104.41,29.56,OJNCH,CHIH,Ojinaga Chih.,36.9
-107.03,29.88,LJSCH,CHIH,Las Lajas Chih.,27.8
-107.93,30.38,CAGCH,CHIH,Casas Grandes Chih.,30.3
-106.4,31.74,CJZCH,CHIH,Ciudad Ju·rez Chih.,33.2
-108.52,28.15,C08182,CHIH,Moris,33.1
-105.38,27.41,CL2CH,CHIH,Colina hidromÈtrica Chih.,30.6
-107.7,28.76,C08243,CHIH,Tejolocachi,25.9
-105.96,28.77,C08270,CHIH,La Mesa,32.3
-106.48,28.8,C08099,CHIH,Majalca,23.4
-108.09,29.25,C08219,CHIH,PeÒitas,23.1
-108.17,29.67,YEPCH,CHIH,Yepachic Chih.,28.0
-107.26,28.77,BACCH,CHIH,BachÌniva Chih.,24.9
-106.77,26.23,CHNCH,CHIH,Chinat˙ Chih. SMN*,25.8
-106.39,26.47,ELVERGELSMN,CHIH,El Vergel Chih. SMN*,19.5
-107.07,26.82,GCCCH,CHIH,Guachochi Chih. SMN*,22.3
-105.67,26.92,76323,CHIH,Hidalgo Del Parral,29.4
-107.97,26.94,TB2CH,CHIH,Tubares II Chih.,36.4
-106.35,26.95,CONCHOSob,CHIH,Observatorio de Conchos Chih. SMN*,29.9
-107.63,27.75,CRLCH,CHIH,Creel Chih.,23.7
-107.99,27.86,MAGCH,CHIH,Maguarichi Chih. SMN*,27.3
-107.9,27.9,BTVCH,CHIH,Batovira Chih.,18.6
-105.5,28.17,DELICIAS,CHIH,Ciudad Delicias Chih. SMN*,33.7
-108.21,28.2,BASCH,CHIH,Basaseachi Chih. SMN*,24.9
-106.84,28.4,CDCUAUHTEMOC,CHIH,Ciudad CuauhtÈmoc Chih. SMN*,24.9
-106.03,28.67,CHIHUAHUAob,CHIH,Observatorio de Chihuahua Chih. SMN*,31.4
-106.49,28.8,MAJALCA,CHIH,Cumbres de Majalca Chih. SMN*,24.9
-107.82,28.95,TEMOSACHICob,CHIH,Observatorio de TemÛsachic Chih. SMN*,27.6
-104.43,29.58,OJINAGA,CHIH,Ojinaga Chih. SGT*,35.2
-107.93,30.42,76122,CHIH,Nvo. Casas Grandes,30.3
-106.5,30.62,VILLAAHUMADA,CHIH,Villa Ahumada Chih. SMN*,33.8
-108.43,30.84,JANOS,CHIH,Janos Chih. SMN*,30.3
-106.43,31.69,CDJUAREZob,CHIH,Observatorio de Ciudad Ju·rez Chih. SMN*,35.2
-93.9,16.24,76840,CHIS,Arriaga,36.2
-92.25,14.92,76903,CHIS,Tapachula,34.7
-93.13,16.75,76843,CHIS,Tuxtla GutiÈrrez,33.0
-92.4,15,HUECP,CHIS,Huehuet·n Chis.,36.8
-92.26,14.91,TAPCP,CHIS,Tapachula Chis.,34.8
-92.47,15.13,HUICP,CHIS,Huixtla Chis.,37.4
-92.58,15.2,DESCP,CHIS,Despoblado Chis.,34.7
-92.67,15.32,ESCCP,CHIS,Escuintla Chis.,34.8
-92.72,15.35,CACCP,CHIS,Cacaluta Chis.,35.6
