Lon,Lat,Clave,Edo,Est,Tmed
-102.29,21.85,76571,AGS,Aguascalientes,22.875
-111.83,30.71,76113,SON,Altar,32.97931034
-93.9,16.24,76840,CHIS,Arriaga,29.14516129
-90.5,19.83,76695,CAMP,Campeche,29.93
-111.65,25.01,76402,BCS,Cd. ConstituciÛn,29.57096774
-88.3,18.48,76750,QROO,Chetumal,30.4983871
-106.13,28.67,76225,CHIH,Chihuahua,28.19
-99.5,17.55,76762,GRO,Chilpancingo,24.84833333
-103.46,19.73,76656,JAL,Ciudad Guzm·n,22.53225806
-94.51,18.19,76741,VER,Coatzacoalcos,28.63225806
-103.72,19.24,76658,COL,Colima,28.10645161
-104.6,24.09,76423,DGO,Durango,24.17580645
-110.8,27.95,76256,SON,Empalme,32.27580645
-103.39,20.71,76612,JAL,Guadalajara,23.19354839
-96.9,19.51,76687,VER,Jalapa,22.01833333
-110.32,24.12,76405,BCS,La Paz,31.44032258
-104.33,19.07,76654,COL,Manzanillo,30.65862069
-98.81,21.28,76585,SLP,Matlapa,30.22833333
-101.42,26.91,76342,COAH,Monclova,33.07833333
-101.18,19.7,76665,MICH,Morelia,20.95967742
-96.7,17.07,76775,OAX,Oaxaca,22.63103448
-97.1,18.85,76737,VER,Orizaba,22.55967742
-98.75,20.13,76632,HGO,Pachuca,18.77741935
-100.52,28.7,76243,COAH,Piedras Negras,33.85806452
-89.65,21.28,76593,YUC,Progreso,29.27580645
-98.17,19.05,76685,PUE,Puebla,19.53064516
-95.18,16.17,76833,OAX,Salina Cruz,30.17580645
-101.02,22.21,76539,SLP,San Luis PotosÌ,22.02833333
-103.65,23.47,76471,ZAC,Sombrerete,20.59032258
-97.85,22.22,76548,TAMPS,Tampico,32.21333333
-92.25,14.92,76903,CHIS,Tapachula,29.99516129
-107.82,28.95,76220,CHIH,Temosachic,22.90666667
-104.89,21.49,76556,NAY,Tepic,26.1
-98.24,19.31,76683,TLAX,Tlaxcala,19.00322581
-99.71,19.29,76675,MEX,Toluca,16.05967742
-98.36,20.08,76634,HGO,Tulancingo,18.71935484
-97.42,20.96,76640,VER,Tuxpan,31.08
-88.2,20.69,76647,YUC,Valladolid,30.5483871
-96.14,19.16,76692,VER,Veracruz,29.05967742
-102.57,22.78,76525,ZAC,Zacatecas,17.43448276
-102.32,19.98,76662,MICH,Zamora,22.895
-103.7,27.29,SMJCL,COAH,Sierra Mojada Coah.,27.26666667
-101.22,21.48,SFEGJ,GTO,San Felipe Gto.,18.16666667
-99.32,18.63,PIXMR,MOR,Puente de Ixtla Mor.,25.90322581
-98.76,18.88,OCTMR,MOR,Ocuituco Mor.,19.28703704
-107.76,25.12,RAVSI,SIN,EstaciÛn Rancho Viejo Sin.,30.518
-95.03,18.52,SONVC,VER,Sontecomapan Ver.,27.05
-100.36,20.2,CORGJ,GTO,Coroneo Gto.,18.35806452
-101.11,21.32,LQMGJ,GTO,La Quemada Gto.,18.98709677
-103.87,19.17,LAECM,COL,La Esperanza Col.,28.81
-99.1,18.79,TICMR,MOR,Ticum·n Mor.,23.73214286
-96.97,19.45,TAPVC,VER,Tapachapan Ver.,22.67741935
-98.5,16.66,QTZGR,GRO,Quetzala Gro.,27.62727273
-98.83,18.95,ACHMR,MOR,Achichipico Mor.,19.92931034
-100.5,21.22,POZGJ,GTO,Pozos Gto.,19.11935484
-105.85,23.09,TORSI,SIN,Las Tortugas Sin.,29.87068966
-101.02,20.43,SMAGJ,GTO,San Miguel de Allende Gto.,20.35483871
-99.24,19.53,CLYMX,MEX,Calacoaya MÈx.,19.07580645
-96.3,17.78,VANOX,OAX,Valle Nacional Oax.,29.51724138
-96.39,19.26,LOFVC,VER,Loma Fina Ver.,29.18548387
-100.92,25.44,ESLCL,COAH,E. C. Saltillo Coah.,24.59032258
-103.26,25.77,FIMCL,COAH,Francisco I. Madero Coah.,29
-104.56,25.18,RDODR,DGO,Rodeo Dgo.,27.32758621
-98.51,17.62,IXTGR,GRO,Ixcateopan de Tlapa Gro.,25.89516129
-110.29,30.98,CNNSO,SON,Cananea Son.,25.91935484
-99.27,24.02,STETP,TAMPS,Santa Engracia Tamps.,30.08548387
-102.78,24.63,SJGDR,DGO,San Juan de Guadalupe Dgo.,26.45
-104.29,25.56,SPGDR,DGO,San Pedro del Gallo Dgo.,26.52586207
-96.95,19.23,TOTVC,VER,Totutla Ver.,21.06451613
-97.01,18.33,ZOQPB,PUE,Zoquitl·n Pue.,17.36666667
-98.7,18.88,HUEMR,MOR,Hueyapan Mor.,16.96296296
-101.66,19.93,AMEMC,MICH,Aristeo Mercado Mich.,20.37370968
-99.55,24.57,VSMTP,TAMPS,Victoria-San Marcos Tamps.,31.50833333
-96.97,19.55,OTIVC,VER,Otilpan Ver.,20.83333333
-100.75,20.58,SMOGJ,GTO,San Miguel Octopan Gto.,22.2016129
-103.51,24.29,SGOZC,ZAC,Santiago Zac.,23.75806452
-98.82,21.32,76586,SLP,Matlapa (Automatica),31.52666667
-89.4,18.5,XPJCA,CAMP,Xpujil Camp.,29.39032258
-89.72,19.46,DZILBACHEN,QROO,DzilbachÈn Camp. SMN*,28.99354839
-103.35,24.47,SCLDR,DGO,Santa Clara Dgo.,25.00806452
-103.42,20.44,TLAJOMULCO,JAL,Tlajomulco Jal. SMN*,22.39516129
-96.72,15.81,COZOX,OAX,San Francisco Cozoaltepec Oax.,25.43103448
-95.48,16.59,RHOOX,OAX,RÌo Hondo Oax.,28.88793103
-96.85,18.4,TLPPB,PUE,Tlacotepec de DÌaz Pue.,26.63709677
-87.49,21.1,KANTUNILKIN,QROO,KantunilkÌn Q. Roo. SMN*,29.27096774
