LON,LAT,EDO,CLAVE_SIH,NOMBRE,MAY
-106.5,29.05,CHIH,C08099,"Majalca, Chih.",0
-108.083333,29.216667,CHIH,C08219,"PeÒitas, Chih.",3
-107.7,28.75,CHIH,C08243,"Tejolocachi, Chih.",15
-105.966667,28.7,CHIH,C08270,"La Mesa, Chih.",0
-107.930833,30.376667,CHIH,CAGCH,"Casas Grandes, Chih.",0
-105.171389,27.685556,CHIH,CCOCH,"Ciudad Camargo, Chih.",0
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",0
-106.770556,26.229444,CHIH,CHNCH,"Chinat˙, Chih. SMN*",0
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",0
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Ju·rez, Chih.",5
-105.381667,27.410278,CHIH,CL2CH,"Colina (hidromÈtrica), Chih.",0
-108.541667,27.416667,CHIH,CNDCH,"Chinipas, Chih.",0
-106.871111,28.418611,CHIH,CUACH,"CuauhtÈmoc, Chih.",0
-106.119444,28.614722,CHIH,ERECH,"El RejÛn, Chih.",0
-105.628889,28.166111,CHIH,FIMCH,"Francisco I. Madero, Chih.",0
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",0.6
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",3.4
-107.072778,26.813056,CHIH,GRCCH,"Guerachi, Chih.",0
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",0
-104.912778,27.126667,CHIH,JMNCH,"JimÈnez, Chih.",0
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",1
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",1.81
-105.28,28.984444,CHIH,LLNCH,"Ing. Luis L. LeÛn, Chih.",0
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",0.26
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",0
-105.254167,26.546389,CHIH,PAGCH,"Pico del ¡guila, Chih.",8.71
-105.620556,28.165278,CHIH,PFCOIMADERO,"Presa Francisco I. Madero, Chih. SGT*",0
-105.675556,26.917778,CHIH,PRRCH,"Parral, Chih.",0.02
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",0
-106.383333,26.466667,CHIH,RVGCH,"El Vergel, Chih.",0
-107.973333,26.9425,CHIH,TB2CH,"Tubares II, Chih.",0
-107.85,28.95,CHIH,TMCCH,"TemÛsachic, Chih.",0.41
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",2
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",0
-107.916944,27.215556,CHIH,URICH,"Urique, Chih. SMN*",0.25
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",8.71
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",0
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",0
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",111.6
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario DomÌnguez, Chis.",235.82
-92.300278,15.124722,CHIS,ARGOVIA,"Finca Argovia SGT, Chis.",616.3
-93.8975,16.241111,CHIS,AROCP,"Arriaga, Chis.",278.61
-93.15,16.641944,CHIS,BOQCP,"BoquerÛn, Chis.",130
-92.716667,15.35,CHIS,CACCP,"Cacaluta, Chis.",704.7
-92.4875,16.308333,CHIS,CASCAJAL,"Cascajal, Chis. SGT*",128.8
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",130.93
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",72
-91.949722,17.85,CHIS,CATAZAJA,"Catazaj· SGT, Chis",60.4
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",40.6
-91.710278,16.383056,CHIS,CHAYABE,"Finca ChayabÈ OCFS, Chis.",280.2
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",131
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",182.3
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",106.8
