LON,LAT,ESTADO,CLAVE_SIH,NOMBRE,ENE
-106.770556,26.229444,CHIH,CHNCH,"Chinatu, Chih.  SMN*",0
-106.167778,28.570556,CHIH,CHUCH,"CHIH, Chih.",0
-106.400278,31.736667,CHIH,CJZCH,"Cd. Ju·rez, Chih.",2
-105.382222,27.576389,CHIH,CLNCH,"Colina, Chih.",0
-108.541667,27.416667,CHIH,CNDCH,"Chinipas, Chih.",0
-106.871111,28.418611,CHIH,CUACH,Cuauhtemoc. Chih.,0
-105.5,28.17,CHIH,DELICIAS,"Ciudad Delicias, Chih. SMN*",0
-106.119444,28.614722,CHIH,ERECH,"El RejÛn, Chih.",0
-105.628889,28.166111,CHIH,FIMCH,"Francisco I. Madero, Chih.",0
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih.  SMN*",0
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",0
-107.072778,26.813056,CHIH,GRCCH,"Guerachic, Chih.",0
-108.305,29.133889,CHIH,GUAPOCACFE,"Guapoca, Chih. CFE*",0.2
-106.966667,26.1,CHIH,GYCCH,"Guadalupe y Calvo, Chih.",0
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",0
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",1.4
-104.912778,27.126667,CHIH,JMNCH,"JimÈnez, Chih.",0
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",0
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",0
-105.28,28.984444,CHIH,LLNCH,"Luis L. LeÛn, Chih.",0
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",0
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",0
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",0
-105.675556,26.917778,CHIH,PRRCH,"Parral, Chih.",0
-106.085556,28.656944,CHIH,QIJCH,"Observatorio CHIH, Chih.",0
-106.383333,26.466667,CHIH,RVGCH,"El Vergel, Chih.",0
-107.85,28.95,CHIH,TMCCH,"Temosachic, Chih.",0
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",0
-107.9125,27.216667,CHIH,URECH,"Urique estaciÛn, Chih.",0
-107.916944,27.215556,CHIH,URICH,"Urique, Chih.  SMN*",0
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",0
-105.773333,27.99,CHIH,VILLALBA,VILLALBA SGT,0
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",0
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",0
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",2.2
-92.034722,16.737778,CHIS,ALTAMIRANO,"Altamirano, Chis. SGT*",99.6
-92.778889,16.401389,CHIS,ANGCP,"Angostura, Chis.",0.3
-92.777778,16.400833,CHIS,ANGOSTURACFE,"Angostura, Chis. CFE*",0
