LON,LAT,EDO,CLAVE,ESTACION,ene-20
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",34.2
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",24.2
-90.72,19.361667,CAMP,CHMCA,"ChampotÛn, Camp.",23.0
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",18.0
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",22.1
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",9.4
-89.723889,19.4625,CAMP,DZILBACHEN,"DzilbachÈn, Camp. SMN*",12.0
-90.758333,18.607778,CAMP,ESCARCEGA,"Esc·rcega, Camp. SMN*",6.0
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",35.9
-90.105556,20.184167,CAMP,HECCA,"Hecelchakan, Camp.",30.0
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",10.4
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",31.2
-90.221389,19.605833,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",14.2
-90.374167,19.943333,CAMP,PETENES,"Los Petenes, Camp. SMN*",15.0
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",42.5
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",5.2
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",49.8
-102.585833,22.177222,CAMP,XPJCA,"Xpujil, Camp.",39.0
-107.482778,28.481667,CHIH,AGZCH,"Abraham Gonz·lez, Chih.",1.5
-108.036389,31.096667,CHIH,ASCENCION,"AscensiÛn, Chih. INIFAP*",6.6
-105.422778,28.558889,CHIH,BABISAS,"Babisas, Chih. SMN*",2.3
-107.255556,28.771667,CHIH,BACCH,"BachÌniva, Chih.",1.0
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",14.0
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",10.6
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",30.0
-108.271389,31.114722,CHIH,BUENAVISTACH,"Buena Vista, Chih. INIFAP*",11.6
-106.5,29.05,CHIH,C08099,"Majalca, Chih.",0.0
-108.533333,28.133333,CHIH,C08182,"Moris, Chih.",20.0
-108.083333,29.216667,CHIH,C08219,"PeÒitas, Chih.",12.0
-107.7,28.75,CHIH,C08243,"Tejolocachi, Chih.",3.0
-105.966667,28.7,CHIH,C08270,"La Mesa, Chih.",1.7
-107.930833,30.376667,CHIH,CAGCH,"Casas Grandes, Chih.",4.6
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad CuauhtÈmoc, Chih. SMN*",0.4
-106.427222,31.689722,CHIH,CDJUAREZob,"Observatorio de Ciudad Ju·rez, Chih. SMN*",4.2
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",3.0
-107.47,28.544444,CHIH,CGUERRERO,"Ciudad Guerrero, Chih. INIFAP*",2.8
-108.535556,27.392222,CHIH,CHICH,"ChÌnipas, Chih. SMN*",3.3
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",1.4
-106.770556,26.229444,CHIH,CHNCH,"Chinat˙, Chih. SMN*",13.9
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",0.0
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Ju·rez, Chih.",8.0
-105.381667,27.410278,CHIH,CL2CH,"Colina (hidromÈtrica), Chih.",1.8
-105.3825,27.577222,CHIH,CLNCH,"Ing. Andrew Weiss, Chih.",0.8
-108.541667,27.416667,CHIH,CNDCH,"Chinipas, Chih.",4.0
-107.948333,30.7825,CHIH,COLELCAPULIN,"Colonia el CapulÌn, Chih. INIFAP*",13.6
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",3.0
-106.353889,26.949722,CHIH,CONCHOSob,"Observatorio de Conchos, Chih. SMN*",1.2
-105.5,28.17,CHIH,DELICIAS,"Ciudad Delicias, Chih. SMN*",2.3
-107.926944,30.464444,CHIH,DUBLAN,"Dublan, Chih. INIFAP*",9.4
-105.39,28.1,CHIH,ELBARRIL,"Rancho el Barril, Chih.*",0.0
-106.306111,28.993889,CHIH,ELSUMICO,"El Sumico, Chih. INIFAP*",2.9
-106.119444,28.614722,CHIH,ERECH,"El RejÛn, Chih.",0.0
-108.325278,30.8675,CHIH,FERNANDEZLEAL,"Fern·ndez Leal, Chih. INIFAP*",8.0
-105.628889,28.166111,CHIH,FIMCH,"Francisco I. Madero, Chih.",7.5
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",4.4
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",6.2
-105.277778,28.994722,CHIH,HGRANERO,"El Granero hidromÈtrica, Chih. SGT*",0.8
-106.41,30.149167,CHIH,IFBARRIAL,"El Barrial, Chih. INIFAP*",8.2
-105.998611,28.722222,CHIH,IFPRODUCECH,"FundaciÛn Produce Chihuahua, Chih. INIFAP*",3.0
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",6.5
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",3.6
-104.912778,27.126667,CHIH,JMNCH,"JimÈnez, Chih.",3.1
-105.68,27.023889,CHIH,LALAGUNACP,"La Laguna, Chih. INIFAP*",3.6
-106.086944,27.761111,CHIH,LASBRUJAS,"Las Brujas, Chih. INIFAP*",0.2
-108.014167,31.256111,CHIH,LASOMBRA,"La Sombra, Chih. INIFAP*",1.0
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",3.5
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",3.1
-105.28,28.984444,CHIH,LLNCH,"Ing. Luis L. LeÛn, Chih.",2.0
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",14.2
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",2.6
-104.614722,28.882778,CHIH,NUEVAHOLANDA,"Nueva Holanda, Chih. INIFAP*",7.0
-104.43,29.583333,CHIH,OJINAGAC,"Ojinaga RÌo Conchos, Chih. CILA*",5.5
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",11.8
-105.254167,26.546389,CHIH,PAGCH,"Pico del ¡guila, Chih.",2.0
-104.74,29.5,CHIH,Peguis,"Peguis, Chih. SGT*",5.8
-105.675556,26.917778,CHIH,PRRCH,"Parral, Chih.",1.4
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",0.0
-106.968889,29.948889,CHIH,RDOFLORESMAGON,"Ricardo Flores MagÛn, Chih. INIFAP*",3.0
-107.491667,29.035556,CHIH,SOTOMAINEZ,"Soto Mainez, Chih. INIFAP*",0.2
-107.973333,26.9425,CHIH,TB2CH,"Tubares II, Chih.",10.4
-107.85,28.95,CHIH,TMCCH,"TemÛsachic, Chih.",2.5
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",2.2
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",4.0
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",2.0
-105.773333,27.99,CHIH,VILLALBA,"Villalba, Chih. SGT*",1.0
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",1.5
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",8.0
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",10.6
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario DomÌnguez, Chis.",0.0
-92.300278,15.124722,CHIS,ARGOVIA,"Finca Argovia, Chis. OCFS*",28.0
-93.8975,16.241111,CHIS,AROCP,"Arriaga, Chis.",0.0
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. OCFS*",9.9
-93.15,16.641944,CHIS,BOQCP,"BoquerÛn, Chis.",0.8
-92.716667,15.35,CHIS,CACCP,"Cacaluta, Chis.",2.3
-92.4875,16.308333,CHIS,CASCAJAL,"Cascajal, Chis. SGT*",14.8
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",0.0
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",1.4
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",93.6
-91.710278,16.383056,CHIS,CHAYABE,"Finca ChayabÈ OCFS, Chis.",170.4
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",3.0
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",0.5
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",4.5
-92.093889,16.258056,CHIS,COMITAN,"Comit·n, Chis. INIFAP*",11.0
-92.1,16.2,CHIS,COOCP,"Observatorio de Comit·n, Chis.",13.0
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",6.5
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",0.0
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",12.2
-92.584722,16.725833,CHIS,ELARCOTETE,"El Arcotete, Chis. SGT*",16.2
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",16.0
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",29.4
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",0.0
-92.829444,17.373056,CHIS,ESCALONCP,"El EscalÛn SGT, Chis.",192.5
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",18.0
-92.67,15.33,CHIS,ESCUINTLA,"Escuintla SMN, Chis.",0.0
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",30.6
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",0.0
-92.402778,14.997222,CHIS,HUECP,"Huehuet·n, Chis.",0.0
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",0.0
-92.454167,16.712778,CHIS,HUIXTAN,"Huixt·n, Chis. SGT*",29.0
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. OCFS*",4.5
-92.184722,14.626111,CHIS,ILRAYON,"Ignacio LÛpez RayÛn, Chis. OCFS*",2.5
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",1.6
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",1.5
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",208.3
-93.381389,17.364167,CHIS,JGRIJALVACFE,"T˙neles Juan de Grijalva, Chis. CFE*",205.8
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",0.0
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",184.4
-93.598889,17.178611,CHIS,MALCP,"NezahualcÛyotl, Chis.",39.0
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",0.0
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",1.5
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",1.0
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",117.4
-93.159722,17.225,CHIS,OCOTEPECCFE,"Ocotepec, Chis. CFE*",116.4
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",93.8
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",0.0
-93.458611,17.446111,CHIS,PENCP,"¡ngel Albino Corzo, Chis.",141.5
-93.457778,17.445,CHIS,PENITASCFE,"PeÒitas, Chis. CFE*",137.9
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",6.4
-91.990278,17.525833,CHIS,PLQCP,"Palenque, Chis. SMN*",120.6
-93.186667,16.753889,CHIS,PTECLUBCAMP,"Puente Club Campestre, Chis. SGT*",0.0
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",5.4
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",0.0
-93.079167,16.158333,CHIS,REVCP,"RevoluciÛn Mexicana, Chis.",2.6
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",163.9
-92.332778,17.56,CHIS,SALTODEAGUA,"Salto de Agua, Chis. SGT*",152.5
-93.741111,16.699722,CHIS,SANTALUCIAHM,"Santa LucÌa, Chis. SGT*",4.2
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",148.3
-93.331944,17.402222,CHIS,SAYULACFE,"Sayula, Chis. CFE*",152.1
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San CristÛbal, Chis.",2.0
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos (San CristÛbal CabaÒas), Chis.",2.4
-92.105556,15.775,CHIS,SDOCP,"Santo Domingo, Chis.",0.0
-93.1,16.786111,CHIS,SECTEC103,"Secundaria TÈcnica 103, Chis. SGT*",0.3
-93.133889,16.747222,CHIS,SECTEC59,"Secundaria TÈcnica 59, Chis. SGT*",0.0
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",44.0
-93.55,17.35,CHIS,SITALA,"Sitala, Chis. SGT*",61.3
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",1.3
-92.820833,16.938889,CHIS,SNACP,"Santa MarÌa, Chis.",83.3
-92.266667,14.9,CHIS,TAMCP,"Tapachula (Malpaso), Chis.",0.0
-92.296389,14.886944,CHIS,TAPACHULAob,"Observatorio de Tapachula, Chis. SMN*",0.0
-92.183333,14.9,CHIS,TAPCP,"Tapachula, Chis.",0.0
-93.529167,15.875,CHIS,TPICP,"Tres Picos, Chis.",4.0
-93.0575,16.736111,CHIS,TRABAJOSOCIAL,"Trabajo Social, Chis. SGT*",0.0
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",0.0
-93.147222,16.762778,CHIS,TUXTLAGTZob,"Observatorio de Tuxtla GutiÈrrez, Chis. SMN*",0.0
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla GutiÈrrez, Chis.",0.0
-93.068056,16.716944,CHIS,TXZCP,"Tuxtla GutiÈrrez Zoomat, Chis.",0.0
-93.121944,16.778056,CHIS,UNICACH,"Universidad de Ciencias y Artes de Chiapas, Chis. SGT*",0.0
-93.330556,17.116667,CHIS,YAMCP,"YamonhÛ, Chis.",34.6
-92.050556,16.116389,CHIS,ZAPALUTA,"Zapaluta, Chis. SGT*",7.6
-101.023056,25.728889,COAH,ABUELOS,"Rancho los Abuelos, Coah. INIFAP*",44.7
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",17.4
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",22.3
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",57.0
-101.296111,25.281111,COAH,BLAS,"San Blas Derramadero, Coah. INIFAP*",38.9
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",11.0
-102.064444,26.983333,COAH,CCGCL,"Cuatro CiÈnegas, Coah.",4.3
-100.950278,29.327778,COAH,CDACL,"Ciudad AcuÒa, Coah.",24.0
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",0.0
-100.911944,28.598889,COAH,CEXPZARAGOZA,"Campo Experimental Zaragoza, Coah. INIFAP*",11.6
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",22.0
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",13.3
-102.39,27.335556,COAH,EJIDOOC,"Ejido Ocampo, Coah. INIFAP*",1.2
-100.920833,25.436111,COAH,ESLCL,"E. C. Saltillo, Coah.",54.7
-103.262778,25.773889,COAH,FIMCL,"Francisco I. Madero, Coah.",10.5
-100.832222,28.82,COAH,LFGCL,"La Fragua, Coah.",14.9
-103.228056,25.527778,COAH,MATCL,"Matamoros, Coah.",19.0
-101.4225,26.908333,COAH,MCVCL,"Monclova, Coah.",1.0
-101.33,27.92,COAH,NUEVAROSITA,"Nueva Rosita, Coah. SMN*",0.0
-102.181667,25.440833,COAH,PARCL,"Parras, Coah.",26.4
-102.22,25.475,COAH,PARRAS,"Parras, Coah. INIFAP*",63.7
-100.566667,28.683056,COAH,PNEGRASob,"Observatorio de Piedras Negras, Coah. SMN*",0.2
-100.5325,28.706667,COAH,PNGCL,"Piedras Negras, Coah.",33.4
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",0.0
-100.770278,25.203611,COAH,RGUADALUPE,"Rancho Guadalupe, Coah. INIFAP*",144.0
-100.556944,28.667778,COAH,RIOESCONDIDOC,"RÌo Escondido Villa De Fuentes, Coah. CILA*",22.0
-100.634444,28.898611,COAH,RioSanRodrigoC,"Rio San Rodrigo cerca El Moral. Piedras Negras Coah., CILA*",16.8
-102.017778,26.805278,COAH,RPRONATURA,"Rancho Pronatura, Coah. INIFAP*",2.0
-100.325833,28.289722,COAH,RSANTAELENA,"Rancho Santa Elena, Coah. INIFAP*",10.8
-100.575556,25.273333,COAH,SAACL,"San Antonio de las Alazanas, Coah.",66.0
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",58.8
-101.016667,25.376389,COAH,SALTILLOob,"Observatorio de Saltillo, Coah. SMN*",43.4
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego Jimenez, Coah. CILA*",34.8
-101.213056,28.399444,COAH,SANTACECILIA,"Santa Cecilia, Coah. SMN*",7.3
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",1.0
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",22.0
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",0.0
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",10.2
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",51.5
-103.45,25.541667,COAH,TORCL,"Observatorio de TorreÛn, Coah.",14.6
-103.45,25.533333,COAH,TORREONob,"Observatorio de TorreÛn, Coah. SMN*",11.0
-100.95,27.519444,COAH,VCARRANZA,"Venustiano Carranza, Coah. SMN*",3.6
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",1.0
-100.898889,29.033889,COAH,ZPTCL,"Zapata, Coah.",32.0
-103.969167,18.914444,COL,ARMERIA,"Armeria, Col. INIFAP*",31.8
-103.611389,19.248611,COL,BVSCM,"Buena Vista, Col.",24.0
-103.723611,18.754722,COL,CDOCM,"Cerro de Ortega, Col.",25.2
