,Lon,Lat,Clave,Edo,Est,Tmed_1,Tmed_2,Tmed_3,Tmed_4,Tmed_5,Tmed_6,Tmed_7,Tmed_8,Tmed_9,Tmed_10,Tmed_11,Tmin_1,Tmin_2,Tmin_3,Tmin_4,Tmin_5,Tmin_6,Tmin_7,Tmin_8,Tmin_9,Tmin_10,Tmin_11,Tmax_1,Tmax_2,Tmax_3,Tmax_4,Tmax_5,Tmax_6,Tmax_7,Tmax_8,Tmax_9,Tmax_10,Tmax_11
12,-96.3,17.78,VANOX,OAX,Valle Nacional Oax.,22.25,25.25,26.06521739,28.05,30.43333333,29.76785714,29.17741935,29.51724138,28.6,27.4,25.4,17.11538462,19.03571429,19.04347826,20.46666667,22.46666667,23.42857143,23.06451613,23.17241379,22.3,22.2,20.5,29.47368421,31.46428571,33.08695652,35.63333333,38.4,36.10714286,35.29032258,35.86206897,35.0,32.6,30.3
13,-100.92,25.44,ESLCL,COAH,E. C. Saltillo Coah.,12.85344828,16.52777778,16.47413793,20.58333333,23.29166667,23.80833333,23.56451613,24.59032258,21.7,19.8,16.8,6.379310345,9.685185185,10.0862069,13.56666667,17.16666667,18.35,17.96774194,18.87096774,16.7,13.4,10.2,20.46428571,23.37037037,22.86206897,27.6,29.41666667,29.26666667,29.16129032,30.30967742,26.7,26.3,23.4
14,-96.53,17.43,ATEOX,OAX,Atepec Oax.,16.01612903,19.72916667,19.84482759,20.98076923,21.72916667,18.5,17.425,19.25,18.0,17.6,16.0,7.387096774,10.33333333,10.0,11.76923077,13.25,12.75,11.4,12.0,11.6,11.8,9.7,24.79166667,29.125,29.68965517,30.19230769,30.20833333,24.25,23.45,26.5,24.4,23.4,22.3
15,-110.29,30.98,CNNSO,SON,Cananea Son.,11.275,8.663461538,14.16666667,16.88333333,17.32903226,24.475,26.29032258,25.91935484,23.0,19.1,15.7,3.333333333,1.307692308,6.016666667000001,8.8,9.683870967999999,16.15,18.77419355,18.87096774,16.3,11.1,8.2,17.71666667,16.01923077,22.31666667,24.96666667,24.97419355,32.8,33.80645161,32.96774194,29.7,27.2,23.2
16,-96.95,19.23,TOTVC,VER,Totutla Ver.,15.296296300000002,18.98214286,18.76923077,20.125,22.38709677,21.16666667,20.12903226,21.06451613,20.1,19.9,17.8,9.444444444,12.85714286,12.80769231,13.78571429,16.93548387,16.66666667,14.96774194,15.51612903,15.1,15.0,13.4,23.81481481,25.10714286,24.73076923,26.46428571,27.83870968,25.66666667,25.29032258,26.61290323,25.0,24.8,22.3
17,-97.01,18.33,ZOQPB,PUE,Zoquitlán Pue.,14.17741935,18.10714286,17.5,18.25,19.88709677,19.95,17.19354839,17.36666667,16.2,16.5,16.0,6.838709677000001,9.892857142999999,9.580645161,9.366666667,10.48387097,10.53333333,10.64516129,10.93333333,10.1,10.6,10.0,26.0,26.32142857,25.41935484,27.13333333,29.29032258,29.36666667,23.74193548,23.8,22.2,22.3,22.0
18,-101.66,19.93,AMEMC,MICH,Aristeo Mercado Mich.,15.47258065,18.32608696,19.78333333,20.10555556,22.19107143,22.17630435,20.0547619,20.37370968,20.0,19.6,18.7,6.467741935,9.204347826000001,9.506666667000001,10.08333333,13.15714286,15.76130435,13.65714286,13.88612903,13.5,12.7,9.9,26.86842105,27.44782609,30.06,30.12777778,31.225,28.59130435,26.45238095,26.86129032,26.6,26.5,27.5
19,-99.55,24.57,VSMTP,TAMPS,Victoria-San Marcos Tamps.,16.60555556,20.38653846,22.18461538,25.595,28.70714286,29.99615385,29.70322581,31.50833333,28.3,25.2,19.9,10.7037037,13.56153846,15.86153846,18.33666667,23.51071429,24.30769231,23.88387097,25.43,23.2,19.4,13.9,25.06296296,27.21153846,28.50769231,32.85333333,33.90357143,35.68461538,35.52258065,37.58666667,33.4,30.9,25.9
20,-99.93,17.6,YXTGR,GRO,Yextla Gro.,17.37096774,20.04,21.82258065,22.94230769,23.72222222,23.80434783,22.6,22.4,21.0,20.7,19.6,10.19354839,12.76,14.12903226,14.15384615,15.88888889,16.69565217,15.1,14.8,14.8,14.9,13.6,23.89259259,27.32,29.51612903,31.73076923,31.55555556,30.91304348,30.1,30.0,27.2,26.4,25.5
21,-96.97,19.55,OTIVC,VER,Otilpan Ver.,14.0,17.23214286,18.15384615,19.86666667,22.58064516,21.58928571,20.10645161,20.83333333,19.3,18.6,16.4,9.25,11.46428571,11.80769231,12.46666667,16.38709677,15.71428571,13.70967742,14.46666667,14.0,14.1,12.4,20.59090909,23.0,24.5,27.26666667,28.77419355,27.46428571,26.50322581,27.2,24.6,23.1,20.3
